price_cluster,make,model,subtype,outside_color,mileage_cluster,hp_cluster,built_year,fueltype,geartype,body_type,upholstery,fuel_cluster,time_sell
15-20k,Mazda,2,1.5 E-Skyactiv-G Mild-Hybrid,Blue,40-50k,0-100hp,2020,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,35-50d
10-15k,Kia,cee'd,1.4,Gray,70-80k,0-100hp,2017,Benzin,Gear type manual,Limousine,Stoff,5.5-6.5f,0-7d
10-15k,Opel,Adam,1.4,Gray,10-20k,0-100hp,2015,Benzin,Gear type automatic,Limousine,Stoff,4.5-5.5f,7-15d
20-25k,BMW,2er,218i Gran Tourer,White,100k+,100-150hp,2016,Benzin,Gear type automatic,Van,Stoff,4.5-5.5f,65-80d
10-15k,Mazda,2,1.5,Purple,90-100k,100-150hp,2015,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,0-7d
10-15k,Hyundai,i40,1.6,Gray,100k+,100-150hp,2013,Benzin,Gear type manual,Kombi,Stoff,5.5-6.5f,0-7d
10-15k,Dacia,Duster,1.5 dCi,Black,40-50k,100-150hp,2017,Diesel,Gear type automatic,SUV,Leder,0-4.5f,0-7d
15-20k,Ford,Focus,1.5 EcoBoost,Red,90-100k,150-200hp,2017,Benzin,Gear type manual,Kombi,Stoff,5.5-6.5f,65-80d
20-25k,Mercedes-Benz,C-Klasse,C 180 CGI,Black,60-70k,150-200hp,2017,Benzin,Gear type automatic,Kombi,Teilleder,4.5-5.5f,0-7d
10-15k,Skoda,Yeti,2.0 TDI,Brown,100k+,100-150hp,2014,Diesel,Gear type automatic,SUV,Leder,5.5-6.5f,0-7d
10-15k,Fiat,Tipo,1.4 Turbo,Silver,40-50k,100-150hp,2017,Benzin,Gear type manual,Kombi,Stoff,5.5-6.5f,35-50d
0-10k,Hyundai,i10,1.0,Brown,30-40k,0-100hp,2015,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,7-15d
10-15k,Skoda,Fabia,1.2 TSI,Gray,20-30k,0-100hp,2016,Benzin,Gear type manual,Limousine,Stoff,4.5-5.5f,50-65d
10-15k,Mazda,CX-5,2.0,White,100k+,150-200hp,2013,Benzin,Gear type manual,SUV,Stoff,5.5-6.5f,80-100d
20-25k,BMW,X1,sDrive 18i,White,70-80k,100-150hp,2017,Benzin,Gear type automatic,SUV,Teilleder,4.5-5.5f,0-7d
