company,frequency,recency,monetary,low_hp,medium_hp,high_hp,sport_car,old_,medium_old,medium_new,new_,low_mileage,medium_low_mileage,medium_high_mileage,high_mileage,less_3k,_3k_6k_,_6k_10k_,_10k_15k_,_15k_,profit_per_car
AM zone s.r.o,2,7,4,1,2,0,0,0,2,1,0,1,0,2,0,0,1,2,0,0,533.0
"DS Auto, Inh. Sefer Dursunbek",1,9,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,255.0
auto ville,1,7,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,-814.0
"Automobile Harkous, Inh. Faddel Harkous",2,9,3,2,1,0,0,1,2,0,0,0,0,2,1,3,0,0,0,0,246.0
AUTO VAS SIRBU SRL,1,10,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,432.0
KATIA MARTIN ALONSO,1,5,2,0,2,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,174.5
RD AUTO'S,3,6,9,0,3,1,2,0,0,2,5,4,2,0,0,0,0,0,1,5,1514.3333333333333
PASSZ MOBIL Gépjármű-kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,1,10,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,261.0
YOUNGTIMER CARS SRL,1,8,7,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,1,1,1439.5
"A B Automobile, Inh. Ahmet Birgin",1,7,2,1,1,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,291.5
GLOBEX ZAFER AUTO SRL,3,6,5,0,6,0,0,0,5,1,0,0,2,2,2,0,6,0,0,0,645.6666666666666
NOGUEIRA AUTOS,1,6,5,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2133.0
WERKPLAATSWINKEL.NL,2,3,5,2,1,0,0,0,0,2,1,3,0,0,0,0,1,1,0,1,671.3333333333334
"Auto Sauerland, Inh. Murat Balaban",1,8,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,254.0
ANIDI COMTAL S.R.L.,3,8,7,0,9,0,0,1,5,3,0,0,1,8,0,1,1,5,1,1,755.0
MEU STAND LDA,1,10,4,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,371.0
DEMCHENKO OLEKSANDR,4,3,5,0,12,0,0,6,5,1,1,0,1,9,2,9,2,1,0,0,544.9166666666666
"MY CAR, Inh. Mehmet Baris Yönel",1,10,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,133.0
Toyota de Jonge Goes,4,1,10,5,7,2,0,0,0,2,13,14,0,0,0,0,0,0,2,12,1312.7857142857142
Autohaus Zanker Gmbh & Co.Kg,1,9,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,957.0
SICURAUTO S.R.L.,1,9,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,963.0
