company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_per_car
"Hypnotix, s.r.o.",1,Small_buyer,1,10,2,205,2007,211356,1584,0,100,0,100,0,0,402
LL.I.KK. GOALS D.O.O.,1,Small_buyer,1,10,4,150,2019,85362,18550,0,100,0,100,0,0,453
ADAGIO AUTO-LEASING SRL,2,Small_buyer,1,6,5,125,2015,187751,10790,0,50,50,50,0,50,693
AJAP AUTOMOVEIS LDA,17,Medium_buyer,5,2,9,85,2016,87700,8009,5,5,88,29,70,0,453
AFOI MERKOURAKI OE  AUTO MERKOURAKI,2,Small_buyer,1,6,4,87,2012,157073,5976,0,50,50,0,50,50,522
Radek Kotalík,1,Small_buyer,1,10,3,147,2014,95967,9719,0,0,100,0,100,0,975
Autohuis Heeze,6,Small_buyer,3,6,4,95,2008,115592,2841,0,0,100,0,100,0,577
Auto- & Motorradhaus Borchardt GmbH,2,Small_buyer,1,9,6,145,2020,37055,22590,50,50,0,50,50,0,993
NMR AUTO PROGRESIV S.R.L.,4,Small_buyer,2,3,5,146,2012,249727,5549,0,25,75,75,25,0,612
KOR-AUTÓ KFT,5,Small_buyer,3,10,4,90,2008,153768,2256,0,0,100,20,80,0,421
"C.T. AUTO, UNIPESSOAL LDA",1,Small_buyer,1,7,3,185,2013,157659,8050,0,0,100,100,0,0,369
„DAGA TRADE“ LTD,5,Small_buyer,3,5,7,254,2011,309277,11381,0,100,0,100,0,0,992
SARL TP2G BRILLANCE AUTO,25,Medium_buyer,6,2,9,102,2010,88333,6803,28,8,64,16,84,0,735
"Auto Galerie, Inh. Thomas Grundt",1,Small_buyer,1,9,3,122,2010,60977,6700,0,0,100,0,100,0,1105
"Autohaus SKR, Inh. Shpejtim Krasniqi",3,Small_buyer,2,10,5,130,2012,90340,9659,0,100,0,0,66,33,747
"SIA ""AUTO PLACIS""",4,Small_buyer,2,10,5,185,2010,208950,7154,0,75,25,100,0,0,690
Honest Car Service Anna Borshchevska,7,Small_buyer,3,6,4,102,2005,171455,1759,0,28,71,0,100,0,490
MONDIALCAR S.R.L.,2,Small_buyer,1,9,8,242,2016,65040,37583,50,0,50,50,50,0,1835
"JABŁOŃSKI LESZEK P.W. ""ALPHA""",8,Small_buyer,3,6,3,157,2005,208957,1229,0,25,75,50,50,0,274
"Auto Center Hagen, Inh. Houssain Tafzati",1,Small_buyer,1,9,4,150,2015,71025,14956,0,0,100,100,0,0,1385
GROUPE MARY - BAYEUX - PEUGEOT,1,Small_buyer,1,9,7,345,2021,24404,55755,0,100,0,0,0,100,-11624
GROUPE VAUBAN - VAUBAN OUEST AUTO - GISORS - CITROEN,2,Small_buyer,1,7,5,105,2019,17224,12967,0,0,100,100,0,0,273
David Procházka,13,Small_buyer,4,7,6,103,2007,168448,2837,0,0,100,15,84,0,527
ROYALE AUTOLUX,1,Small_buyer,1,9,6,355,2018,133021,37800,0,100,0,0,100,0,760
F.H.U AGNIESZKA SOSNOWSKA,6,Small_buyer,3,9,4,101,2008,193289,2188,0,0,100,50,50,0,498
