stock_number,esp,make,model,subtype,fueltype,age,age_bin,esp_cluster,builtyear,hp,mileage,geartype,body_type
HT75875,21848,Opel,Grandland X,1.2 Turbo,Benzin,2,2-3,20_25,2022,131,23970,Gear type manual,1035
AC83084,15730,Mazda,3,2.2 Turbodiesel,Diesel,7,6-7,15_20,2017,150,81565,Gear type manual,1025
WS11304,12990,Opel,Corsa,1.4,Benzin,6,6-7,10_15,2018,90,63535,Gear type automatic,8111
YT85603,19950,Volkswagen,Passat,2.0 TDI,Diesel,9,8-9,15_20,2015,190,106055,Gear type automatic,1023
KK20980,11062,Ford,B-Max,1.0 EcoBoost,Benzin,6,6-7,10_15,2017,100,83320,Gear type manual,1038
SC26243,16520,Renault,Grand Scenic,1.5 dCi Energy,Diesel,6,6-7,15_20,2018,110,88556,Gear type automatic,1038
LH13431,13340,Opel,Astra K,1.4 SIDI Turbo,Benzin,7,6-7,10_15,2017,125,69747,Gear type manual,1023
UE01857,11890,Skoda,Octavia,1.6 TDI,Diesel,10,10-11,10_15,2014,105,90690,Gear type manual,1023
PZ46924,43847,Mercedes-Benz,C-Klasse,C 43 AMG,Benzin,5,4-5,30+,2019,390,53173,Gear type automatic,1023
SP38529,14642,Kia,Picanto,1.2,Benzin,4,4-5,10_15,2019,85,18348,Gear type automatic,8111
TL90316,24249,Volkswagen,Golf VIII,2.0 TDI,Diesel,3,2-3,20_25,2021,150,25531,Gear type manual,1025
WA82523,13930,Hyundai,Kona,1.0 TGDI,Benzin,6,6-7,10_15,2017,120,82430,Gear type manual,1035
JA28668,9190,Ford,Fiesta,1.25,Benzin,9,8-9,0_10,2015,82,56921,Gear type manual,8111
FP00807,44750,Mercedes-Benz,V-Klasse,V 220 d,Diesel,5,4-5,30+,2019,163,72107,Gear type automatic,1038
AJ68291,12170,Ford,EcoSport,1.0 EcoBoost,Benzin,8,8-9,10_15,2016,125,34237,Gear type manual,1035
PE02448,17314,Toyota,C-HR,1.2 Turbo,Benzin,6,6-7,15_20,2018,115,62127,Gear type manual,1035
XF30252,27260,Ford,S-Max,2.0 EcoBlue,Diesel,5,4-5,25_30,2019,190,48566,Gear type automatic,1038
TR49988,13590,Peugeot,Partner,1.6,Benzin,6,6-7,10_15,2018,98,51480,Gear type manual,1038
CZ13230,11390,Mitsubishi,Space Star,1.2,Benzin,4,4-5,10_15,2020,80,27522,Gear type manual,8111
SZ12795,15212,Volkswagen,Polo,1.8 TSI,Benzin,9,8-9,15_20,2015,192,86096,Gear type automatic,8111
