stock_number,esp,make,model,subtype,fueltype,age,age_bin,esp_cluster,builtyear,hp,mileage,geartype,body_type
AC23598,10640,Toyota,AYGO,1.0,Benzin,5,4-5,10_15,2019,72,69798,Gear type manual,8111
ZK40979,24249,Volkswagen,Golf VII,2.0 TDI,Diesel,7,6-7,20_25,2017,185,67249,duplex,1025
PR83537,23190,Skoda,Kamiq,1.0 TSI,Benzin,3,2-3,20_25,2021,110,29389,Gear type automatic,1035
VD37346,10490,Opel,Adam,1.4,Benzin,9,8-9,10_15,2014,87,56601,Gear type manual,1025
NJ61574,22360,Volkswagen,Tiguan,2.0 TDI,Diesel,7,6-7,20_25,2017,150,101517,Gear type automatic,1035
DX32890,20350,Citroen,Berlingo,1.5 Blue-HDi,Diesel,4,4-5,20_25,2019,131,82437,Gear type manual,1038
LV78575,15990,Opel,Mokka X,1.4 Turbo,Benzin,7,6-7,15_20,2017,140,36978,Gear type manual,1035
VW32545,19490,Jeep,Renegade,1.3 TGDi,Benzin,5,4-5,15_20,2018,150,33011,Gear type automatic,1035
AY15379,10140,Skoda,Fabia,1.0 MPI,Benzin,7,6-7,10_15,2017,60,68902,Gear type manual,1025
NG45630,26140,Kia,XCeed,1.5 TGDI,Benzin,3,2-3,25_30,2021,160,21997,Gear type automatic,1035
AA41605,11095,Peugeot,208,1.2 e-VTi,Benzin,5,4-5,10_15,2019,82,50386,Gear type manual,1025
LZ15295,10420,Dacia,Sandero,1.0 SCe,Benzin,5,4-5,10_15,2018,73,13110,Gear type manual,8111
CA52450,7390,Peugeot,208,1.2 e-VTi,Benzin,8,8-9,0_10,2015,82,100148,Gear type manual,1025
SG46782,13890,Renault,Captur,0.9 Energy,Benzin,5,4-5,10_15,2019,90,21737,Gear type manual,1035
DK44062,13290,Volkswagen,Polo,1.0,Benzin,7,6-7,10_15,2017,60,14301,Gear type manual,1025
FU07086,10640,Volkswagen,up!,1.0,Benzin,6,6-7,10_15,2018,60,6851,Gear type manual,8111
BC95121,14370,Abarth,595,1.4,Benzin,9,8-9,10_15,2015,160,63026,Gear type manual,1025
LC87849,17311,Volkswagen,Golf VII,1.6 TDI,Diesel,6,6-7,15_20,2018,115,75113,Gear type automatic,1025
TE35494,14790,Opel,Astra K,1.4 SIDI Turbo,Benzin,6,6-7,10_15,2018,150,86919,Gear type manual,1023
ML56165,25450,Audi,A4,40 TFSI,Benzin,5,4-5,25_30,2019,190,75225,duplex,1023
WV06601,14440,Hyundai,i20,1.4,Benzin,8,8-9,10_15,2015,100,24072,Gear type automatic,1025
RF00563,12620,Kia,Picanto,1.2,Benzin,8,8-9,10_15,2016,85,65658,Gear type automatic,8111
VL05054,37760,Mercedes-Benz,GLB-Klasse,GLB 250,Benzin,4,4-5,30+,2020,224,56155,Gear type automatic,1035
CM86035,24990,BMW,2er,218i Gran Coupe,Benzin,4,4-5,20_25,2020,140,60295,Gear type automatic,1025
GN24136,17790,Volkswagen,Golf VII,2.0 TSI,Benzin,8,8-9,15_20,2016,220,72261,Gear type manual,1025
GN91813,8230,Smart,fortwo,1.0,Benzin,8,8-9,0_10,2016,70,113096,Gear type manual,1008
CA87834,41719,Audi,A6,55 TFSI,Benzin,4,4-5,30+,2019,340,67583,duplex,1023
BY03237,8250,Hyundai,i10,1.0,Benzin,9,8-9,0_10,2015,67,34446,Gear type manual,1025
PA65230,16830,Ford,Fiesta,1.0 EcoBoost,Benzin,5,4-5,15_20,2019,140,46037,Gear type manual,8111
CT14781,13680,Hyundai,i20,1.4,Benzin,6,6-7,10_15,2017,100,64355,Gear type automatic,8111
UB68305,17042,Mazda,3,1.8 D,Diesel,5,4-5,15_20,2019,116,94349,Gear type automatic,1025
UN87114,10499,Opel,Corsa,1.4,Benzin,8,8-9,10_15,2016,90,28990,Gear type manual,8111
CT92509,11360,Opel,Adam,1.4,Benzin,8,8-9,10_15,2016,87,26194,Gear type manual,8111
JV35607,19180,Hyundai,i30,1.4 TGDI,Benzin,5,4-5,15_20,2019,140,43235,Gear type automatic,1023
ZV19295,19095,Hyundai,i20,1.0 T-GDI Mild-Hybrid,Benzin,3,2-3,15_20,2021,101,26990,Gear type automatic,8111
XM59979,13025,MINI,MINI,Cooper,Benzin,10,10-11,10_15,2014,135,59823,Gear type manual,8111
LS35197,19790,Volkswagen,Passat,2.0 TDI,Diesel,4,4-5,15_20,2020,150,112581,Gear type automatic,1023
KZ95950,9990,Fiat,Panda,1.2,Benzin,6,6-7,0_10,2018,70,29360,Gear type manual,8111
EA80443,27627,Skoda,Kodiaq,2.0 TSI,Benzin,6,6-7,25_30,2018,180,66407,duplex,1035
YL80506,11430,Ford,Focus,1.0 EcoBoost,Benzin,9,8-9,10_15,2015,125,89364,Gear type manual,1023
TF29536,26376,Skoda,Kodiaq,2.0 TDI,Diesel,6,6-7,25_30,2018,190,118759,Gear type automatic,1035
YA77668,30490,Skoda,Superb,1.4 Plug-in-Hybrid,Hybrid,4,4-5,30+,2020,156,53709,Gear type automatic,1023
DV30628,14483,Opel,Mokka X,1.4 Turbo,Benzin,7,6-7,10_15,2017,140,59272,Gear type manual,1035
GV21575,29819,BMW,5er,520d,Diesel,7,6-7,25_30,2017,190,96288,Gear type automatic,1023
VD30698,16730,Renault,Kadjar,1.3 TCe,Benzin,5,4-5,15_20,2018,140,75199,Gear type manual,1035
KT05108,23028,Toyota,RAV 4,2.0,Benzin,7,6-7,20_25,2017,152,13104,Gear type manual,1035
RD35191,37328,Mercedes-Benz,E-Klasse,E 200,Benzin,6,6-7,30+,2018,185,42927,Gear type automatic,1008
XY59030,15063,Volkswagen,Golf VII Sportsvan,1.2 TSI,Benzin,9,8-9,15_20,2015,110,41363,Gear type automatic,1038
VZ04971,17440,Ford,EcoSport,1.5 EcoBlue TDCi,Diesel,5,4-5,15_20,2018,125,71013,Gear type manual,1035
FB93125,16790,Ford,Mondeo,2.0 TDCi,Diesel,7,6-7,15_20,2017,150,96609,Gear type manual,1023
CV34187,20790,Mazda,CX-3,2.0,Benzin,5,4-5,20_25,2019,150,37424,Gear type manual,1035
PR18961,8890,Opel,Karl,1.0,Benzin,7,6-7,0_10,2017,75,60046,Gear type manual,8111
ND61686,17750,Volkswagen,Touran,2.0 TDI,Diesel,9,8-9,15_20,2015,150,100588,Gear type manual,1038
VL31325,10680,Dacia,Sandero,1.0 SCe,Benzin,5,4-5,10_15,2019,73,15674,Gear type manual,1025
TD63399,22650,Volkswagen,Golf VII,2.0 TSI,Benzin,6,6-7,20_25,2018,230,82439,Gear type automatic,1025
YE66074,16999,Volkswagen,Polo,1.0 TSI,Benzin,5,4-5,15_20,2019,95,34274,Gear type automatic,8111
TH51800,19000,Audi,Q2,30 TFSI,Benzin,5,4-5,15_20,2018,116,77109,Gear type manual,1035
NA32565,15634,Kia,Rio,1.2,Benzin,2,2-3,15_20,2022,84,5021,Gear type manual,8111
SY08918,29690,Mercedes-Benz,C-Klasse,C 180 CGI,Benzin,5,4-5,25_30,2019,155,87708,Gear type automatic,1025
MS94654,31530,Nissan,Navara NP-300,2.3 dCi,Diesel,6,6-7,30+,2018,190,48893,Gear type automatic,1027
ED15256,11600,Volkswagen,Golf VII,1.2 TSI,Benzin,10,10-11,10_15,2014,85,72017,Gear type manual,1025
XC82504,10700,Renault,Megane,1.5 dCi,Diesel,8,8-9,10_15,2016,110,104560,Gear type manual,1023
VZ00399,30560,Mercedes-Benz,E-Klasse,E 200,Benzin,6,6-7,30+,2017,185,44633,Gear type automatic,1008
HM95466,20300,Ford,Focus,1.5 EcoBoost,Benzin,4,4-5,20_25,2020,150,33034,Gear type manual,1023
MS20398,17590,MINI,Clubman,One,Benzin,6,6-7,15_20,2018,102,72960,Gear type automatic,1033
LY62177,13857,Hyundai,i10,1.0,Benzin,5,4-5,10_15,2019,67,23731,Gear type automatic,8111
VY71444,22490,MINI,Clubman,Cooper SD,Diesel,4,4-5,20_25,2020,190,104164,Gear type automatic,1023
CJ77311,26552,Skoda,Karoq,1.5 TSI ACT,Benzin,4,4-5,25_30,2020,150,48110,Gear type automatic,1035
RS72821,14990,Kia,Soul,1.6 GDI,Benzin,8,8-9,10_15,2016,132,29466,Gear type manual,1038
CT54010,25492,BMW,2er,218i Gran Tourer,Benzin,4,4-5,25_30,2019,140,61545,Gear type automatic,1038
GP01579,13450,Seat,Ibiza,1.6 TDI,Diesel,6,6-7,10_15,2018,95,92262,Gear type manual,8111
HA42336,15690,Opel,Corsa,1.2,Benzin,3,2-3,15_20,2021,101,29839,Gear type manual,1025
DJ31397,15690,BMW,3er,316d,Diesel,8,8-9,15_20,2015,115,106854,Gear type manual,1023
FX66239,30307,Volkswagen,Touran,2.0 TDI,Diesel,3,2-3,30+,2021,150,54793,Gear type automatic,1038
MA29380,14890,Skoda,Fabia,1.0 TSI,Benzin,5,4-5,10_15,2019,95,58395,Gear type manual,1023
GK47644,7890,Volkswagen,up!,1.0,Benzin,9,8-9,0_10,2015,60,59693,Gear type manual,8111
TT73653,27730,BMW,X2,xDrive 20i,Benzin,6,6-7,25_30,2018,192,62149,Gear type automatic,1035
TX83807,12465,Renault,Megane,1.5 dCi Energy,Diesel,6,6-7,10_15,2018,110,106594,Gear type manual,1023
EL17623,13955,Volkswagen,up!,1.0,Benzin,6,6-7,10_15,2018,60,17140,Gear type automatic,8111
UY85071,19670,BMW,3er,318d,Diesel,7,6-7,15_20,2017,150,115090,Gear type manual,1023
ZB55654,23590,BMW,X1,sDrive 18i,Benzin,6,6-7,20_25,2018,140,64120,duplex,1035
DL30635,15290,Peugeot,2008,1.2 e-THP,Benzin,6,6-7,15_20,2018,110,47826,Gear type automatic,1035
NJ04425,9310,Opel,Corsa,1.4 Turbo,Benzin,7,6-7,0_10,2016,100,106903,Gear type manual,8111
PS10802,22210,Renault,Talisman,1.8 TCe,Benzin,6,6-7,20_25,2018,224,55766,Gear type automatic,1023
ZY81620,19770,Ford,Galaxy,2.0 TDCi,Diesel,8,8-9,15_20,2016,180,111911,Semi-automatic,1038
GN92746,10490,Ford,Fiesta,1.1,Benzin,6,6-7,10_15,2017,85,75938,Gear type manual,1025
GS20735,16990,Hyundai,i30,1.0 T-GDI,Benzin,3,2-3,15_20,2021,120,52853,Gear type manual,1023
XG47537,13200,MINI,Countryman,Cooper,Benzin,9,8-9,10_15,2015,122,95012,Gear type manual,1035
YF97811,17002,Peugeot,2008,1.2 PureTech,Benzin,5,4-5,15_20,2019,130,29744,Gear type manual,1035
SF19944,10190,Ford,Focus,1.0 EcoBoost,Benzin,9,8-9,10_15,2015,125,111529,Gear type manual,1025
YS21762,18700,BMW,1er,118i,Benzin,6,6-7,15_20,2018,135,77147,Gear type automatic,1025
ER37362,13590,Ford,Focus,1.0 EcoBoost,Benzin,6,6-7,10_15,2018,125,73468,Gear type manual,1023
UR21437,27590,Mercedes-Benz,A-Klasse Limousine,A 250e,Hybrid,4,4-5,25_30,2020,160,27201,Gear type automatic,1025
JP95194,21150,MINI,MINI,Cooper,Benzin,4,4-5,20_25,2020,135,46847,Gear type automatic,8111
JS64032,33990,Audi,SQ5,3.0 V6 TDI,Diesel,8,8-9,30+,2016,340,95365,Gear type automatic,1035
FL57278,27362,Mercedes-Benz,C-Klasse,C 220 d,Diesel,5,4-5,25_30,2019,194,74974,Gear type automatic,1023
NB03728,9350,Volkswagen,up!,1.0,Benzin,6,6-7,0_10,2018,60,30953,Gear type manual,8111
TG04025,33490,Honda,CR-V,2.0 i-MMD Hybrid,Hybrid,2,2-3,30+,2022,184,40386,Gear type automatic,1035
CB72187,16290,Volkswagen,Golf VII,1.0 TSI,Benzin,6,6-7,15_20,2018,110,10656,Gear type manual,1025
ZS52611,24382,Audi,A4,1.4 TFSI,Benzin,6,6-7,20_25,2018,150,56853,duplex,1023
LY50919,19860,Volkswagen,Polo,1.0 TSI,Benzin,5,4-5,15_20,2019,95,13247,duplex,1025
PB40753,13780,Ford,Fiesta,1.0 EcoBoost,Benzin,6,6-7,10_15,2018,100,33585,Gear type manual,8111
SZ23902,15490,Smart,forfour,0.9 Turbo,Benzin,6,6-7,15_20,2018,90,31847,Gear type automatic,8111
FB44803,34780,Volkswagen,Tiguan Allspace,2.0 TDI,Diesel,4,4-5,30+,2019,240,54639,Gear type automatic,1035
EN40178,19990,Opel,Insignia Grand Sport,1.6 CDTI,Diesel,5,4-5,15_20,2019,136,82245,Gear type automatic,1025
VH74039,22290,Mercedes-Benz,A-Klasse,A 200,Benzin,5,4-5,20_25,2019,163,66289,Gear type manual,1025
LM55573,21240,Jaguar,XE,20t,Benzin,6,6-7,20_25,2018,200,69715,Gear type automatic,1025
SU85788,13193,Smart,fortwo,0.9 Turbo,Benzin,7,6-7,10_15,2017,90,73262,Gear type automatic,8111
HJ36512,14150,Volkswagen,Polo,1.6 TDI,Diesel,5,4-5,10_15,2019,95,77625,Gear type manual,8111
KB58336,14120,Peugeot,Partner,1.2 PureTech,Benzin,7,6-7,10_15,2016,110,70428,Gear type manual,1038
UY18683,19320,Ford,Fiesta,1.5 EcoBoost,Benzin,5,4-5,15_20,2019,200,64431,Gear type manual,1025
SP65109,41290,Ford,Tourneo Custom,2.0 EcoBlue,Diesel,3,2-3,30+,2020,185,38120,Gear type manual,1038
RE76663,20490,Peugeot,208,1.2 PureTech,Benzin,4,4-5,20_25,2020,101,24365,Gear type automatic,1025
PA57423,10290,Peugeot,2008,1.6,Benzin,9,8-9,10_15,2014,120,114174,Gear type manual,1035
SN20826,18860,Nissan,Qashqai,1.3 DIG-T,Benzin,5,4-5,15_20,2019,140,35855,Gear type manual,1035
YL13461,7750,Seat,Mii,1.0,Benzin,7,6-7,0_10,2017,75,101798,Gear type manual,1025
DK54511,16390,BMW,2er,216i Gran Tourer,Benzin,8,8-9,15_20,2016,102,62842,Gear type manual,1038
UR36653,10690,Opel,Corsa,1.4,Benzin,7,6-7,10_15,2017,90,73830,Gear type manual,8111
LM54750,15250,Ford,Grand C-Max,1.5 EcoBoost,Benzin,6,6-7,15_20,2018,150,92797,Gear type manual,1038
VN87786,11990,Mitsubishi,Space Star,1.2,Benzin,2,2-3,10_15,2021,71,21514,Gear type manual,8111
KW76271,23870,Mercedes-Benz,GLA-Klasse,GLA 180,Benzin,7,6-7,20_25,2017,122,27414,Gear type automatic,1035
SC11223,13620,Fiat,500C,1.2,Benzin,5,4-5,10_15,2019,69,36661,Gear type manual,1007
BF07873,9790,Renault,Twingo,1.0 SCe,Benzin,7,6-7,0_10,2017,70,25700,Gear type manual,8111
VZ80553,25650,Audi,A4,2.0 TFSI,Benzin,6,6-7,25_30,2018,190,89616,duplex,1025
WT89138,32480,Volkswagen,Golf VII,2.0 TSI,Benzin,4,4-5,30+,2019,300,61353,Gear type automatic,1025
VH57323,17910,Renault,Grand Scenic,1.3 TCe,Benzin,6,6-7,15_20,2018,140,80384,duplex,1038
TD37325,12450,Skoda,Fabia,1.0 TSI,Benzin,6,6-7,10_15,2018,95,63900,Gear type manual,1023
RV66565,17290,Volkswagen,Caddy,1.4 TSI,Benzin,9,8-9,15_20,2015,125,82002,Gear type manual,1038
SJ71868,9270,Renault,Clio,1.2,Benzin,9,8-9,0_10,2015,73,26518,Gear type manual,1025
NG12451,14590,Dacia,Dokker,1.6 SCe,Benzin,5,4-5,10_15,2019,102,45941,Gear type manual,1038
WN61467,11490,Opel,Corsa,1.4 Turbo,Benzin,7,6-7,10_15,2017,100,42294,Gear type manual,8111
VC83841,8490,Volkswagen,up!,1.0,Benzin,10,10-11,0_10,2014,75,83383,Gear type manual,8111
AD30997,12968,Suzuki,Ignis,1.2 DualJet,Benzin,7,6-7,10_15,2017,90,40297,Gear type manual,8111
FG57104,20460,Mercedes-Benz,C-Klasse,C 180 CGI,Benzin,10,10-11,20_25,2014,155,37589,Gear type manual,1025
MD57581,24999,Volvo,V 90,2.0 D4,Diesel,7,6-7,20_25,2017,190,81355,Gear type automatic,1023
DJ83562,30190,Ford,S-Max,2.0 EcoBlue,Diesel,4,4-5,30+,2020,150,45902,Gear type automatic,1038
EY49705,8490,Skoda,Citigo,1.0 MPI,Benzin,7,6-7,0_10,2017,60,87683,Gear type manual,8111
FY93761,16759,Nissan,Qashqai,1.2,Benzin,6,6-7,15_20,2018,115,52277,Gear type manual,1035
WS73423,19770,Ford,Kuga,1.5 EcoBoost,Benzin,6,6-7,15_20,2018,175,21653,Gear type automatic,1035
PS31419,12569,Volkswagen,Golf VII,1.6 TDI,Diesel,6,6-7,10_15,2018,115,111847,Gear type manual,1025
FH81942,12740,MINI,MINI,Cooper D,Diesel,8,8-9,10_15,2016,115,97572,Gear type manual,1025
NV10956,12680,Opel,Mokka,1.4 Turbo,Benzin,9,8-9,10_15,2015,140,85902,Gear type manual,1035
EN09464,13940,Hyundai,i20,1.0 TDGI,Benzin,6,6-7,10_15,2018,101,12444,Gear type manual,8111
CH81910,12760,Smart,fortwo,0.9 Turbo,Benzin,8,8-9,10_15,2016,90,56048,Gear type automatic,8111
EG37486,21650,Citroen,Berlingo,1.5 Blue-HDi,Diesel,5,4-5,20_25,2019,131,48433,Gear type manual,1038
ED86171,17490,Nissan,Micra,1.0 IG-T,Benzin,3,2-3,15_20,2020,101,17562,Gear type automatic,8111
UH83254,16885,MINI,MINI,One,Benzin,5,4-5,15_20,2019,102,26296,Gear type manual,8111
ZZ87206,23278,Volkswagen,Touran,2.0 TDI,Diesel,7,6-7,20_25,2017,150,96145,Gear type automatic,1038
TE88093,8106,Skoda,Citigo,1.0 MPI,Benzin,8,8-9,0_10,2015,60,66537,Gear type manual,1025
HK90409,13990,Toyota,Auris,1.2 Turbo,Benzin,6,6-7,10_15,2017,115,61464,Gear type manual,1025
TH38865,11690,Smart,fortwo,1.0,Benzin,9,8-9,10_15,2015,70,37088,Gear type automatic,8111
ZW67657,23090,BMW,3er,320d,Diesel,7,6-7,20_25,2017,190,76883,Gear type automatic,1023
CM64670,15770,Volkswagen,Golf VII,1.6 TDI,Diesel,5,4-5,15_20,2019,115,93400,Gear type manual,1025
TC01502,18790,Hyundai,Tucson,1.6,Benzin,5,4-5,15_20,2018,132,29050,Gear type manual,1035
HD47840,21990,Skoda,Karoq,1.5 TSI,Benzin,6,6-7,20_25,2018,150,79870,Gear type automatic,1035
GM42106,25290,Volkswagen,Sharan,2.0 TDI,Diesel,9,8-9,25_30,2015,177,70915,Gear type automatic,1038
SZ05416,22660,Jeep,Compass,1.4 M-Air,Benzin,6,6-7,20_25,2018,170,64133,Gear type automatic,1035
NB83907,9130,Renault,Twingo,1.0 SCe,Benzin,7,6-7,0_10,2017,70,38323,Gear type manual,1025
EB28978,13180,Smart,forfour,0.9 Turbo,Benzin,5,4-5,10_15,2019,90,12781,Gear type manual,8111
AH68100,11590,Ford,Focus,1.0 EcoBoost,Benzin,9,8-9,10_15,2015,100,31463,Gear type manual,1025
FE35628,16523,Volkswagen,Golf VII Sportsvan,2.0 TDI,Diesel,7,6-7,15_20,2017,150,86363,Gear type manual,1038
KH94985,13199,Smart,forfour,1.0,Benzin,5,4-5,10_15,2018,70,49236,Gear type automatic,8111
ES81011,15264,Skoda,Fabia,1.0 TSI,Benzin,5,4-5,15_20,2019,95,44982,Gear type manual,8111
MZ52263,22470,Mazda,CX-3,2.0,Benzin,5,4-5,20_25,2019,150,49176,Gear type automatic,1035
DR86887,18190,Volkswagen,Golf VII,1.5 TSI,Benzin,6,6-7,15_20,2017,150,82295,Gear type manual,1025
JC75844,11890,Citroen,C3,1.2 VTi,Benzin,7,6-7,10_15,2017,82,47466,Gear type manual,1025
XT12844,16570,Nissan,Qashqai,1.2,Benzin,7,6-7,15_20,2016,115,283,Gear type manual,1035
SZ24241,20839,Audi,A4,2.0 TDI,Diesel,7,6-7,20_25,2017,150,110161,Gear type automatic,1023
DX62228,10365,Volkswagen,up!,1.0,Benzin,7,6-7,10_15,2016,75,41321,Gear type manual,8111
YY54587,27968,Audi,SQ5,3.0 V6 TDI,Diesel,9,8-9,25_30,2015,313,110218,Gear type automatic,1035
VX20987,16790,BMW,2er,218i Active Tourer,Benzin,8,8-9,15_20,2015,135,94834,Gear type automatic,1038
XR86126,16990,Skoda,Scala,1.0 TSI,Benzin,5,4-5,15_20,2019,116,60624,Gear type manual,1025
VB33360,11596,Dacia,Logan MCV,0.9 TCe,Benzin,5,4-5,10_15,2018,90,88511,Gear type manual,1023
YC37023,18226,Audi,A3,1.6 TDI,Diesel,8,8-9,15_20,2016,110,102663,Gear type manual,1025
HN61677,11730,Peugeot,208,1.2 e-VTi,Benzin,5,4-5,10_15,2019,82,47857,Gear type manual,8111
NL14414,19240,Audi,Q5,2.0 TFSI,Benzin,9,8-9,15_20,2015,180,81070,Gear type manual,1035
HC48085,27290,Skoda,Karoq,1.5 TSI,Benzin,5,4-5,25_30,2019,150,37991,Gear type automatic,1035
HE19467,40590,Audi,A6,50 TDI,Diesel,6,6-7,30+,2018,286,57743,Gear type automatic,1023
FF75807,13490,Volkswagen,Polo,1.2 TSI,Benzin,8,8-9,10_15,2015,90,90309,Gear type automatic,1025
HG03529,12308,Opel,Adam,1.2,Benzin,6,6-7,10_15,2018,70,30927,Gear type manual,8111
XT28202,8289,Hyundai,i20,1.2,Benzin,9,8-9,0_10,2015,85,41460,Gear type manual,8111
NR26670,11943,Fiat,500,1.2,Benzin,6,6-7,10_15,2018,70,17710,Gear type manual,8111
AY63492,23511,Volkswagen,Golf VII,2.0 TDI,Diesel,6,6-7,20_25,2018,185,93251,duplex,1025
CB57522,16370,Fiat,500,1.2,Benzin,3,2-3,15_20,2020,69,23953,Gear type automatic,8111
JR47211,23499,BMW,X1,xDrive 20i,Benzin,8,8-9,20_25,2016,192,15117,Gear type automatic,1035
JN20028,28088,Seat,Leon,2.0 TSI,Benzin,6,6-7,25_30,2018,300,29384,Gear type automatic,1023
WK20486,44290,Mercedes-Benz,V-Klasse,V 250 d,Diesel,8,8-9,30+,2016,190,117176,Gear type automatic,1006
DJ08182,32290,Audi,A6,3.0 V6 TDI clean diesel,Diesel,5,4-5,30+,2018,272,79253,Gear type automatic,1023
BK36712,17490,Opel,Mokka X,1.4 Turbo,Benzin,7,6-7,15_20,2017,140,19514,Gear type automatic,1035
VA32739,18489,Audi,A1,1.0 TFSI,Benzin,6,6-7,15_20,2018,95,56032,Gear type automatic,8111
WK56860,9826,Opel,Corsa,1.4 Turbo,Benzin,9,8-9,0_10,2014,100,81933,Gear type manual,8111
XU61207,40690,Audi,SQ5,3.0 V6 TFSI,Benzin,6,6-7,30+,2018,355,98487,Gear type automatic,1035
NR43437,11990,Smart,forfour,1.0,Benzin,6,6-7,10_15,2018,70,31016,Gear type manual,1025
XU02124,24500,Mercedes-Benz,A-Klasse,A 180 d,Diesel,5,4-5,20_25,2019,115,43958,Gear type automatic,1025
LF81809,18045,Volkswagen,Golf VII,1.0 TSI,Benzin,7,6-7,15_20,2017,110,33945,duplex,1025
BC35473,11150,Opel,Adam,1.4,Benzin,8,8-9,10_15,2016,87,28560,Gear type manual,8111
NL48457,12490,Fiat,500,1.2,Benzin,5,4-5,10_15,2019,70,46643,Gear type manual,8111
PB55817,8990,Seat,Mii,1.0,Benzin,9,8-9,0_10,2014,60,39491,Gear type manual,8111
BM01923,8830,Volkswagen,up!,1.0,Benzin,9,8-9,0_10,2015,60,78031,Gear type manual,8111
MU26516,27400,Mercedes-Benz,CLA-Klasse,CLA 250,Benzin,7,6-7,25_30,2017,218,86875,duplex,1025
SF57027,28690,Mercedes-Benz,E-Klasse,E 200,Benzin,7,6-7,25_30,2017,185,73132,Gear type automatic,1008
UV24244,12490,Nissan,Juke,1.2,Benzin,7,6-7,10_15,2016,115,70147,Gear type manual,1035
KZ48231,22450,Ford,S-Max,2.0 EcoBlue,Diesel,4,4-5,20_25,2019,190,119149,Gear type automatic,1038
VB06078,43310,Mercedes-Benz,C-Klasse,C 200,Benzin,2,2-3,30+,2022,204,16006,Gear type automatic,1025
GT19820,19190,Opel,Combo Life,1.2,Benzin,5,4-5,15_20,2019,110,59634,Gear type manual,1038
WD50188,14730,Volkswagen,Polo,1.6 TDI,Diesel,6,6-7,10_15,2018,95,92130,Gear type manual,8111
LU62663,23830,Citroen,C5 Aircross,2.0 Blue-HDi,Diesel,5,4-5,20_25,2019,179,65365,Gear type automatic,1035
KD29071,36610,Audi,Q3,40 TDI,Diesel,5,4-5,30+,2019,190,40074,duplex,1035
UY82347,22050,Audi,A4,2.0 TDI,Diesel,6,6-7,20_25,2018,150,107449,duplex,1023
NB04381,25560,BMW,4er,428i,Benzin,9,8-9,25_30,2015,245,35922,Gear type automatic,1008
PC63343,10990,Smart,fortwo,1.0,Benzin,9,8-9,10_15,2015,70,73490,Gear type automatic,8111
ZN95552,16890,Hyundai,Santa Fe,2.4,Benzin,8,8-9,15_20,2016,188,114920,Gear type manual,1035
BM00255,19750,Kia,Sportage,1.6 GDI,Benzin,5,4-5,15_20,2018,132,43682,Gear type manual,1035
AM74901,9890,Smart,forfour,1.0,Benzin,5,4-5,0_10,2018,70,85622,Gear type manual,1025
HA72395,15750,Skoda,Octavia,2.0 TDI,Diesel,8,8-9,15_20,2016,150,84084,Gear type manual,1023
AU10608,18790,Seat,Leon,1.5 TSI,Benzin,6,6-7,15_20,2018,150,88510,Gear type automatic,1025
VV45076,31490,Kia,Niro,1.6 Plug-in Hybrid,Hybrid,2,2-3,30+,2022,183,20490,duplex,1035
GA70950,37200,Mercedes-Benz,E-Klasse,E 300e,Hybrid,4,4-5,30+,2020,320,35942,Gear type automatic,1023
GU66427,20790,Ford,Kuga,1.5 EcoBoost,Benzin,6,6-7,20_25,2018,175,97571,Gear type automatic,1035
JJ94546,10963,Opel,Corsa,1.4 Turbo,Benzin,7,6-7,10_15,2017,100,68194,Gear type manual,8111
PH89739,14990,Opel,Adam,1.4 Turbo,Benzin,6,6-7,10_15,2018,150,81439,Gear type manual,1025
CX81463,9290,Renault,Clio,1.2,Benzin,6,6-7,0_10,2017,73,104367,Gear type manual,1025
XV09100,22600,Toyota,C-HR,1.8 Hybrid,Hybrid,4,4-5,20_25,2020,98,36396,Gear type automatic,1035
FL24624,13671,Volkswagen,up!,1.0 TSI,Benzin,6,6-7,10_15,2018,115,62302,Gear type manual,8111
MF67886,28990,Toyota,Corolla,2.0 Hybrid,Hybrid,3,2-3,25_30,2021,179,31926,Gear type automatic,1023
GG93321,13790,BMW,1er,116d,Diesel,9,8-9,10_15,2015,115,110716,Gear type automatic,1025
PT94231,30490,Mercedes-Benz,T-Klasse,T 180 d,Diesel,2,2-3,30+,2022,116,6684,Gear type automatic,1038
XD03513,12450,Hyundai,i20,1.0 TGDI,Benzin,4,4-5,10_15,2020,100,77949,Gear type manual,1025
GG53173,14990,Volkswagen,Polo,1.0 TSI,Benzin,6,6-7,10_15,2017,95,110660,Gear type automatic,8111
LM80917,18760,Hyundai,Tucson,1.6,Benzin,5,4-5,15_20,2018,132,46937,Gear type manual,1035
EJ47612,12690,Audi,A1,1.0 TFSI,Benzin,9,8-9,10_15,2015,95,73730,Gear type manual,1025
VM76715,13798,Fiat,500C,1.2,Benzin,5,4-5,10_15,2018,70,43253,Gear type manual,1007
BE18018,17716,Ford,Fiesta,1.0 EcoBoost Mild-Hybrid,Benzin,3,2-3,15_20,2020,155,50141,Gear type manual,8111
HU80897,13920,Toyota,Yaris,1.5 Hybrid,Hybrid,8,8-9,10_15,2015,73,38379,Gear type automatic,8111
BK32829,13512,Mercedes-Benz,A-Klasse,A 180,Benzin,9,8-9,10_15,2015,122,90572,Gear type manual,1025
YK05617,27290,Peugeot,5008,1.5 Blue-HDi,Diesel,3,2-3,25_30,2020,131,80549,Gear type automatic,1035
PT13189,20539,Toyota,RAV 4,2.5 Hybrid,Hybrid,8,8-9,20_25,2016,197,118067,Gear type automatic,1035
