dates,cars_sold_de,cars_online,avg_buyprice,bookmarks,opportunity
2021-11-13,53,2871,18025,1912,2122
2021-11-14,25,2830,18077,2059,1830
2021-11-15,74,2799,18158,1559,2533
2021-11-16,65,2795,18198,1759,2425
2021-11-17,62,2830,18181,1414,2418
2021-11-18,64,2830,18209,1145,2312
2021-11-19,46,2871,18241,1536,2206
2021-11-20,34,2892,18280,1519,1974
2021-11-21,26,2855,18344,1779,1839
2021-11-22,67,2881,18403,1915,2578
2021-11-23,70,2913,18420,1546,2342
2021-11-24,64,2952,18412,1561,2379
2021-11-25,56,2984,18386,1834,2487
2021-11-26,44,3036,18411,1357,2204
2021-11-27,54,3008,18483,1530,2047
2021-11-28,21,2974,18533,1696,1892
2021-11-29,68,2979,18517,1559,2649
2021-11-30,66,3025,18549,1492,2660
2021-12-01,48,3031,18560,1410,2575
2021-12-02,58,3076,18621,1417,2477
2021-12-03,46,3103,18624,1303,2273
2021-12-04,40,3105,18668,1837,2041
2021-12-05,30,3069,18715,1929,2023
2021-12-06,57,3033,18751,1593,2494
2021-12-07,59,3032,18771,1856,2403
2021-12-08,61,3034,18806,1815,2429
2021-12-09,44,3125,18669,2019,2444
2021-12-10,60,3158,18639,1486,2181
2021-12-11,41,3161,18692,1996,2185
2021-12-12,26,3129,18719,1966,1949
2021-12-13,64,3063,18798,1606,2717
2021-12-14,49,3108,18838,1612,2613
2021-12-15,61,3209,18884,1584,2415
2021-12-16,58,3242,18914,1450,2416
2021-12-17,34,3309,18886,1633,2147
2021-12-18,36,3315,18906,1547,2000
2021-12-19,20,3306,18953,1878,1803
2021-12-20,52,3287,19024,1188,2300
2021-12-21,51,3320,18977,1434,2112
2021-12-22,33,3394,18960,1621,2227
2021-12-23,31,3414,18967,1385,2037
2021-12-24,26,3393,18970,1012,1370
2021-12-25,13,3374,18990,1693,1475
2021-12-26,18,3346,19009,1813,1797
2021-12-27,47,3318,19049,1982,3007
2021-12-28,62,3354,19095,2158,2953
2021-12-29,59,3324,19132,2403,2948
2021-12-30,63,3363,19216,1926,2691
2021-12-31,24,3333,19202,1360,1845
2022-01-01,17,3312,19223,1857,1637
2022-01-02,19,3284,19274,2662,2291
2022-01-03,64,3205,19268,2477,3346
2022-01-04,52,3298,19265,2531,3254
2022-01-05,89,3277,19353,2449,3068
2022-01-06,49,3308,19384,2143,2681
2022-01-07,75,3261,19385,2319,3183
2022-01-08,61,3222,19408,2171,2733
2022-01-09,21,3202,19437,2548,2412
2022-01-10,68,3202,19432,2338,3151
2022-01-11,82,3198,19465,2181,2970
2022-01-12,69,3226,19413,2090,3159
2022-01-13,54,3249,19512,2234,3083
2022-01-14,71,3277,19466,2153,3099
2022-01-15,53,3246,19523,2089,2796
2022-01-16,34,3217,19551,2751,2621
2022-01-17,78,3139,19589,2166,3361
2022-01-18,70,3115,19622,2083,3197
2022-01-19,56,3096,19677,2181,3048
2022-01-20,41,3081,19717,1773,3046
2022-01-21,59,3011,19706,1895,2966
2022-01-22,53,3029,19698,2346,2714
2022-01-23,20,3008,19748,2783,2492
2022-01-24,76,2941,19765,2191,3274
2022-01-25,69,2880,19817,2140,3147
2022-01-26,54,2944,19776,2310,3202
2022-01-27,48,2953,19801,2072,3020
2022-01-28,52,2761,20059,2034,2915
2022-01-29,56,2737,20156,2128,2643
2022-01-30,30,2708,20241,2388,2358
2022-01-31,77,2686,20247,1951,3275
2022-02-01,56,2701,20192,1811,2918
2022-02-02,54,2712,20184,2009,2999
2022-02-03,50,2721,20193,1595,2945
2022-02-04,64,2742,20104,1782,2745
2022-02-05,43,2709,20145,2438,2482
2022-02-06,21,2681,20193,2221,2308
2022-02-07,74,2630,20256,1980,3029
2022-02-08,64,2652,20320,1904,2939
2022-02-09,58,2667,20273,2103,3001
2022-02-10,72,2667,20301,1770,2894
2022-02-11,54,2697,20275,1809,2691
2022-02-12,48,2662,20366,2174,2320
2022-02-13,31,2617,20453,2033,2182
2022-02-14,58,2594,20534,1764,2773
2022-02-15,47,2654,20482,1779,2874
2022-02-16,58,2665,20502,1880,3015
2022-02-17,55,2664,20546,1886,2817
2022-02-18,69,2660,20623,2159,2811
2022-02-19,54,2633,20703,1889,2556
2022-02-20,34,2582,20782,2323,2556
2022-02-21,67,2567,20818,2060,3280
2022-02-22,63,2690,20761,2113,3010
2022-02-23,61,2675,20842,2071,2678
2022-02-24,54,2738,20826,1621,2478
2022-02-25,52,2783,20814,1668,2230
2022-02-26,42,2771,20771,1931,2225
2022-02-27,26,2732,20847,1991,1964
2022-02-28,63,2700,20941,1556,2642
2022-03-01,70,2688,20921,1350,2471
2022-03-02,48,2758,20830,1643,2672
2022-03-03,59,2758,20810,1661,2544
2022-03-04,55,2783,20806,1594,2425
2022-03-05,39,2754,20828,1862,2195
2022-03-06,28,2710,20921,1546,2008
2022-03-07,48,2717,20962,1838,2689
2022-03-08,34,2711,21015,1732,2558
2022-03-09,51,2708,21037,1650,2621
2022-03-10,45,2712,21098,1549,2544
2022-03-11,38,2764,21090,1549,2401
2022-03-12,34,2786,21085,1798,2058
2022-03-13,21,2770,21109,1743,1951
2022-03-14,50,2754,21153,1671,2689
2022-03-15,62,2773,21150,2053,2587
2022-03-16,46,2776,21123,1680,2723
2022-03-17,48,2867,21075,1531,2669
2022-03-18,47,2979,20979,1652,2495
2022-03-19,35,2969,20986,1533,2252
2022-03-20,21,2955,20980,1549,2190
2022-03-21,41,2962,20978,1424,2890
2022-03-22,46,3025,20909,1531,2788
2022-03-23,52,3049,20840,1602,2773
2022-03-24,59,3085,20816,1794,2612
2022-03-25,46,3119,20755,1465,2513
2022-03-26,46,3123,20743,1375,2230
2022-03-27,20,3115,20759,1795,2033
2022-03-28,52,3050,20867,1598,3023
2022-03-29,53,3124,20832,1585,3010
2022-03-30,49,3171,20766,2061,3089
2022-03-31,47,3208,20685,1581,3008
2022-04-01,38,3219,20644,1757,2741
2022-04-02,41,3239,20593,1517,2453
2022-04-03,18,3216,20628,2029,2436
2022-04-04,73,3210,20704,1603,3180
2022-04-05,52,3259,20662,1731,2990
2022-04-06,48,3286,20600,1859,3027
2022-04-07,67,3286,20556,1724,2933
2022-04-08,55,3324,20548,1717,2793
2022-04-09,46,3342,20504,1835,2696
2022-04-10,25,3328,20542,1864,2296
2022-04-11,58,3313,20515,1592,3068
2022-04-12,52,3365,20452,1507,2964
2022-04-13,48,3440,20411,1553,2653
2022-04-14,53,3506,20319,1496,2430
2022-04-15,25,3513,20256,2010,2333
2022-04-16,38,3452,20296,1400,2114
2022-04-17,20,3427,20331,1724,2013
2022-04-18,27,3362,20366,2014,2469
2022-04-19,49,3403,20414,1831,3215
2022-04-20,46,3478,20248,1819,3216
2022-04-21,58,3547,20113,1829,3119
2022-04-22,51,3597,20043,1999,2939
2022-04-23,42,3597,19996,1812,2630
2022-04-24,27,3569,20012,2080,2485
2022-04-25,76,3490,20046,1910,2996
2022-04-26,74,3579,20027,1773,3140
2022-04-27,61,3599,20010,1447,3092
2022-04-28,47,3647,19948,1566,3079
2022-04-29,56,3696,19889,1525,2809
2022-04-30,44,3702,19800,1530,2514
2022-05-01,21,3690,19803,2223,2294
2022-05-02,57,3648,19811,1708,3156
2022-05-03,54,3663,19753,1709,3068
2022-05-04,64,3748,19645,2089,3091
2022-05-05,55,3804,19556,1950,3027
2022-05-06,59,3846,19456,1504,2689
2022-05-07,45,3835,19446,1573,2455
2022-05-08,33,3783,19495,2180,2400
2022-05-09,70,3773,19471,1822,3169
2022-05-10,72,3801,19405,1594,3026
2022-05-11,62,3832,19350,1786,2829
