id,first_price,eligible_month,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,fueltype,geartype,time_online_to_reserve_
PK53004,10190.0,February,DE,0,Dacia,Logan MCV II,0.9 TCe,Blue,2018,Kombi,Stoff,5.3,64900,90,Benzin,manual,26
ZT08065,24920.0,June,DE,0,Volvo,XC 60,2.0 D4,Brown,2015,SUV,Leder,4.5,89258,190,Diesel,automatic,68
FT01338,32870.0,November,DE,0,Mercedes-Benz,GLC-Klasse,GLC 250,Black,2016,SUV,Leder,6.5,39330,210,Benzin,automatic,24
DM21665,13990.0,January,DE,0,BMW,1er,116i,Black,2015,Limousine,Stoff,5.3,74845,110,Benzin,manual,12
NY28867,26790.0,November,LU,0,Volkswagen,Tiguan,2.0 TDI,Gray,2017,SUV,Alcantara,5.7,52341,150,Diesel,automatic,24
XR01942,24690.0,September,DE,0,BMW,X1,xDrive 20d,Black,2016,SUV,Leder,4.9,59524,190,Diesel,automatic,19
PT97944,25410.0,December,DE,0,Audi,Q2,1.4 TFSI ACT,White,2018,SUV,Teilleder,5.5,48554,150,Benzin,manual,129
VT95714,8700.0,July,DE,0,Hyundai,i20,1.2,Gray,2016,Limousine,Stoff,5.1,29502,75,Benzin,manual,4
NX36813,14450.0,May,DE,0,Kia,Rio,1.2,White,2019,Limousine,Stoff,5.6,11364,85,Benzin,manual,40
AV56046,17990.0,January,DE,0,Volkswagen,Golf VII,1.4 TSI,Black,2017,Limousine,Stoff,5.2,34059,125,Benzin,manual,3
CA30241,14400.0,July,DE,1,Volkswagen,Tiguan,2.0 TDI,Yellow,2014,SUV,Stoff,6,78661,140,Diesel,manual,12
SS21395,16200.0,October,DE,0,Mercedes-Benz,A-Klasse,A 180,Gray,2016,Limousine,Teilleder,5.6,42487,122,Benzin,manual,2
FK72709,17000.0,October,DE,0,Nissan,Qashqai,1.2,White,2018,SUV,Stoff,5.6,49231,115,Benzin,manual,68
FH94410,12000.0,July,IT,0,Fiat,500,1.2,Gray,2019,Limousine,Stoff,5.7,34207,70,Benzin,manual,55
HH00754,27800.0,September,DE,0,Volkswagen,Golf VII,2.0 TSI,Black,2018,Limousine,Stoff,6.3,31255,230,Benzin,automatic,102
GR37049,13900.0,September,DE,0,Volkswagen,Passat,1.4 TSI,Gray,2014,Kombi,Stoff,6.1,47724,122,Benzin,automatic,5
XB82594,22890.0,March,DE,0,Audi,A3 Limousine,1.4 TFSI,Gray,2017,Limousine,Stoff,5.0,48949,150,Benzin,automatic,56
PK25670,25610.0,May,DE,0,Mercedes-Benz,E-Klasse,E 350 CDI,Black,2013,Limousine,Leder,5.9,117651,252,Diesel,automatic,5
WD38228,18200.0,September,DE,0,Toyota,Yaris,1.5 Hybrid,White,2019,Limousine,Stoff,3.6,7761,101,Hybrid,automatic,18
ZT89489,14260.0,March,DE,0,Dacia,Lodgy,1.2 TCe,Gray,2017,Van,Teilleder,5.5,58037,115,Benzin,manual,1
CR30105,11600.0,March,DE,0,Volkswagen,Golf VII Sportsvan,1.6 TDI,Red,2014,Van,Stoff,3.9,82373,110,Diesel,manual,114
PS16734,10200.0,August,DE,0,Opel,Astra,1.4 Turbo,Black,2014,Kombi,Teilleder,5.8,93280,140,Benzin,manual,10
RC23198,10790.0,March,DE,0,Opel,Meriva,1.4 Turbo,Silver,2013,Van,Teilleder,7.2,43236,120,Benzin,automatic,10
FP60182,14890.0,May,DE,0,Renault,Captur,1.2 TCe Energy,Gray,2016,SUV,Leder,5.4,54778,120,Benzin,automatic,42
XG44921,18840.0,June,DE,0,Opel,Mokka X,1.4 Turbo,Red,2017,SUV,Teilleder,6.2,52722,140,Benzin,automatic,97
CL65221,27890.0,September,DE,0,Seat,Ateca,1.5 TSI,Red,2019,SUV,Alcantara,5.7,21022,150,Benzin,automatic,67
DV74864,22750.0,June,DE,0,Volkswagen,Polo,1.0 TSI,Gray,2020,Limousine,Stoff,4.7,5781,110,Benzin,automatic,73
LK94335,25990.0,February,DE,0,Kia,pro_cee'd,1.6 TGDI,Gray,2019,Coupe,Alcantara,6.2,23169,205,Benzin,automatic,8
TZ38033,27070.0,December,DE,0,Peugeot,3008,2.0 Blue-HDi,Red,2017,SUV,Leder,5.8,50677,180,Diesel,automatic,24
FZ79400,11440.0,March,DE,0,Kia,Rio,1.4,Gray,2014,Limousine,Stoff,5.5,28962,110,Benzin,manual,29
KE60874,15780.0,February,DE,0,Ford,EcoSport,1.0 EcoBoost,Blue,2018,SUV,Stoff,5.3,15736,125,Benzin,manual,11
VR05311,11300.0,August,DE,0,Skoda,Rapid,1.2 TSI,White,2015,Limousine,Stoff,4.8,68164,110,Benzin,manual,13
DM44680,19890.0,December,DE,0,BMW,1er,120d,Gray,2016,Limousine,Leder,3.9,85330,190,Diesel,automatic,14
TN91605,21390.0,October,DE,0,Audi,Q3,2.0 TDI,Blue,2015,SUV,Stoff,5.1,56341,150,Diesel,automatic,63
LD47012,19690.0,October,DE,0,BMW,2er,220i Active Tourer,Gray,2015,Van,Stoff,5.6,21105,192,Benzin,automatic,74
