stock_number,retail_country,rating_scale,rates,make,model,mileage_cluster,mileage,horsepower,built_year,esp,fueltype,geartype,body_type
BE31145,DE,3,3- Appropriate,Kia,cee'd,100k+,102415,135,2016,12943.0,Benzin,Gear type manual,Kombi
JU48871,IT,5,5- Too high,Chevrolet,Aveo,20-30k,21442,70,2012,7599.0,Benzin,Gear type manual,Limousine
SD28582,DE,5,5- Too high,Volkswagen,T-Roc,0-10k,4299,150,2022,36990.0,Benzin,Gear type automatic,SUV
MK03007,DE,4,4- A little high,Hyundai,i30,60-70k,63505,100,2016,11990.0,Benzin,Gear type manual,Limousine
YC68960,DE,4,4- A little high,Opel,Zafira Life,70-80k,74841,177,2020,36261.0,Diesel,Gear type automatic,Bus
AU41000,AT,3,3- Appropriate,Renault,Grand Scenic,90-100k,97974,130,2015,11890.0,Diesel,Gear type manual,Van
ZY26737,IT,4,4- A little high,Audi,Q2,20-30k,27087,116,2020,29499.0,Diesel,Gear type manual,SUV
ZT65105,DE,4,4- A little high,Citroen,C5 Aircross,30-40k,30523,131,2019,22693.0,Diesel,Gear type manual,SUV
MW86873,DE,4,4- A little high,Hyundai,Tucson,60-70k,68051,132,2016,16690.0,Benzin,Gear type manual,SUV
ZB44914,PL,4,4- A little high,Nissan,Qashqai,40-50k,49287,115,2014,12651.0,Benzin,Gear type manual,SUV
JX15231,DE,3,3- Appropriate,Mercedes-Benz,GLA-Klasse,70-80k,76894,122,2017,23808.0,Benzin,Gear type automatic,SUV
CT37061,AT,5,5- Too high,Volkswagen,Touran,100k+,109745,150,2017,24490.0,Benzin,duplex,Van
TK06829,IT,4,4- A little high,Kia,Sportage,50-60k,50932,116,2018,21299.0,Diesel,Gear type manual,SUV
KC87163,AT,5,5- Too high,Audi,A4,100k+,114815,120,2013,12990.0,Benzin,Gear type manual,Limousine
TE90435,BE,4,4- A little high,Kia,Picanto,60-70k,61893,85,2018,12699.0,Benzin,Gear type manual,Limousine
XZ31802,PL,3,3- Appropriate,Toyota,Auris,100k+,136359,100,2014,11880.0,Hybrid,Gear type automatic,Limousine
FE54996,DE,2,2- Good,Mercedes-Benz,GLA-Klasse,30-40k,37781,122,2018,26820.0,Benzin,Gear type automatic,SUV
GJ62615,DE,1,1- Very Good,Volkswagen,Tiguan Allspace,30-40k,39436,220,2018,34778.0,Benzin,Gear type automatic,SUV
DX46275,IT,4,4- A little high,Ford,Ranger,50-60k,53517,212,2021,42799.0,Diesel,Gear type automatic,Pickup
DL28892,DE,5,5- Too high,Volkswagen,Golf VII,70-80k,71662,105,2014,15032.0,Diesel,Gear type automatic,Limousine
MF70519,IT,4,4- A little high,Opel,Mokka X,50-60k,53068,140,2018,15699.0,Gas,Gear type manual,SUV
MN66667,DE,4,4- A little high,Mercedes-Benz,CLA-Klasse,20-30k,21746,122,2015,19900.0,Benzin,Gear type manual,Kombi
CJ40002,DE,5,5- Too high,Renault,Kadjar,30-40k,31906,130,2018,15971.0,Benzin,Gear type manual,SUV
BS82185,DE,4,4- A little high,Audi,Q3,100k+,119145,140,2014,15586.0,Diesel,Gear type manual,SUV
US77647,IT,4,4- A little high,Hyundai,Tucson,30-40k,34429,179,2020,33299.0,Hybrid,Semi-automatic,SUV
NP04891,PL,5,5- Too high,Ford,Kuga,100k+,150645,150,2015,12511.0,Benzin,Gear type manual,SUV
FK78166,AT,4,4- A little high,Mercedes-Benz,B-Klasse,80-90k,80664,155,2012,14490.0,Benzin,Gear type manual,Van
EU27779,AT,5,5- Too high,Seat,Ibiza,20-30k,29219,115,2020,21590.0,Benzin,duplex,Limousine
EV62527,DE,4,4- A little high,Volkswagen,Polo,50-60k,50892,110,2017,16290.0,Benzin,Gear type manual,Limousine
AM63408,IT,4,4- A little high,BMW,X3,90-100k,96299,190,2018,27799.0,Diesel,Gear type automatic,SUV
VL26458,BE,2,2- Good,Volkswagen,T-Roc,100k+,106931,150,2020,23550.0,Benzin,Gear type automatic,SUV
ST64091,PL,3,3- Appropriate,Alfa Romeo,Giulietta,100k+,106722,120,2015,10514.0,Benzin,Gear type manual,Limousine
MX82851,DE,4,4- A little high,Volvo,XC 90,100k+,112254,235,2017,39490.0,Diesel,Gear type automatic,SUV
EY05753,DE,2,2- Good,Audi,A6 Allroad,70-80k,75948,320,2017,34390.0,Diesel,Gear type automatic,Kombi
JN79107,DE,5,5- Too high,Mercedes-Benz,C-Klasse,90-100k,90597,185,2016,22642.0,Benzin,Gear type automatic,Limousine
RM39663,IT,5,5- Too high,Fiat,Tipo,30-40k,36268,95,2017,13799.0,Diesel,Gear type manual,Limousine
WC44737,IT,4,4- A little high,Fiat,500L,0-10k,4256,95,2022,18999.0,Benzin,Gear type manual,Van
EN79833,DE,4,4- A little high,Volkswagen,Golf VII,100k+,103232,300,2019,29590.0,Benzin,Gear type automatic,Limousine
PZ46700,DE,1,1- Very Good,BMW,1er,70-80k,70903,135,2014,15860.0,Benzin,Gear type manual,Limousine
WB14299,DE,4,4- A little high,Kia,Sportage,60-70k,64919,135,2014,14499.0,Benzin,Gear type manual,SUV
DF17512,IT,1,1- Very Good,Volkswagen,Tiguan,50-60k,50416,115,2019,24099.0,Diesel,Gear type manual,SUV
ES44383,DE,4,4- A little high,Audi,Q5,100k+,105406,190,2016,29490.0,Diesel,Gear type automatic,SUV
NK88597,PL,3,3- Appropriate,Kia,Optima,100k+,116471,140,2018,17195.0,Diesel,duplex,Kombi
WW77941,DE,4,4- A little high,Mercedes-Benz,C-Klasse,60-70k,61459,155,2014,17990.0,Benzin,Gear type automatic,Coupe
CC90012,DE,4,4- A little high,Renault,Captur,100k+,111311,90,2015,10509.0,Benzin,Gear type manual,SUV
TS51895,IT,5,5- Too high,Alfa Romeo,Giulia,100k+,140429,210,2017,22799.0,Diesel,Gear type automatic,Limousine
FE91671,DE,3,3- Appropriate,Renault,Clio,50-60k,52658,73,2014,8920.0,Benzin,Gear type manual,Limousine
RA92268,BE,3,3- Appropriate,Peugeot,108,100k+,101944,82,2017,8525.0,Benzin,Gear type manual,Limousine
XN83243,DE,2,2- Good,Renault,Kadjar,50-60k,56974,130,2016,14890.0,Benzin,Gear type manual,SUV
JA30058,DE,5,5- Too high,Volkswagen,Passat,70-80k,71428,120,2017,17673.0,Diesel,Gear type manual,Kombi
FA48349,IT,2,2- Good,Lancia,Ypsilon,50-60k,55276,85,2013,8399.0,Benzin,Semi-automatic,Limousine
