id,first_price,eligible_month,eligible_date,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,fueltype,geartype,time_online_to_reserve_
NZ75078,8250.0,July,2022-07,DE,0,Volkswagen,up!,1.0,White,2015,Limousine,Stoff,4.6,86334,60,Benzin,manual,47
XJ06182,36890.0,December,2021-12,DE,0,Audi,SQ5,3.0 V6 TDI,White,2016,SUV,Leder,6.6,87610,325,Diesel,automatic,9
KN77178,13590.0,January,2022-01,DE,0,Dacia,Sandero II,0.9 TCe,Blue,2019,Limousine,Stoff,5.5,4210,90,Benzin,manual,6
SH91757,12600.0,October,2021-10,DE,0,Volkswagen,Polo,1.2 TSI,White,2014,Limousine,Stoff,5,45368,110,Benzin,manual,24
SM33112,34990.0,May,2023-05,DE,0,BMW,5er,530i,White,2019,Limousine,Leder,5.8,23927,252,Benzin,automatic,20
GV47192,19400.0,April,2021-04,DE,0,Mercedes-Benz,C-Klasse,C 220 d,White,2014,Kombi,Teilleder,4.5,80523,170,Diesel,automatic,72
DB35258,17290.0,December,2022-12,DE,0,BMW,1er,118i,White,2017,Limousine,Stoff,5.1,82523,135,Benzin,automatic,10
UZ08079,36100.0,April,2021-04,DE,0,Toyota,ProAce Verso,2.0 D-4D,White,2019,Bus,Stoff,5.4,10875,177,Diesel,automatic,68
CD07274,16590.0,February,2023-02,DE,0,Citroen,C4 Grand Picasso,1.2 e-THP,White,2017,Van,Stoff,5.0,61028,130,Benzin,manual,33
YZ99654,7190.0,October,2022-10,DE,0,Volkswagen,up!,1.0,Silver,2016,Limousine,Stoff,4.5,100106,60,Benzin,manual,7
HT94978,15500.0,September,2021-09,DE,0,Volkswagen,Golf VII Sportsvan,1.2 TSI,White,2017,Van,Stoff,5,58213,110,Benzin,automatic,52
PF91614,29790.0,December,2022-12,DE,0,Audi,SQ5,3.0 V6 TDI,Black,2014,SUV,Leder,6.8,82870,313,Diesel,automatic,17
KM51666,23990.0,October,2022-10,DE,1,Audi,Q3,2.0 TFSI,Gray,2015,SUV,Alcantara,7.2,84041,180,Benzin,automatic,27
LV36462,17900.0,August,2022-08,DE,0,Mitsubishi,ASX,1.6,Blue,2019,SUV,Stoff,5.7,22700,117,Benzin,manual,9
WG98409,19000.0,May,2021-05,DE,0,Kia,Sportage,1.6 GDI,Blue,2018,SUV,Stoff,7.2,24526,132,Benzin,manual,78
NK45930,8900.0,September,2021-09,DE,0,Kia,cee'd,1.6 CRDi,Gray,2014,Kombi,Stoff,4.5,116725,128,Diesel,manual,3
SY21795,25500.0,August,2022-08,DE,0,Audi,A4,2.0 TDI,Gray,2018,Kombi,Stoff,4.2,64047,150,Diesel,automatic,44
BR16812,8020.0,September,2022-09,DE,0,Skoda,Citigo,1.0 MPI,Blue,2017,Limousine,Stoff,4.4,49829,60,Benzin,manual,19
PD61267,28400.0,October,2021-10,DE,0,Volkswagen,Golf VII,2.0 TDI,Gray,2019,Kombi,Stoff,4.6,22370,185,Diesel,automatic,52
DU82166,15890.0,September,2022-09,DE,0,Renault,Captur,1.2 TCe Energy,Red,2016,SUV,Teilleder,5.6,15784,118,Benzin,automatic,24
GR37049,13900.0,September,2021-09,DE,0,Volkswagen,Passat,1.4 TSI,Gray,2014,Kombi,Stoff,6.1,47724,122,Benzin,automatic,5
PU52455,18490.0,July,2022-07,DE,0,Mercedes-Benz,A-Klasse,A 180,White,2015,Limousine,Teilleder,5.5,55858,122,Benzin,automatic,86
SN55874,8880.0,April,2022-04,DE,0,Hyundai,ix20,1.4,White,2014,Van,Leder,6.0,118015,90,Benzin,manual,110
NA87155,7500.0,September,2022-09,DE,0,Mitsubishi,Space,1.0,White,2016,Limousine,Stoff,4.2,31384,70,Benzin,manual,1
AD24826,22550.0,December,2021-12,DE,0,Toyota,C-HR,1.8 Hybrid,White,2018,SUV,Stoff,3.9,18080,122,Hybrid,automatic,22
UV83574,9290.0,September,2022-09,BG,0,Hyundai,i10,1.2,Black,2015,Limousine,Stoff,4.9,20123,87,Benzin,manual,60
CM51038,7510.0,June,2022-06,DE,0,Mitsubishi,Space,Star 1.0,White,2016,Limousine,Stoff,4.2,40079,70,Benzin,manual,2
EL26454,16500.0,December,2022-12,DE,0,Opel,Cascada,1.6 SIDI Turbo,White,2015,Cabrio,Leder,6.8,87911,200,Benzin,manual,51
FG44796,11990.0,August,2022-08,DE,0,Skoda,Fabia,1.2 TSI,Gray,2016,Limousine,Stoff,4.6,27851,90,Benzin,manual,59
XE21212,18620.0,June,2022-06,DE,0,Mercedes-Benz,CLA-Klasse,Shooting Brake CLA 200,Black,2016,Kombi,Teilleder,4.1,95159,135,Diesel,automatic,1
HP08128,24610.0,May,2022-05,DE,1,MINI,MINI,Cooper S,Black,2017,Limousine,Teilleder,5.3,48316,192,Benzin,automatic,117
RB85499,24100.0,October,2021-10,DE,0,Kia,Sorento,2.2 CRDi,White,2015,SUV,Leder,6.7,54227,200,Diesel,automatic,103
DL59388,30500.0,June,2022-06,DE,0,Audi,A4,3.0 V6 TDI,Gray,2016,Kombi,Leder,5.4,82640,272,Diesel,automatic,3
RS04440,18800.0,February,2022-02,DE,0,Audi,A5 Sportsback,2.0 TDI,Black,2016,Kombi,Stoff,4.5,99438,150,Diesel,automatic,2
EW46186,11700.0,July,2022-07,DE,0,Smart,forfour,0.9 Turbo,Red,2016,Limousine,Stoff,5.2,63260,90,Benzin,automatic,12
CC03888,28990.0,April,2023-04,DE,0,Nissan,Juke,1.6 Hybrid,White,2022,SUV,Leder,5.0,5981,117,Hybrid,automatic,65
BU51554,18700.0,October,2021-10,DE,0,Nissan,Juke,1.6,Gray,2018,SUV,Leder,6.6,12560,113,Benzin,automatic,31
CP83196,14590.0,February,2022-02,DE,0,Volkswagen,Golf VII,2.0 TDI,Black,2013,Limousine,Stoff,4.1,70709,150,Diesel,manual,7
BP31067,25890.0,October,2022-10,DE,0,Mercedes-Benz,C-Klasse,C 180 CGI,Black,2018,Limousine,Teilleder,5.0,44175,155,Benzin,automatic,35
