dates,cars_sold_de,cars_sold_it,cars_sold_fr,cars_sold_es,cars_sold_pl,cars_sold_se,cars_sold_at,cars_sold_be,cars_sold_nl
2021-07-18,11,7,7,8,3,1,0,0,4
2021-07-19,30,26,23,20,16,9,5,14,10
2021-07-20,34,21,28,26,9,5,6,8,5
2021-07-21,27,23,23,18,13,8,5,4,9
2021-07-22,30,22,22,11,11,2,4,6,9
2021-07-23,25,23,23,15,10,3,2,10,1
2021-07-24,21,15,18,12,8,3,0,5,8
2021-07-25,11,8,6,5,0,0,1,1,2
2021-07-26,27,18,21,16,13,5,2,8,10
2021-07-27,24,20,21,16,10,7,5,13,8
2021-07-28,31,23,20,15,9,7,8,8,3
2021-07-29,23,24,25,18,12,8,3,13,6
2021-07-30,33,18,11,10,11,8,3,10,12
2021-07-31,19,10,19,12,12,6,0,6,5
2021-08-01,11,4,5,6,1,3,0,1,1
2021-08-02,29,19,26,30,15,7,6,13,10
2021-08-03,39,19,30,15,11,3,6,9,9
2021-08-04,38,21,27,17,14,12,2,10,22
2021-08-05,30,16,18,22,13,5,4,5,9
2021-08-06,32,24,28,19,12,9,1,10,6
2021-08-07,28,9,18,5,10,2,0,10,5
2021-08-08,11,7,3,0,2,0,0,2,2
2021-08-09,32,18,35,17,13,8,4,9,8
2021-08-10,35,16,17,11,12,9,5,6,3
2021-08-11,32,14,34,17,7,10,2,8,10
2021-08-12,22,20,26,18,11,7,6,7,7
2021-08-13,30,13,15,10,4,8,2,5,18
2021-08-14,30,6,11,3,14,1,0,2,6
2021-08-15,11,6,4,6,0,0,0,1,7
2021-08-16,39,14,18,18,9,5,9,7,12
2021-08-17,33,10,27,16,10,11,4,5,7
2021-08-18,29,14,34,25,8,8,5,4,12
2021-08-19,23,15,22,18,11,10,3,6,6
2021-08-20,28,17,31,15,18,3,6,7,10
2021-08-21,14,12,21,8,5,4,0,3,8
2021-08-22,17,4,9,4,0,0,0,2,2
2021-08-23,38,20,25,25,16,5,12,10,12
2021-08-24,32,25,31,15,16,12,2,4,12
2021-08-25,27,29,37,23,7,22,4,10,11
2021-08-26,41,17,19,18,9,13,5,8,14
2021-08-27,29,23,28,22,13,11,4,10,5
2021-08-28,18,21,38,6,7,7,0,10,7
2021-08-29,5,5,5,6,4,2,0,3,6
2021-08-30,39,25,25,18,10,7,10,10,11
2021-08-31,36,25,26,21,14,9,9,9,7
2021-09-01,39,34,25,24,24,4,5,4,15
2021-09-02,26,33,17,23,16,13,2,7,12
2021-09-03,38,18,25,21,8,6,7,9,12
2021-09-04,19,23,21,12,15,5,0,8,4
2021-09-05,15,9,6,8,0,2,0,4,6
2021-09-06,46,42,22,24,10,8,4,12,14
2021-09-07,47,34,32,18,12,10,5,6,11
2021-09-08,37,25,39,19,14,9,4,12,11
2021-09-09,40,20,20,36,16,4,6,17,11
2021-09-10,53,35,28,37,19,7,4,9,7
2021-09-11,29,19,17,9,10,3,1,5,8
2021-09-12,12,7,11,4,4,1,0,3,8
2021-09-13,53,29,23,35,15,15,7,10,8
2021-09-14,38,32,27,30,15,9,8,14,13
2021-09-15,36,33,28,24,9,11,8,11,11
2021-09-16,37,31,29,37,12,7,11,8,12
2021-09-17,47,20,30,26,14,6,7,10,12
2021-09-18,31,14,34,14,11,4,0,4,3
2021-09-19,15,6,9,7,1,7,0,2,2
2021-09-20,51,31,35,26,15,10,2,12,13
2021-09-21,40,27,25,21,17,9,7,9,8
2021-09-22,42,33,31,24,15,6,6,13,16
2021-09-23,36,34,33,24,8,4,4,10,9
2021-09-24,47,26,27,14,15,14,2,11,5
2021-09-25,31,14,31,13,8,3,0,7,4
2021-09-26,21,9,7,6,3,4,0,1,7
2021-09-27,40,26,20,24,10,10,7,8,16
2021-09-28,51,47,32,42,12,17,6,10,11
2021-09-29,41,34,24,24,11,11,7,18,13
2021-09-30,36,33,19,22,10,8,11,17,14
2021-10-01,37,39,24,25,14,7,5,8,10
2021-10-02,34,20,22,6,15,5,0,7,3
2021-10-03,31,9,8,7,3,8,0,5,6
2021-10-04,46,38,31,32,11,9,7,9,14
2021-10-05,64,29,15,27,11,11,4,14,14
2021-10-06,47,26,27,26,9,10,10,18,23
2021-10-07,49,25,21,21,5,10,11,7,12
2021-10-08,52,27,14,19,12,17,6,10,12
2021-10-09,40,18,24,11,15,3,0,9,9
2021-10-10,29,9,4,5,3,2,2,3,13
2021-10-11,58,36,28,23,16,6,7,10,6
2021-10-12,59,28,27,8,17,9,6,9,21
2021-10-13,55,35,18,22,17,10,8,15,8
2021-10-14,75,29,25,18,19,14,11,6,6
2021-10-15,45,26,25,25,15,7,12,7,14
2021-10-16,41,21,18,15,17,5,1,8,4
2021-10-17,21,9,9,6,5,2,0,5,5
2021-10-18,43,45,31,17,22,11,7,15,16
2021-10-19,57,25,27,25,17,7,5,15,13
2021-10-20,56,32,21,25,19,12,6,7,12
2021-10-21,56,30,24,21,15,15,5,11,12
2021-10-22,54,35,24,19,19,7,4,10,12
2021-10-23,47,19,22,11,13,4,1,6,5
2021-10-24,10,4,8,4,3,6,1,1,5
2021-10-25,67,32,27,21,16,11,6,11,5
2021-10-26,63,19,22,20,14,7,1,17,4
2021-10-27,68,25,22,24,12,11,4,11,12
