ids,price,make,built_year,mileage,upholstery,fuel_consumption,color_ids,model_ids,subtype_ids,geartype_ids,bodytype_ids,fueltype_ids,horsepower_ids,time_online_to_reserve_
CW99884,16990.0,905,2018,56517,1055,4.8,3,163,30,1,5,1,35,85
CX04901,20190.0,570,2013,113544,1057,4.2,6,87,492,2,5,2,73,98
CY06480,15990.0,285,2017,97456,1057,6.3,2,200,113,1,8,1,62,17
DB06410,26550.0,487,2015,97214,1056,6.3,2,264,591,2,8,5,120,14
DE80876,27190.0,790,2018,41748,1058,6.8,8,205,278,2,5,1,135,49
DG50093,14990.0,670,2016,75946,1055,4.9,2,12,56,2,5,1,50,53
DH73589,9999.0,345,2015,67404,1055,6.0,6,382,74,1,5,1,28,12
DJ82504,19490.0,285,2018,36226,1055,7.4,3,166,113,1,10,1,62,101
AC77504,25390.0,570,2017,55820,1058,5.4,12,87,487,2,5,1,45,11
AD37212,10290.0,650,2015,49830,1055,6.3,12,55,138,1,4,1,39,6
AD66020,12090.0,905,2019,16982,1055,4.2,12,388,8,1,12,1,11,42
AF43354,10790.0,345,2016,68585,1055,5.1,2,380,41,1,5,1,18,28
AJ29692,13489.0,720,2017,44847,1055,3.7,12,213,133,1,5,2,35,37
AL05444,16490.0,225,2019,6629,1057,7.0,2,187,138,1,8,1,37,64
AL15966,21690.0,190,2019,36789,1055,5.3,2,85,45,1,8,1,51,79
AN19975,12790.0,285,2015,63734,1055,4.8,6,146,13,1,4,1,46,11
AP14165,10650.0,650,2016,34627,1055,5.1,6,111,74,1,5,1,21,11
AP98013,11460.0,650,2018,35898,1057,4.9,2,111,8,1,12,1,39,23
AR07911,10490.0,800,2016,96198,1055,3.4,12,144,87,1,4,2,21,22
AS19235,25290.0,570,2018,76611,1057,4.6,6,87,616,2,4,2,77,30
AS41449,14490.0,905,2018,19785,1055,4.7,11,243,8,1,5,1,11,99
AT67737,12850.0,650,2015,69606,1057,5.9,12,47,99,1,5,1,62,6
AT88857,24490.0,130,2015,55984,1055,4.9,6,359,644,2,8,2,87,44
AT97791,17390.0,130,2018,67115,1055,4.9,6,4,215,2,5,2,39,4
AU70940,16400.0,670,2019,94325,1055,4.2,6,6,106,2,8,2,43,4
AZ76045,14490.0,285,2017,59116,1057,5.4,12,136,13,1,8,1,46,104
BD53692,21339.0,650,2018,57192,1057,5.6,10,179,231,2,4,2,73,18
BF45982,22590.0,905,2016,77211,1055,6.4,6,291,93,1,10,1,62,54
BG07812,41490.0,650,2019,50375,1056,5.4,2,374,231,2,10,2,77,10
BG38526,14209.0,650,2019,26775,1057,5.8,2,47,74,1,5,1,28,37
BG57284,12990.0,670,2016,50363,1055,4.5,3,12,56,1,5,1,50,18
BK51465,10860.0,905,2018,63319,1055,4.4,12,388,30,1,12,1,21,79
BL77968,11490.0,425,2014,52936,1055,6.1,2,376,154,1,5,1,53,70
BN15096,35390.0,790,2019,20195,1057,5.6,6,316,272,2,8,2,87,43
BN72257,15490.0,860,2013,83739,1056,4.0,12,60,197,2,4,5,28,8
BR42302,26990.0,905,2018,28094,1055,4.8,1,317,272,1,8,2,62,48
BR52234,51990.0,570,2017,95330,1056,6.7,3,342,631,2,10,2,87,59
BS39126,23690.0,060,2018,16144,1055,5.4,8,252,369,1,8,1,40,72
BS45449,9434.0,790,2014,96708,1055,4.9,12,49,177,2,10,2,32,9
BS57748,12690.0,905,2012,79812,1055,3.8,3,163,177,1,5,2,32,83
BS76381,21990.0,570,2017,70611,1055,4.3,2,71,473,2,4,2,73,3
BT00598,15990.0,285,2019,71012,1057,5.6,12,145,13,2,5,1,28,20
BU04676,31990.0,570,2017,41997,1057,7.1,11,132,510,2,4,1,84,29
BV52042,14400.0,800,2014,20122,1055,5.8,6,268,93,2,5,1,45,107
BW17044,10990.0,800,2015,77923,1055,4.8,6,268,52,1,5,1,35,20
BX19710,40990.0,570,2019,31894,1056,5.0,2,153,545,2,8,2,62,52
BX94133,17384.0,580,2017,43114,1057,4.7,12,210,502,2,12,1,53,48
CB16483,20990.0,905,2016,105576,1055,6.4,2,163,274,2,5,1,111,94
CB34419,34990.0,570,2018,25711,1056,6.7,2,71,467,2,4,1,92,52
CB36853,19450.0,720,2017,60989,1056,5.6,6,315,173,2,5,1,94,14
CC86451,40490.0,130,2015,70074,1057,6.9,2,361,654,2,8,2,139,111
CE32840,23982.0,720,2019,83109,1057,5.4,2,197,188,2,8,2,62,45
CF37937,23250.0,390,2018,76286,1057,5.7,2,109,248,2,8,2,73,42
CF54399,18309.0,905,2016,89882,1055,4.7,6,317,272,1,8,2,39,7
