id,first_price,eligible_month,ext_cpi,ext_dieselprc,ext_newcarprice,ext_intrtrates,countryoforigin,tax_deductible,make,model,subtype,color,builtyear,body_type,upholstery,fuelconsumption,mileage,horsepower,fueltype,geartype,imperfections,co2value,seats,nbrowners,comercialuse_bool,accident_bool,bookmarks,opport,signings,time_offline,time_online_to_reserve_
BY46369,21790.0,December,113.2,1.905,7.5,2.08,DE,0,Mazda,CX-3,2.0,Gray,2018,SUV,Teilleder,6,47102,150,Benzin,automatic,6,181,5,1,0,0,17.023509452254,4.901841977702375,0.7445467765390208,0,20
GC19861,10150.0,November,113.7,2.118,6.7,2.07,DE,0,Opel,Mokka,1.6,Black,2013,SUV,Stoff,6,81087,115,Benzin,manual,18,153,5,3,0,1,15.36795655125594,4.93346911065852,0.7361393980538583,11,10
TK59597,8990.0,October,113.5,2.014,6.4,2.19,DE,1,Mitsubishi,Space Star,1.0,White,2019,Limousine,Stoff,4,4906,70,Benzin,manual,2,120,5,1,1,0,13.104294478527608,4.155946962200673,0.6269542845834158,0,1
NY80533,18280.0,November,113.7,2.118,6.7,2.07,DE,0,Volkswagen,Polo,1.0 TSI,Gray,2019,Limousine,Stoff,4,43871,95,Benzin,automatic,0,134,5,1,0,0,15.36795655125594,4.93346911065852,0.7361393980538583,0,39
TS27165,19160.0,May,109.8,2.056,4.8,0.95,DE,0,Nissan,X-Trail,1.6,White,2017,SUV,Stoff,6,97963,163,Benzin,manual,11,149,5,2,0,0,9.547884552312233,2.8591341423417513,0.4412922269596589,0,60
MV39859,16990.0,November,113.7,2.118,6.7,2.07,DE,0,Citroen,C4 Cactus,1.2 e-THP,Red,2018,SUV,Stoff,5,33997,110,Benzin,automatic,1,149,5,3,0,1,15.36795655125594,4.93346911065852,0.7361393980538583,0,35
PM55977,17190.0,May,116.5,1.632,6.8,2.34,DE,0,Mazda,3,2.0,Red,2017,Limousine,Stoff,5,45579,120,Benzin,manual,3,119,5,2,0,0,19.620833333333334,4.6975,0.9302777777777778,0,46
EZ04653,11260.0,April,108.8,2.047,4.8,0.74,DE,0,Peugeot,208,1.2 PureTech,Gray,2017,Limousine,Stoff,4,13888,68,Benzin,manual,7,108,5,2,0,0,10.272014925373135,3.296641791044776,0.4414179104477612,7,146
CU08939,18970.0,June,109.8,1.976,4.6,1.45,DE,0,Volkswagen,Golf VII Sportsvan,1.4 TSI,Gold,2016,Van,Stoff,5,24056,125,Benzin,automatic,4,124,5,2,1,0,9.02660310625865,2.8197754882361985,0.4354913117022913,0,78
UF75421,17810.0,March,116.1,1.743,7.6,2.38,DE,0,Volkswagen,Golf VII,1.0 TSI,White,2017,Limousine,Alcantara,4,39554,110,Benzin,automatic,6,109,5,2,0,0,23.247566515249837,6.190136275146009,1.164828033744322,0,10
PJ58596,26720.0,June,109.8,1.976,4.6,1.45,DE,0,Audi,Q2,1.0 TFSI,Black,2018,SUV,Stoff,5,11453,115,Benzin,automatic,7,117,5,1,0,0,9.02660310625865,2.8197754882361985,0.4354913117022913,0,26
ZX93025,14530.0,November,113.7,2.118,6.7,2.07,DE,0,Ford,Focus,1.5 EcoBoost,White,2017,Limousine,Stoff,5,88682,150,Benzin,manual,8,127,5,2,0,0,15.36795655125594,4.93346911065852,0.7361393980538583,6,62
YZ69928,26930.0,February,115.2,1.813,7.0,2.37,DE,1,Audi,A4,2.0 TDI,Blue,2018,Kombi,Alcantara,4,97030,190,Diesel,automatic,4,113,5,2,1,0,23.243038844963905,6.263320728772774,0.9532485390168443,0,1
HE87435,22020.0,December,113.2,1.905,7.5,2.08,DE,0,Ford,Focus,1.5 EcoBoost,Black,2018,Kombi,Stoff,5,42098,182,Benzin,manual,1,151,5,1,0,1,17.023509452254,4.901841977702375,0.7445467765390208,0,23
JF85852,12890.0,October,113.5,2.014,6.4,2.19,DE,0,Skoda,Fabia,1.0 MPI,White,2021,Limousine,Stoff,4,8878,60,Benzin,manual,3,128,5,2,0,0,13.104294478527608,4.155946962200673,0.6269542845834158,13,8
RN24017,37990.0,June,109.8,1.976,4.6,1.45,DE,0,Ford,Kuga,2.5 Plug-In Hybrid,Gray,2020,SUV,Teilleder,2,9064,224,Hybrid,automatic,1,32,5,1,1,0,9.02660310625865,2.8197754882361985,0.4354913117022913,2,12
UE72456,13490.0,September,112.7,2.168,6.2,1.8,DE,0,Opel,Corsa,1.4 Turbo,Gray,2017,Limousine,Teilleder,5,67737,150,Benzin,manual,5,132,5,1,0,0,8.734654422426292,3.4179152569679396,0.5590462381182536,0,66
UY46443,29940.0,May,109.8,2.056,4.8,0.95,CZ,0,Skoda,Octavia,2.0 TSI,Gray,2019,Kombi,Alcantara,6,42352,245,Benzin,automatic,3,172,5,2,1,1,9.547884552312233,2.8591341423417513,0.4412922269596589,0,74
RC04924,17650.0,November,113.7,2.118,6.7,2.07,DE,0,Fiat,500C,1.0 Mild-Hybrid,White,2021,Cabrio,Stoff,4,3000,70,Benzin,manual,0,113,4,1,0,0,15.36795655125594,4.93346911065852,0.7361393980538583,0,9
