id,buy_price,make,model,subtype,outside_color,built_year,body_type,upholstery,mileage,horsepower,benzin,diesel,automatic,manual,time_online_to_reserve_
EU49410,20458,Volkswagen,Touran,1.8 TSI,Gray,2017,Van,Stoff,105812,180,1,0,1,0,30
CV50725,17834,Volkswagen,Passat,2.0 TDI,Silver,2017,Kombi,Alcantara,110896,150,0,1,0,1,41
AB97846,25583,Mercedes-Benz,E-Klasse,E 200,Gray,2017,Limousine,Teilleder,43229,185,1,0,1,0,36
BM26310,15565,Nissan,Qashqai,1.2,White,2016,SUV,Teilleder,36965,115,1,0,1,0,32
DW08073,7442,Opel,Corsa,1.4,Gray,2017,Limousine,Stoff,73235,90,1,0,0,1,36
AY17679,17570,Ford,Mondeo,2.0 EcoBlue,Gray,2020,Kombi,Stoff,96563,150,0,1,1,0,51
EK85743,14014,Skoda,Yeti,2.0 TDI,Blue,2017,SUV,Stoff,36953,110,0,1,0,1,79
FW80633,14100,Skoda,Octavia,2.0 TDI,Blue,2016,Kombi,Stoff,113265,150,0,1,0,1,70
EJ27932,17100,Audi,A3,1.6 TDI,Silver,2018,Limousine,Teilleder,49699,115,0,1,0,1,94
FW55219,13450,Opel,Astra K,1.6 CDTI,Gray,2018,Kombi,Teilleder,64186,135,0,1,1,0,13
AN17608,9162,Opel,Mokka,1.4 Turbo,Black,2015,SUV,Teilleder,84109,140,1,0,0,1,19
FF93130,6147,Renault,Twingo,1.0 SCe,White,2018,Limousine,Stoff,8635,70,1,0,0,1,17
FH50139,12137,Renault,Clio,1.0 TCe,Black,2020,Limousine,Stoff,10027,101,1,0,0,1,2
DE04552,7178,Skoda,Yeti,1.2 TSI,Brown,2013,SUV,Stoff,90750,105,1,0,0,1,25
HL73230,25300,Mercedes-Benz,C-Klasse,C 250 d,Blue,2017,Kombi,Teilleder,70005,205,0,1,1,0,84
LG12681,6419,Ford,B-Max,1.0 EcoBoost,Gray,2013,Van,Stoff,96706,125,1,0,0,1,3
AE90772,33089,Volvo,V 90,2.0 D4,Black,2019,Kombi,Leder,41743,190,0,1,1,0,43
CA71189,16515,Volkswagen,T-Roc,1.0 TSI,Gray,2019,SUV,Stoff,18269,115,1,0,0,1,4
GF94234,14357,Volkswagen,Golf VII Sportsvan,1.4 TSI,Gray,2016,Van,Stoff,30857,125,1,0,1,0,55
DR00247,16500,Volkswagen,Touran,1.2 TSI,Gray,2017,Van,Stoff,74560,110,1,0,0,1,31
LT76913,12019,Ford,C-Max,1.5 EcoBoost,Gray,2016,Van,Stoff,65633,150,1,0,1,0,6
EZ68113,8450,Kia,Soul,1.6 GDI,Black,2014,Van,Stoff,36913,132,1,0,0,1,49
BN78321,19539,Opel,Zafira Tourer,2.0 CDTI,White,2019,Van,Stoff,38688,170,0,1,1,0,56
HJ91022,22884,Volkswagen,T-Roc,2.0 TSI,Black,2018,SUV,Stoff,63413,190,1,0,1,0,86
BD82472,8861,Smart,fortwo,1.0,Black,2019,Coupe,Stoff,57101,70,1,0,1,0,30
EN49517,28491,Audi,A6,3.0 V6 TDI clean diesel,Blue,2017,Kombi,Alcantara,110089,320,0,1,1,0,50
MF96870,13551,Volkswagen,Polo,1.0 TSI,White,2017,Limousine,Stoff,60138,95,1,0,1,0,49
FL95875,18029,Volkswagen,Golf VII,1.5 TSI,Gray,2018,Limousine,Stoff,29839,150,1,0,1,0,4
AK73557,9663,Citroen,C3,1.2 e-THP,Blue,2017,Limousine,Stoff,65737,110,1,0,0,1,81
ET61337,8000,Renault,Clio,1.2,White,2018,Limousine,Stoff,31403,73,1,0,0,1,8
HU06828,9600,Fiat,500C,0.9,Green,2016,Cabrio,Stoff,47005,105,1,0,0,1,63
GD23544,31803,Mercedes-Benz,E-Klasse,E 220 d,Gray,2019,Limousine,Teilleder,33488,195,0,1,1,0,42
DC26796,10038,Volkswagen,Golf VII,1.2 TSI,Gray,2015,Limousine,Stoff,63462,110,1,0,0,1,36
EN89932,7000,Kia,Venga,1.6,Yellow,2014,Van,Stoff,56925,125,1,0,0,1,22
DM72981,30816,Mercedes-Benz,C-Klasse,C 400,Blue,2018,Kombi,Leder,46609,333,1,0,1,0,32
MS16199,36576,Audi,A6,40 TDI,Black,2020,Kombi,Stoff,28274,204,0,1,1,0,84
EF18534,4118,Fiat,500,1.2,Red,2013,Limousine,Stoff,106084,70,1,0,0,1,28
FP14967,8690,Volkswagen,Polo,1.2 TSI,Red,2015,Limousine,Stoff,25675,90,1,0,0,1,31
