id,first_price,eligible_month,ext_cpi,ext_dieselprc,ext_newcarprice,ext_intrtrates,countryoforigin,tax_deductible,make,model,subtype,color,builtyear,body_type,upholstery,fuelconsumption,mileage,horsepower,fueltype,geartype,damages,imperfections,co2value,seats,nbrowners,comercialuse_bool,accident_bool,bookmarks,opport,signings,time_online_to_reserve_
WC37614,17790.0,December,113.2,1.905,7.5,2.08,DE,0,Skoda,Karoq,1.0 TSI,White,2017,SUV,Stoff,5,64458,115,Benzin,manual,0,0,119,5,2,1,1,17.023509452254,4.901841977702375,0.7445467765390208,37
AT04454,7890.0,January,114.3,1.853,7.4,2.19,DE,0,Renault,Clio,1.2,Red,2015,Limousine,Stoff,5,97573,73,Benzin,manual,8,8,127,5,2,1,1,23.331088362068964,6.615571120689655,0.9832974137931034,1
HG16127,7000.0,January,114.3,1.853,7.4,2.19,DE,0,Ford,Fiesta,1.0 EcoBoost,White,2013,Limousine,Stoff,4,73538,100,Benzin,manual,4,6,105,5,1,0,0,23.331088362068964,6.615571120689655,0.9832974137931034,2
RD12069,11690.0,March,116.1,1.743,7.6,2.38,DE,0,Fiat,Tipo,1.4 Turbo,Gray,2017,Limousine,Stoff,6,83796,120,Benzin,manual,0,0,139,5,3,1,0,23.247566515249837,6.190136275146009,1.164828033744322,63
BP91285,34990.0,September,112.7,2.168,6.2,1.8,DE,0,Land Rover,Evoque,2.0 Td4,Blue,2017,SUV,Leder,5,32323,180,Diesel,automatic,13,15,134,5,2,0,1,8.734654422426292,3.4179152569679396,0.5590462381182536,111
UM57202,15190.0,April,116.6,1.686,6.9,2.36,DE,0,Ford,Tourneo Courier,1.0 EcoBoost,Gray,2016,Kombi,Stoff,5,24169,100,Benzin,manual,0,3,120,5,2,1,0,20.16995932597327,4.833236490412551,0.9976757699012202,68
PH57211,25480.0,March,116.1,1.743,7.6,2.38,DE,0,Kia,pro_cee'd,1.4 TGDI,White,2019,Coupe,Teilleder,5,48098,140,Benzin,automatic,5,5,150,5,2,1,0,23.247566515249837,6.190136275146009,1.164828033744322,40
JL86804,17890.0,March,116.1,1.743,7.6,2.38,DE,0,Opel,Cascada,1.6 SIDI Turbo,Black,2016,Cabrio,Leder,7,70391,170,Benzin,automatic,3,3,176,4,3,0,1,23.247566515249837,6.190136275146009,1.164828033744322,15
JC01964,17990.0,February,115.2,1.813,7.0,2.37,DE,0,Mazda,CX-3,2.0,Gray,2017,SUV,Stoff,5,18033,120,Benzin,automatic,10,24,136,5,1,0,0,23.243038844963905,6.263320728772774,0.9532485390168443,1
NA82253,10500.0,February,115.2,1.813,7.0,2.37,DE,0,Opel,Corsa,1.0,Gray,2017,Limousine,Stoff,4,64066,115,Benzin,manual,0,1,113,5,2,0,0,23.243038844963905,6.263320728772774,0.9532485390168443,3
UY65366,19820.0,November,113.7,2.118,6.7,2.07,DE,0,Hyundai,Tucson,1.6 CRDi,Gray,2018,SUV,Stoff,5,61338,136,Diesel,manual,6,11,156,5,1,0,0,15.36795655125594,4.933242815116542,0.7361393980538583,61
CS66025,18940.0,December,113.2,1.905,7.5,2.08,DE,0,Ford,Kuga,1.5 EcoBoost,Gray,2016,SUV,Teilleder,6,64936,150,Benzin,manual,0,0,143,5,1,0,1,17.023509452254,4.901841977702375,0.7445467765390208,28
WN09513,16070.0,December,113.2,1.905,7.5,2.08,DE,0,MINI,MINI,Cooper,Red,2017,Limousine,Stoff,4,24487,135,Benzin,manual,4,4,105,4,1,0,0,17.023509452254,4.901841977702375,0.7445467765390208,20
FX45139,17730.0,January,114.3,1.853,7.4,2.19,DE,0,Seat,Leon,1.4 TSI ACT,Gray,2018,Limousine,Stoff,4,14171,150,Benzin,manual,0,1,114,5,1,0,0,23.331088362068964,6.615571120689655,0.9832974137931034,18
SB24191,23540.0,December,113.2,1.905,7.5,2.08,DE,0,Mercedes-Benz,CLA-Klasse,Shooting Brake CLA 200,Blue,2017,Kombi,Teilleder,5,63526,155,Benzin,automatic,5,7,130,5,2,1,0,17.023509452254,4.901841977702375,0.7445467765390208,41
TJ03914,24890.0,March,116.1,1.743,7.6,2.38,DE,0,BMW,5er,535d,Black,2014,Limousine,Leder,5,117591,313,Diesel,automatic,5,5,148,5,2,0,0,23.247566515249837,6.190136275146009,1.164828033744322,15
EK69333,18840.0,February,115.2,1.813,7.0,2.37,DE,0,Ford,Focus,1.5 EcoBlue TDCi,Blue,2019,Kombi,Stoff,3,50373,120,Diesel,manual,0,6,129,5,2,0,1,23.243038844963905,6.263320728772774,0.9532485390168443,12
EA63344,17160.0,January,114.3,1.853,7.4,2.19,DE,0,Opel,Mokka X,1.4 Turbo,White,2017,SUV,Teilleder,6,50379,140,Benzin,automatic,3,3,149,5,3,0,0,23.331088362068964,6.615571120689655,0.9832974137931034,17
LC32860,13990.0,April,116.6,1.686,6.9,2.36,DE,0,Volkswagen,Golf VII,1.2 TSI,Silver,2016,Kombi,Stoff,5,77088,110,Benzin,manual,1,2,117,5,2,1,0,20.16995932597327,4.833236490412551,0.9976757699012202,55
BU21154,13390.0,January,114.3,1.853,7.4,2.19,DE,0,Ford,Kuga,1.5 EcoBoost,Black,2016,SUV,Stoff,6,86042,120,Benzin,manual,37,17,143,5,2,0,1,23.331088362068964,6.615571120689655,0.9832974137931034,9
SK97646,19990.0,November,113.7,2.118,6.7,2.07,DE,0,Volkswagen,Tiguan,1.4 TSI,Red,2017,SUV,Stoff,6,92301,125,Benzin,manual,3,3,139,5,1,0,1,15.36795655125594,4.933242815116542,0.7361393980538583,33
BN81288,17390.0,February,115.2,1.813,7.0,2.37,DE,0,Opel,Crossland X,1.2,White,2019,SUV,Stoff,5,36929,110,Benzin,automatic,6,6,154,5,3,1,0,23.243038844963905,6.263320728772774,0.9532485390168443,21
HM88566,10000.0,April,116.6,1.686,6.9,2.36,DE,0,Peugeot,208,1.2 e-VTi,Black,2018,Limousine,Stoff,4,62152,82,Benzin,manual,2,5,131,5,2,0,0,20.16995932597327,4.833236490412551,0.9976757699012202,16
HH29845,37400.0,December,113.2,1.905,7.5,2.08,DE,0,Ford,Kuga,2.5 Plug-In Hybrid,Gray,2021,SUV,Teilleder,2,26725,224,Hybrid,automatic,2,2,32,5,1,0,0,17.023509452254,4.901841977702375,0.7445467765390208,29
BW53772,13990.0,December,113.2,1.905,7.5,2.08,DE,0,Fiat,500C,1.2,Red,2019,Cabrio,Stoff,5,10879,70,Benzin,manual,2,1,132,4,2,1,0,17.023509452254,4.901841977702375,0.7445467765390208,36
AV05686,13270.0,December,113.2,1.905,7.5,2.08,DE,0,Citroen,C3,1.2 e-THP,Green,2018,Kombi,Stoff,4,24489,110,Benzin,manual,1,1,133,5,2,1,0,17.023509452254,4.901841977702375,0.7445467765390208,27
SD84353,17130.0,April,116.6,1.686,6.9,2.36,DE,0,Volkswagen,Golf VII,1.2 TSI,Gray,2016,Limousine,Stoff,4,22090,110,Benzin,automatic,0,2,114,5,2,1,0,20.16995932597327,4.833236490412551,0.9976757699012202,35
WH78683,6740.0,May,116.5,1.632,6.8,2.34,DE,0,Volkswagen,up!,1.0,Red,2015,Limousine,Stoff,4,118610,60,Benzin,manual,0,0,105,4,2,0,0,19.620833333333334,4.697222222222222,0.9302777777777778,13
XP69871,8390.0,February,115.2,1.813,7.0,2.37,DE,0,Hyundai,i10,1.0,Silver,2014,Limousine,Stoff,4,27619,67,Benzin,manual,6,10,108,5,3,0,0,23.243038844963905,6.263320728772774,0.9532485390168443,28
