dates,cars_sold_de,cars_online_de,avg_buyprice_de,bookmarks_de,opportunity_de,purchases_de,published_de
2021-04-10,19,1035,14290,322,207,15,0
2021-04-11,9,1015,14284,493,203,0,0
2021-04-12,17,1040,14318,480,311,26,30
2021-04-13,17,1067,14285,679,279,34,21
2021-04-14,20,1076,14308,430,257,32,21
2021-04-15,22,1087,14356,521,283,22,29
2021-04-16,25,1111,14391,736,323,51,45
2021-04-17,11,1102,14368,513,261,15,0
2021-04-18,13,1076,14342,557,262,0,0
2021-04-19,25,1052,14368,445,304,39,19
2021-04-20,16,1046,14445,465,294,38,11
2021-04-21,31,1059,14479,490,270,42,51
2021-04-22,19,1073,14440,395,244,29,34
2021-04-23,18,1109,14388,415,279,37,57
2021-04-24,9,1075,14437,410,262,20,0
2021-04-25,6,1062,14459,540,219,0,0
2021-04-26,33,1091,14680,425,286,61,46
2021-04-27,34,1112,14694,510,280,45,54
2021-04-28,23,1131,14790,538,266,44,36
2021-04-29,21,1149,14806,416,297,39,33
2021-04-30,23,1187,14775,502,255,57,49
2021-05-01,7,1176,14790,569,271,0,0
2021-05-02,10,1154,14816,709,298,0,0
2021-05-03,24,1154,14776,404,342,56,40
2021-05-04,27,1176,14750,738,324,49,49
2021-05-05,28,1194,14713,655,293,72,36
2021-05-06,28,1188,14706,633,306,31,28
2021-05-07,20,1227,14650,509,266,54,50
2021-05-08,11,1216,14628,528,229,22,4
2021-05-09,6,1197,14633,387,254,0,0
2021-05-10,23,1182,14567,650,322,43,27
2021-05-11,25,1189,14608,604,325,57,29
2021-05-12,28,1219,14644,621,300,49,43
2021-05-13,12,1207,14630,603,257,0,0
2021-05-14,29,1222,14710,511,334,45,43
2021-05-15,13,1236,14747,615,246,19,11
2021-05-16,17,1198,14733,637,261,0,0
2021-05-17,30,1190,14737,563,324,76,40
2021-05-18,38,1196,14745,602,306,41,45
2021-05-19,34,1219,14860,402,303,53,34
2021-05-20,25,1237,14924,678,288,45,40
2021-05-21,26,1262,15050,458,302,59,46
2021-05-22,14,1244,15026,665,274,20,0
2021-05-23,12,1230,15060,843,259,0,6
2021-05-24,4,1210,15079,676,291,0,0
2021-05-25,34,1203,15025,475,336,66,39
2021-05-26,32,1229,14994,539,313,44,49
2021-05-27,24,1243,14977,601,305,51,28
2021-05-28,38,1246,14985,597,278,37,36
2021-05-29,16,1250,15055,536,239,17,5
2021-05-30,10,1230,15069,594,201,0,0
2021-05-31,29,1218,15092,536,301,46,25
2021-06-01,35,1208,15140,357,262,39,32
2021-06-02,33,1236,15091,508,267,71,46
2021-06-03,19,1259,15139,465,265,27,29
2021-06-04,25,1285,15054,497,295,61,48
2021-06-05,14,1252,15077,679,250,32,0
2021-06-06,11,1229,15102,623,278,0,0
2021-06-07,27,1241,15178,487,290,51,51
2021-06-08,28,1264,15145,547,255,45,41
2021-06-09,33,1296,15105,514,282,45,43
2021-06-10,19,1320,15252,521,320,54,48
2021-06-11,22,1339,15298,343,260,82,47
2021-06-12,16,1316,15335,350,198,21,0
2021-06-13,12,1290,15344,568,219,0,0
2021-06-14,30,1314,15445,525,287,38,56
2021-06-15,27,1319,15488,433,298,61,40
2021-06-16,25,1332,15611,435,320,67,49
2021-06-17,26,1365,15558,388,267,57,42
2021-06-18,23,1394,15650,487,262,56,55
2021-06-19,17,1366,15703,843,282,23,0
2021-06-20,7,1345,15732,623,226,0,0
2021-06-21,29,1341,15667,714,338,58,40
2021-06-22,36,1345,15820,528,305,51,46
2021-06-23,27,1355,15897,552,287,43,47
2021-06-24,24,1397,15894,533,316,52,61
2021-06-25,26,1444,15878,633,307,53,66
2021-06-26,20,1422,15955,592,237,36,3
2021-06-27,6,1396,15910,678,248,0,0
2021-06-28,30,1422,15908,686,339,82,55
2021-06-29,31,1435,16038,794,337,60,41
2021-06-30,24,1439,16114,585,342,51,34
2021-07-01,33,1436,16184,677,344,35,27
2021-07-02,33,1461,16252,622,302,53,52
2021-07-03,18,1445,16258,487,246,31,0
2021-07-04,6,1427,16250,661,226,0,0
2021-07-05,36,1433,16325,551,368,53,45
2021-07-06,30,1422,16424,677,334,51,22
2021-07-07,32,1420,16518,570,297,53,27
2021-07-08,25,1394,16438,574,294,49,11
2021-07-09,26,1409,16515,442,320,61,48
2021-07-10,16,1379,16514,548,248,29,0
2021-07-11,11,1362,16562,630,221,0,0
2021-07-12,31,1347,16633,597,320,52,17
2021-07-13,35,1330,16690,574,265,53,19
2021-07-14,36,1326,16705,792,353,63,19
2021-07-15,31,1318,16666,517,290,62,13
2021-07-16,31,1343,16585,555,274,68,60
2021-07-17,22,1319,16646,726,263,32,0
2021-07-18,11,1297,16698,735,250,0,0
2021-07-19,30,1289,16758,607,309,56,42
2021-07-20,34,1280,16732,581,303,66,32
2021-07-21,27,1316,16632,475,290,67,43
2021-07-22,30,1339,16721,779,292,81,30
2021-07-23,25,1372,16691,716,267,46,48
2021-07-24,21,1363,16728,540,248,22,10
2021-07-25,11,1338,16784,871,274,0,0
2021-07-26,27,1333,16869,785,345,40,39
2021-07-27,24,1327,16933,687,336,39,24
2021-07-28,31,1327,16949,696,332,52,40
2021-07-29,23,1336,16959,700,286,47,28
2021-07-30,33,1369,16980,542,276,84,65
2021-07-31,19,1353,17083,816,242,31,11
2021-08-01,11,1332,17105,776,253,0,0
2021-08-02,29,1315,17083,832,343,63,30
2021-08-03,39,1319,17182,722,326,56,46
2021-08-04,38,1367,17190,726,343,57,34
2021-08-05,30,1385,17146,807,309,49,40
2021-08-06,32,1393,17226,705,316,68,41
2021-08-07,28,1360,17352,835,284,29,0
2021-08-08,11,1337,17345,997,269,0,0
2021-08-09,32,1332,17374,680,333,85,37
2021-08-10,35,1330,17481,956,296,59,32
2021-08-11,32,1337,17550,566,244,48,34
2021-08-12,22,1545,17117,736,284,52,175
2021-08-13,30,1567,17130,507,311,66,64
2021-08-14,30,1546,17169,618,298,46,17
2021-08-15,11,1523,17212,905,263,0,0
2021-08-16,39,1503,17292,896,398,72,39
2021-08-17,33,1512,17429,774,345,50,54
2021-08-18,29,1521,17428,960,347,49,41
2021-08-19,23,1553,17378,757,335,58,65
2021-08-20,28,1629,17443,722,321,62,74
2021-08-21,14,1636,17468,702,267,20,27
2021-08-22,17,1622,17471,923,293,0,15
2021-08-23,38,1635,17562,845,344,72,60
2021-08-24,32,1659,17556,829,370,69,65
2021-08-25,27,1692,17686,578,339,64,59
2021-08-26,41,1704,17775,1014,318,59,46
2021-08-27,29,1730,17712,846,344,62,56
2021-08-28,18,1729,17776,570,287,31,20
2021-08-29,5,1721,17790,1096,289,0,9
2021-08-30,39,1722,17721,812,377,69,59
2021-08-31,36,1746,17704,791,357,68,57
2021-09-01,39,1760,17755,695,336,68,47
2021-09-02,26,1796,17588,671,333,97,75
2021-09-03,38,1811,17498,609,358,86,74
2021-09-04,19,1785,17539,674,272,11,0
2021-09-05,15,1763,17572,820,254,0,0
2021-09-06,46,1799,17555,776,356,64,64
2021-09-07,47,1903,17686,951,433,70,126
2021-09-08,37,1945,17721,737,369,63,84
2021-09-09,40,2011,17450,833,402,55,121
2021-09-10,53,2110,17488,906,389,68,152
2021-09-11,29,2080,17537,981,354,29,9
2021-09-12,12,2054,17550,1023,295,0,0
2021-09-13,53,2056,17554,804,426,44,64
2021-09-14,38,2034,17596,790,420,57,58
2021-09-15,36,2059,17602,1087,398,63,53
2021-09-16,37,2112,17550,778,431,65,71
2021-09-17,47,2170,17482,830,422,73,100
2021-09-18,31,2143,17563,824,351,31,12
2021-09-19,15,2114,17603,932,323,1,0
2021-09-20,51,2127,17570,1023,473,71,84
2021-09-21,40,2167,17492,909,491,64,80
2021-09-22,42,2195,17557,902,429,61,72
2021-09-23,36,2217,17557,821,424,61,74
2021-09-24,47,2257,17532,777,424,63,66
2021-09-25,31,2233,17520,917,378,21,0
2021-09-26,21,2202,17563,1027,362,0,0
2021-09-27,40,2210,17549,834,442,67,65
2021-09-28,51,2246,17547,1071,474,77,83
2021-09-29,41,2287,17500,1004,482,67,84
2021-09-30,36,2301,17479,722,529,66,62
2021-10-01,37,2336,17459,870,485,78,66
2021-10-02,34,2289,17516,704,450,33,0
2021-10-03,31,2240,17614,1183,366,0,0
2021-10-04,46,2282,17649,766,497,92,103
2021-10-05,64,2299,17665,1064,554,86,79
2021-10-06,47,2332,17760,1134,561,74,83
2021-10-07,49,2410,17783,1031,482,64,98
2021-10-08,52,2449,17660,1012,513,83,123
2021-10-09,40,2402,17626,966,426,36,9
2021-10-10,29,2358,17703,1468,381,0,0
2021-10-11,58,2382,17727,1235,590,68,97
2021-10-12,59,2416,17701,1311,546,81,74
2021-10-13,55,2420,17699,1372,550,78,61
2021-10-14,75,2436,17733,1197,620,85,74
2021-10-15,45,2466,17655,1125,566,116,76
2021-10-16,41,2414,17688,1649,488,31,0
2021-10-17,21,2378,17707,1582,459,0,0
2021-10-18,43,2363,17668,1121,581,99,58
2021-10-19,57,2438,17676,1313,586,80,121
2021-10-20,56,2588,17753,1322,540,68,130
2021-10-21,56,2731,17715,1466,636,77,166
2021-10-22,54,2839,17699,1357,619,101,172
2021-10-23,47,2793,17737,1378,476,29,0
2021-10-24,10,2763,17753,1475,482,0,0
2021-10-25,67,2761,17763,1330,644,75,75
2021-10-26,63,2763,17747,1694,703,65,58
2021-10-27,68,2764,17798,1521,686,78,64
2021-10-28,51,2755,17800,1535,649,76,63
2021-10-29,60,2748,17784,1423,567,124,61
2021-10-30,43,2698,17817,1935,521,60,0
2021-10-31,27,2652,17832,1730,489,0,0
2021-11-01,65,2658,17903,2209,652,87,66
2021-11-02,75,2668,17973,1739,696,103,72
2021-11-03,60,2733,17913,1754,669,91,116
2021-11-04,65,2774,17920,1533,672,104,112
2021-11-05,59,2827,17917,1526,585,98,94
2021-11-06,47,2846,17991,1712,517,10,74
2021-11-07,28,2800,18018,1771,556,0,0
2021-11-08,68,2807,18031,1491,780,134,63
2021-11-09,62,2823,18065,1523,657,80,63
2021-11-10,70,2838,18013,1245,667,82,78
2021-11-11,50,2869,18022,1361,575,79,80
2021-11-12,56,2899,17951,1511,615,113,92
2021-11-13,53,2871,18025,1912,586,22,29
2021-11-14,25,2830,18077,2059,515,0,0
2021-11-15,74,2799,18158,1559,655,113,60
2021-11-16,65,2795,18198,1759,655,91,69
2021-11-17,62,2830,18181,1414,646,79,61
2021-11-18,64,2830,18209,1145,625,77,74
2021-11-19,46,2871,18241,1536,585,111,81
2021-11-20,34,2892,18280,1519,500,39,62
2021-11-21,26,2855,18344,1779,509,0,0
2021-11-22,67,2881,18403,1915,656,115,102
2021-11-23,70,2913,18420,1546,564,89,91
2021-11-24,64,2952,18412,1561,624,86,104
2021-11-25,56,2984,18386,1834,645,87,84
2021-11-26,44,3036,18411,1357,565,102,84
2021-11-27,54,3008,18483,1530,488,32,25
2021-11-28,21,2974,18533,1696,456,0,0
2021-11-29,68,2979,18517,1559,630,118,87
2021-11-30,66,3025,18549,1492,594,96,103
2021-12-01,48,3031,18560,1410,635,98,74
2021-12-02,58,3076,18621,1417,568,58,87
2021-12-03,46,3103,18624,1303,568,98,82
2021-12-04,40,3105,18668,1837,484,31,26
2021-12-05,30,3069,18715,1929,591,0,0
2021-12-06,57,3033,18751,1593,682,120,78
2021-12-07,59,3032,18771,1856,665,76,85
2021-12-08,61,3034,18806,1815,685,82,84
2021-12-09,44,3125,18669,2019,612,72,93
2021-12-10,60,3158,18639,1486,615,115,91
2021-12-11,41,3161,18692,1996,555,48,22
2021-12-12,26,3129,18719,1966,519,0,0
2021-12-13,64,3063,18798,1606,692,93,72
2021-12-14,49,3108,18838,1612,615,61,93
2021-12-15,61,3209,18884,1584,594,84,94
2021-12-16,58,3242,18914,1450,605,60,97
2021-12-17,34,3309,18886,1633,557,27,83
2021-12-18,36,3315,18906,1547,513,6,32
2021-12-19,20,3306,18953,1878,491,0,0
2021-12-20,52,3287,19024,1188,628,94,67
2021-12-21,51,3320,18977,1434,576,66,101
2021-12-22,33,3394,18960,1621,586,46,94
2021-12-23,31,3414,18967,1385,530,11,45
2021-12-24,26,3393,18970,1012,400,0,0
2021-12-25,13,3374,18990,1693,427,0,0
2021-12-26,18,3346,19009,1813,482,0,0
2021-12-27,47,3318,19049,1982,740,64,88
2021-12-28,62,3354,19095,2158,742,67,61
2021-12-29,59,3324,19132,2403,733,74,55
2021-12-30,63,3363,19216,1926,718,47,51
2021-12-31,24,3333,19202,1360,471,2,0
2022-01-01,17,3312,19223,1857,392,0,0
2022-01-02,19,3284,19274,2662,539,0,0
2022-01-03,64,3205,19268,2477,846,64,68
2022-01-04,52,3298,19265,2531,865,54,66
2022-01-05,89,3277,19353,2449,849,68,74
2022-01-06,49,3308,19384,2143,823,34,61
2022-01-07,75,3261,19385,2319,850,86,57
2022-01-08,61,3222,19408,2171,659,37,12
2022-01-09,21,3202,19437,2548,644,0,0
2022-01-10,68,3202,19432,2338,820,69,66
2022-01-11,82,3198,19465,2181,816,83,99
2022-01-12,69,3226,19413,2090,881,93,88
2022-01-13,54,3249,19512,2234,797,54,83
2022-01-14,71,3277,19466,2153,788,127,64
2022-01-15,53,3246,19523,2089,744,35,28
2022-01-16,34,3217,19551,2751,699,0,0
2022-01-17,78,3139,19589,2166,880,92,43
2022-01-18,70,3115,19622,2083,771,93,35
2022-01-19,56,3096,19677,2181,748,105,29
2022-01-20,41,3081,19717,1773,739,56,16
2022-01-21,59,3011,19706,1895,809,116,56
2022-01-22,53,3029,19698,2346,650,77,15
2022-01-23,20,3008,19748,2783,695,0,0
2022-01-24,76,2941,19765,2191,859,123,33
2022-01-25,69,2880,19817,2140,798,82,64
2022-01-26,54,2944,19776,2310,787,91,42
2022-01-27,48,2953,19801,2072,758,79,69
2022-01-28,52,2761,20059,2034,727,130,88
2022-01-29,56,2737,20156,2128,671,69,23
2022-01-30,30,2708,20241,2388,600,0,0
2022-01-31,77,2686,20247,1951,821,120,55
2022-02-01,56,2701,20192,1811,746,92,65
2022-02-02,54,2712,20184,2009,742,101,61
2022-02-03,50,2721,20193,1595,692,72,63
2022-02-04,64,2742,20104,1782,646,155,77
2022-02-05,43,2709,20145,2438,615,38,0
2022-02-06,21,2681,20193,2221,589,0,0
2022-02-07,74,2630,20256,1980,794,107,71
2022-02-08,64,2652,20320,1904,711,101,67
2022-02-09,58,2667,20273,2103,750,97,96
2022-02-10,72,2667,20301,1770,725,81,92
2022-02-11,54,2697,20275,1809,724,144,68
2022-02-12,48,2662,20366,2174,598,71,0
2022-02-13,31,2617,20453,2033,580,0,0
2022-02-14,58,2594,20534,1764,678,126,80
2022-02-15,47,2654,20482,1779,697,87,77
2022-02-16,58,2665,20502,1880,760,107,80
2022-02-17,55,2664,20546,1886,754,89,70
2022-02-18,69,2660,20623,2159,751,152,113
2022-02-19,54,2633,20703,1889,647,61,0
2022-02-20,34,2582,20782,2323,808,0,0
2022-02-21,67,2567,20818,2060,872,136,121
2022-02-22,63,2690,20761,2113,779,97,91
2022-02-23,61,2675,20842,2071,722,116,65
2022-02-24,54,2738,20826,1621,654,72,87
2022-02-25,52,2783,20814,1668,546,137,98
2022-02-26,42,2771,20771,1931,628,74,0
2022-02-27,26,2732,20847,1991,484,3,0
2022-02-28,63,2700,20941,1556,648,116,89
2022-03-01,70,2688,20921,1350,622,100,74
2022-03-02,48,2758,20830,1643,654,114,78
2022-03-03,59,2758,20810,1661,644,96,75
2022-03-04,55,2783,20806,1594,631,171,101
2022-03-05,39,2754,20828,1862,548,76,0
2022-03-06,28,2710,20921,1546,491,0,0
2022-03-07,48,2717,20962,1838,623,138,82
2022-03-08,34,2711,21015,1732,547,119,58
2022-03-09,51,2708,21037,1650,633,115,97
2022-03-10,45,2712,21098,1549,568,101,92
2022-03-11,38,2764,21090,1549,534,183,122
2022-03-12,34,2786,21085,1798,472,88,44
2022-03-13,21,2770,21109,1743,486,0,0
2022-03-14,50,2754,21153,1671,579,149,55
2022-03-15,62,2773,21150,2053,602,131,83
2022-03-16,46,2776,21123,1680,657,140,74
2022-03-17,48,2867,21075,1531,637,115,75
2022-03-18,47,2979,20979,1652,577,178,78
2022-03-19,35,2969,20986,1533,529,95,36
2022-03-20,21,2955,20980,1549,492,0,0
2022-03-21,41,2962,20978,1424,619,157,59
2022-03-22,46,3025,20909,1531,674,144,110
2022-03-23,52,3049,20840,1602,585,121,96
2022-03-24,59,3085,20816,1794,580,96,84
2022-03-25,46,3119,20755,1465,617,168,124
2022-03-26,46,3123,20743,1375,532,81,49
2022-03-27,20,3115,20759,1795,555,0,0
2022-03-28,52,3050,20867,1598,660,137,60
2022-03-29,53,3124,20832,1585,727,113,112
2022-03-30,49,3171,20766,2061,644,127,100
2022-03-31,47,3208,20685,1581,660,105,92
2022-04-01,38,3219,20644,1757,575,133,99
2022-04-02,41,3239,20593,1517,480,56,48
2022-04-03,18,3216,20628,2029,544,0,0
2022-04-04,73,3210,20704,1603,668,111,99
2022-04-05,52,3259,20662,1731,621,112,65
2022-04-06,48,3286,20600,1859,679,97,77
2022-04-07,67,3286,20556,1724,652,75,91
2022-04-08,55,3324,20548,1717,597,144,131
2022-04-09,46,3342,20504,1835,585,89,26
2022-04-10,25,3328,20542,1864,543,0,0
2022-04-11,58,3313,20515,1592,627,115,59
2022-04-12,52,3365,20452,1507,582,133,138
2022-04-13,48,3440,20411,1553,553,135,118
2022-04-14,53,3506,20319,1496,495,114,127
2022-04-15,25,3513,20256,2010,514,1,14
2022-04-16,38,3452,20296,1400,435,81,18
2022-04-17,20,3427,20331,1724,467,0,0
2022-04-18,27,3362,20366,2014,562,0,0
2022-04-19,49,3403,20414,1831,718,160,79
2022-04-20,46,3478,20248,1819,633,139,131
2022-04-21,58,3547,20113,1829,635,96,146
2022-04-22,51,3597,20043,1999,671,181,111
2022-04-23,42,3597,19996,1812,538,85,38
2022-04-24,27,3569,20012,2080,576,0,0
2022-04-25,76,3490,20046,1910,666,113,35
2022-04-26,74,3579,20027,1773,666,110,105
2022-04-27,61,3599,20010,1447,604,99,98
2022-04-28,47,3647,19948,1566,595,70,106
2022-04-29,56,3696,19889,1525,582,112,98
2022-04-30,44,3702,19800,1530,483,35,48
2022-05-01,21,3690,19803,2223,480,0,0
2022-05-02,57,3648,19811,1708,603,108,87
2022-05-03,54,3663,19753,1709,582,67,87
2022-05-04,64,3748,19645,2089,641,87,109
2022-05-05,55,3804,19556,1950,664,96,112
2022-05-06,59,3846,19456,1504,546,138,120
2022-05-07,45,3835,19446,1573,522,57,20
2022-05-08,33,3783,19495,2180,487,0,0
2022-05-09,70,3773,19471,1822,636,102,88
2022-05-10,72,3801,19405,1594,604,117,81
2022-05-11,62,3832,19350,1786,563,113,120
2022-05-12,67,3876,19275,1814,545,68,140
2022-05-13,60,3926,19173,1600,549,97,116
2022-05-14,36,3936,19112,1546,476,59,31
2022-05-15,41,3896,19093,1688,471,0,0
2022-05-16,65,3850,19049,1864,668,129,81
2022-05-17,63,3879,19015,1893,487,89,74
2022-05-18,59,3880,18976,1788,702,85,112
2022-05-19,61,3941,18800,1907,584,71,162
2022-05-20,54,4054,18718,1659,561,130,127
2022-05-21,36,4026,18612,1621,499,71,57
2022-05-22,19,4029,18602,2146,442,1,0
2022-05-23,69,4004,18597,1554,615,109,94
2022-05-24,60,4061,18542,2114,626,102,123
2022-05-25,40,4104,18437,1567,585,102,111
2022-05-26,33,4021,18291,1671,492,4,0
2022-05-27,71,4035,18323,1659,566,123,111
2022-05-28,37,4020,18251,1823,427,52,35
2022-05-29,35,3980,18271,1907,489,0,0
2022-05-30,64,3914,18258,1826,616,115,72
2022-05-31,64,3905,18208,2040,606,89,107
2022-06-01,61,3925,18090,1819,601,86,118
2022-06-02,58,3912,18022,1864,610,76,98
2022-06-03,45,3994,17961,1906,528,141,157
2022-06-04,28,4021,17885,1682,481,68,50
2022-06-05,21,4015,17851,1828,433,0,0
2022-06-06,18,3983,17882,2196,499,0,3
2022-06-07,79,3924,17893,1621,641,118,113
2022-06-08,66,3914,17749,2017,620,116,129
2022-06-09,79,4028,17656,2000,668,68,109
2022-06-10,47,4186,17600,1686,575,142,111
2022-06-11,48,4169,17569,1515,482,68,51
2022-06-12,27,4136,17577,1967,451,0,0
2022-06-13,76,4182,17565,2037,585,135,87
2022-06-14,66,4146,17503,1519,671,99,109
2022-06-15,64,4225,17408,1615,573,134,106
2022-06-16,48,4238,17334,2032,593,32,83
2022-06-17,62,4263,17266,1672,625,161,97
2022-06-18,39,4235,17292,1587,430,52,52
2022-06-19,35,4203,17317,1907,566,0,4
2022-06-20,77,4177,17346,1871,769,113,76
2022-06-21,70,4230,17295,2294,711,107,115
2022-06-22,64,4243,17287,2046,701,123,88
2022-06-23,63,4290,17247,1711,664,80,112
2022-06-24,57,4362,17220,1937,667,130,120
2022-06-25,47,4380,17209,1805,572,60,49
2022-06-26,32,4336,17199,2101,608,0,0
2022-06-27,75,4326,17193,1912,759,134,88
2022-06-28,72,4280,17183,2254,751,101,111
2022-06-29,85,4301,17111,2130,699,110,125
2022-06-30,59,4340,17053,1901,704,78,119
2022-07-01,66,4412,17038,1767,609,146,132
2022-07-02,47,4419,17016,1787,531,46,34
2022-07-03,36,4383,17036,1848,564,0,0
2022-07-04,89,4279,17042,1833,677,125,78
2022-07-05,68,4309,16973,1861,681,112,116
2022-07-06,59,4352,16972,2027,634,75,110
2022-07-07,73,4398,16982,2235,688,70,109
2022-07-08,65,4437,16996,1321,562,137,124
2022-07-09,51,4473,16963,1903,497,52,58
2022-07-10,39,4465,16999,2185,517,0,13
2022-07-11,80,4379,16998,1758,668,119,84
2022-07-12,52,4403,16938,2003,670,81,96
2022-07-13,84,4396,16948,2034,734,71,104
2022-07-14,60,4501,16991,1940,643,64,95
2022-07-15,51,4534,16967,1715,612,118,129
2022-07-16,50,4613,16918,1352,523,52,37
2022-07-17,34,4611,16922,1956,515,0,0
2022-07-18,66,4544,16957,1844,711,100,65
2022-07-19,61,4487,16899,1902,609,90,124
2022-07-20,54,4540,16904,1649,639,80,113
2022-07-21,65,4544,16903,1455,645,92,117
2022-07-22,57,4637,16894,1297,601,116,98
2022-07-23,44,4670,16842,1788,595,64,47
2022-07-24,33,4669,16835,1546,582,0,0
2022-07-25,79,4589,16886,1944,783,94,83
2022-07-26,71,4540,16733,2067,855,87,99
2022-07-27,74,4575,16747,1858,805,95,87
2022-07-28,69,4555,16743,1536,714,80,114
2022-07-29,76,4592,16732,1393,740,122,168
2022-07-30,45,4704,16699,1782,606,58,27
2022-07-31,40,4670,16736,1931,644,0,0
2022-08-01,76,4599,16779,1830,725,105,75
2022-08-02,80,4562,16690,1759,761,82,87
2022-08-03,81,4552,16657,1761,732,92,82
2022-08-04,86,4544,16603,1633,670,67,93
2022-08-05,86,4526,16629,1472,636,125,88
2022-08-06,43,4560,16581,1542,534,55,24
2022-08-07,40,4517,16586,1693,579,0,0
2022-08-08,89,4420,16620,1599,759,101,88
2022-08-09,82,4405,16632,1774,727,98,106
2022-08-10,78,4410,16655,1890,742,94,110
2022-08-11,71,4413,16645,1629,736,69,31
2022-08-12,73,4345,16644,1463,673,129,171
2022-08-13,46,4422,16595,1543,610,55,17
