company,cars_bought,type_buyer,frequency,recency,monetary,share_low_hp,share_medium_hp,share_high_hp,share_old_,share_m_age,share_recent_,share_low_mileage,share_medium_mileage,share_high_mileage,share_less_5k,share_5k_10k_,share_over_10k_,profit_per_car
"PIERÓG TOMASZ P.U.H. ""TOMEX"" AUTO-HANDEL",20,Medium_buyer,6,5,6,0.85,0.15,0,0.6,0.4,0,0.1,0.4,0.5,0.95,0.05,0,449.9
MONDO CARMARKET d. o. o.,1,Small_buyer,1,6,3,1,0,0,0,1,0,0,1,0,0,1,0,510
BIBACAR DI CALLEGARO ANTONIO,2,Small_buyer,1,4,5,1,0,0,0,0,1,1,0,0,0,0,1,1356.5
Exklusiv Automobile Kerstin Kaufhold,15,Medium_buyer,5,2,9,1,0,0,0.333333333,0.533333333,0.133333333,0.533333333,0.466666667,0,0.2,0.266666667,0.533333333,845.2666667
PERSPETIVA DINAMICA - UNIPESSOAL LDA,2,Small_buyer,1,10,5,1,0,0,0,0,1,0,1,0,0,0,1,780.5
ADRO-RED Kft.,1,Small_buyer,1,6,2,1,0,0,0,1,0,0,1,0,1,0,0,569
URBAN MOTORS DOOEL uvoz-izvoz Ilinden,1,Small_buyer,1,7,3,0,1,0,0,1,0,0,0,1,0,1,0,1122
"Autohandel Bollig, Inh. Fabian Bollig",2,Small_buyer,1,7,2,1,0,0,0.5,0.5,0,0,1,0,1,0,0,521.5
"Abu Automobile Regensburg, Inh. Muayad Abu-Baker Mohammed Mohammed",2,Small_buyer,1,4,6,0.5,0,0.5,0,0.5,0.5,0,1,0,0,0,1,1690
Saxonia CARS & FINANCE Dresden GmbH,2,Small_buyer,1,3,9,0,0.5,0.5,0,0,1,1,0,0,0,0,1,1866.5
"Auto Galerie Avan, Inh. Abdulkerim Avan",1,Small_buyer,1,6,4,0,0,1,0,1,0,0,1,0,0,0,1,110
Autohaus Walter Mulfinger GmbH,1,Small_buyer,1,10,5,1,0,0,0,0,1,1,0,0,0,0,1,1044
"KleinWagenCenter Köhler & Sohn, Inh. Ralf Köhler",12,Small_buyer,4,10,7,0.916666667,0.083333333,0,0,0.916666667,0.083333333,0.75,0.25,0,0.75,0.166666667,0.083333333,665.8333333
Sergej Rudi,120,Top_buyer,9,1,10,0.708333333,0.283333333,0.008333333,0.75,0.25,0,0.116666667,0.825,0.058333333,0.991666667,0,0.008333333,457.2916667
BEST CARS ON THE WEB SRL,5,Small_buyer,3,6,7,0.2,0.2,0.6,0.2,0.6,0.2,0.2,0.4,0.4,0.2,0.4,0.4,62.4
KFZ-Denk Martin,4,Small_buyer,2,8,6,1,0,0,0,0.75,0.25,0,1,0,0,0.5,0.5,478.75
Mérvell Car Kft.,1,Small_buyer,1,10,2,0,1,0,1,0,0,0,0,1,1,0,0,396
Turan Sahin,4,Small_buyer,2,6,6,0.5,0.25,0.25,0,0.75,0.25,0,1,0,0.5,0,0.5,972.5
M&K Finanse Katarzyna Kalińska,1,Small_buyer,1,5,2,0,1,0,0,1,0,0,0,1,1,0,0,-89
"Automobile P&V, Inh. Paolo Di Manno",2,Small_buyer,1,8,3,1,0,0,0,1,0,1,0,0,0.5,0.5,0,693
"DV Handel, Inh. Darijo Vukelja",12,Small_buyer,4,5,9,0.083333333,0.583333333,0.333333333,0,0.583333333,0.416666667,0.083333333,0.916666667,0,0,0.083333333,0.916666667,592.5
Newschoolcar Kft.,1,Small_buyer,1,10,1,1,0,0,1,0,0,0,0,1,1,0,0,245
321AUTO SIBIU S.R.L.,1,Small_buyer,1,6,3,1,0,0,0,1,0,0,0,1,0,1,0,356
AS - Garant s.r.o.,5,Small_buyer,3,8,5,1,0,0,0,1,0,0,0.8,0.2,0.8,0.2,0,678.4
Waseem Ahmad KFZ-Handel,1,Small_buyer,1,10,7,0,0,1,0,0,1,1,0,0,0,0,1,775
"Automobile Wehrmann, Inh. Tristan Wehrmann",18,Medium_buyer,5,7,9,1,0,0,0.444444444,0.5,0.055555556,0.166666667,0.666666667,0.166666667,0.5,0.388888889,0.111111111,1152.611111
JUAN CARLOS GARCIA CASTRO,5,Small_buyer,3,8,8,0.6,0.4,0,0,0.6,0.4,0.4,0.6,0,0,0.4,0.6,471.2
GIACHGIA HRISTINA DIMITRIOS || SMK COLLECTION CARS,8,Small_buyer,3,7,7,1,0,0,0,0.375,0.625,0.25,0.75,0,0.125,0.625,0.25,727.625
Glostrup Biler ApS,1,Small_buyer,1,6,5,0,0,1,0,0,1,0,1,0,0,0,1,1089
SILVER HEAVEN Kft.,1,Small_buyer,1,9,2,0,1,0,0,1,0,0,0,1,1,0,0,532
YMER XHINDOLI,3,Small_buyer,2,9,3,1,0,0,0.666666667,0.333333333,0,0,0,1,1,0,0,987
David Wolf,3,Small_buyer,2,5,5,1,0,0,0,0.666666667,0.333333333,0.666666667,0.333333333,0,0.666666667,0,0.333333333,-50.66666667
AUTOCCAZ91,1,Small_buyer,1,8,3,0,1,0,1,0,0,0,0,1,0,1,0,661
SAN AUTO MARKET S.R.L.,5,Small_buyer,3,8,4,1,0,0,0.8,0.2,0,0,0.2,0.8,0.8,0.2,0,423
EURL COLIN PATRICE,5,Small_buyer,3,9,9,0.8,0.2,0,0.4,0.6,0,0.4,0.6,0,0,0,1,1204
PLC Invest AB,12,Small_buyer,4,10,11,0,0.083333333,0.916666667,0,0,1,1,0,0,0,0,1,1725.666667
"OÜ OTTO MOTORS, Andrus Veimann",1,Small_buyer,1,8,5,1,0,0,0,0,1,0,1,0,0,0,1,683
Emil Dorin Motoc,1,Small_buyer,1,8,1,1,0,0,1,0,0,0,1,0,1,0,0,-45
ROGÁCS LÁSZLÓ E.V.,4,Small_buyer,2,7,3,0.25,0.75,0,0.75,0.25,0,0,0.25,0.75,1,0,0,15.75
HaeS motors s.r.o.,13,Small_buyer,4,7,8,0.846153846,0.153846154,0,0.153846154,0.769230769,0.076923077,0.153846154,0.615384615,0.230769231,0.230769231,0.538461538,0.230769231,996.9230769
