price,make,built_year,mileage,upholstery,fuel_consumption,color_ids,model_ids,subtype_ids,geartype_ids,bodytype_ids,fueltype_ids,horsepower_ids,time_online_to_reserve_
27638.0,060,2017,111133,1058,5.9,3,39,274,2,4,1,121,8
36999.0,860,2019,17549,1055,5.3,6,246,235,1,10,2,62,9
12990.0,560,2017,50478,1055,4.1,2,378,6,2,5,1,21,81
18290.0,345,2017,58231,1056,3.4,3,175,138,2,5,5,31,2
24790.0,860,2019,32737,1055,3.8,10,70,197,2,8,5,45,47
15990.0,060,2014,112805,1058,4.7,12,34,272,1,5,2,62,41
25190.0,130,2019,32853,1055,4.4,2,9,331,2,3,2,62,90
12290.0,650,2017,24736,1057,5.0,10,47,74,1,12,1,20,18
27748.0,860,2020,32945,1055,3.3,6,110,197,2,4,5,45,60
14890.0,280,2020,4631,1055,4.1,10,17,19,1,5,1,7,97
17490.0,570,2016,72557,1057,4.0,12,62,453,2,10,2,35,8
32990.0,905,2019,64523,1055,5.2,3,291,272,2,10,2,62,49
13890.0,905,2014,99038,1055,5.3,6,163,93,1,4,1,45,101
18690.0,550,2017,74210,1055,4.5,6,26,300,1,5,2,76,41
28990.0,130,2014,102414,1056,5.9,6,360,650,2,8,2,123,71
21990.0,570,2015,86422,1057,5.7,12,152,534,2,8,1,45,118
24890.0,905,2018,71724,1056,6.7,2,304,278,2,8,1,87,7
15490.0,650,2017,11136,1055,6.6,4,220,138,1,8,1,39,20
18890.0,285,2014,25068,1055,7.4,12,200,113,2,8,1,82,57
7690.0,905,2018,87109,1055,4.1,10,388,8,1,5,1,2,41
6757.0,194,2016,81459,1055,5.8,3,285,41,1,5,1,10,40
11290.0,650,2015,32508,1055,4.9,12,111,8,1,5,1,39,112
9690.0,670,2017,90806,1055,4.8,12,8,57,1,5,1,15,16
8990.0,720,2016,12708,1055,5.0,10,336,21,1,12,1,7,42
33490.0,130,2018,91429,1056,4.7,6,25,423,2,4,2,111,58
10290.0,830,2018,89720,1055,4.7,3,65,9,1,5,1,35,14
17970.0,345,2019,28263,1055,6.2,10,382,91,1,5,1,55,106
12890.0,345,2016,71191,1055,5.5,12,380,74,2,12,1,28,5
41548.0,390,2019,74202,1056,7.0,2,167,353,2,8,2,120,73
19990.0,790,2018,14801,1057,4.9,10,205,124,1,5,1,51,16
24183.0,905,2018,11564,1055,5.4,2,304,124,2,8,1,62,14
18755.0,800,2018,56456,1055,3.9,11,230,177,2,4,2,39,33
27690.0,060,2021,5609,1055,4.9,7,33,369,2,5,1,35,24
23750.0,345,2020,27223,1055,5.4,2,382,116,2,4,1,69,11
25990.0,800,2018,83461,1055,5.3,6,300,272,2,4,2,87,57
10990.0,650,2017,36051,1055,5.2,6,111,74,1,5,1,21,12
14613.0,905,2018,44598,1055,4.8,6,243,8,1,12,1,14,59
19683.0,720,2019,40237,1057,4.8,13,289,189,1,10,2,43,46
24996.0,285,2019,14709,1056,5.9,6,146,113,2,5,1,62,35
15890.0,905,2017,24773,1055,4.9,6,163,30,1,5,1,35,12
13990.0,650,2016,58807,1055,4.1,6,57,140,1,5,2,70,9
21750.0,390,2017,43383,1057,6.2,6,109,82,1,8,1,55,36
17120.0,194,2019,25235,1055,4.4,6,128,105,1,10,2,24,4
15890.0,905,2012,94862,1055,6.3,4,317,272,2,8,2,55,8
9990.0,670,2015,112487,1055,4.9,4,6,56,1,8,1,35,3
8990.0,590,2019,25647,1055,4.6,12,295,8,1,5,1,7,59
14890.0,720,2019,15733,1055,4.7,6,105,25,1,12,1,29,17
21326.0,225,2017,80509,1055,6.1,12,356,283,2,8,2,77,3
26280.0,570,2018,113063,1056,4.6,2,87,617,2,4,2,77,25
24276.0,345,2020,18085,1055,7.4,6,335,178,1,8,1,77,35
14290.0,905,2015,98304,1055,4.0,6,164,177,2,10,2,35,35
29497.0,060,2018,20264,1055,4.5,6,36,397,2,5,2,87,40
17990.0,425,2016,104798,1057,4.6,12,231,191,2,4,2,55,4
34290.0,910,2019,36511,1057,6.6,6,273,263,2,5,1,120,31
10575.0,650,2018,80971,1055,5.4,7,111,99,1,5,1,28,36
16860.0,905,2016,25322,1055,5.2,11,163,93,1,5,1,46,99
21941.0,130,2018,31124,1055,5.1,2,4,218,2,5,1,53,36
17990.0,650,2018,55597,1055,6.4,6,375,99,1,10,1,55,38
17990.0,905,2017,15794,1055,5.2,6,164,52,1,10,1,35,70
11664.0,425,2019,20899,1055,5.2,6,241,41,1,12,1,18,14
11490.0,190,2013,71289,1057,5.6,6,78,196,1,8,2,62,17
10402.0,285,2015,78850,1055,5.4,6,136,13,1,8,1,46,16
9990.0,790,2015,100846,1055,5.9,6,205,52,1,3,1,35,35
20890.0,340,2019,43472,1056,4.8,6,104,33,1,5,1,47,66
10890.0,720,2016,48341,1057,4.7,10,105,4,1,5,1,21,30
25990.0,570,2018,34583,1057,5.8,10,152,536,2,8,1,66,26
15790.0,130,2016,49569,1055,5.3,3,4,216,1,5,1,35,15
17990.0,060,2013,96073,1055,5.7,2,253,272,2,8,2,55,47
18690.0,905,2017,102196,1055,5.1,6,238,93,1,4,1,62,50
24990.0,570,2015,74941,1056,5.5,2,71,467,2,4,1,84,38
9600.0,345,2015,49170,1055,4.9,3,379,41,1,12,1,20,8
12790.0,285,2018,34509,1055,5.7,6,190,53,1,12,1,19,40
21990.0,650,2018,59931,1056,4.8,6,171,231,2,8,2,77,5
