dates,cars_sold_de,cars_online_de,avg_buyprice_de,bookmarks_de,opportunity_de
2022-01-02,19,3284,19274,2662,539
2022-01-03,64,3205,19268,2477,846
2022-01-04,52,3298,19265,2531,865
2022-01-05,89,3277,19353,2449,849
2022-01-06,49,3308,19384,2143,823
2022-01-07,75,3261,19385,2319,850
2022-01-08,61,3222,19408,2171,659
2022-01-09,21,3202,19437,2548,644
2022-01-10,68,3202,19432,2338,820
2022-01-11,82,3198,19465,2181,816
2022-01-12,69,3226,19413,2090,881
2022-01-13,54,3249,19512,2234,797
2022-01-14,71,3277,19466,2153,788
2022-01-15,53,3246,19523,2089,744
2022-01-16,34,3217,19551,2751,699
2022-01-17,78,3139,19589,2166,880
2022-01-18,70,3115,19622,2083,771
2022-01-19,56,3096,19677,2181,748
2022-01-20,41,3081,19717,1773,739
2022-01-21,59,3011,19706,1895,809
2022-01-22,53,3029,19698,2346,650
2022-01-23,20,3008,19748,2783,695
2022-01-24,76,2941,19765,2191,859
2022-01-25,69,2880,19817,2140,798
2022-01-26,54,2944,19776,2310,787
2022-01-27,48,2953,19801,2072,758
2022-01-28,52,2761,20059,2034,727
2022-01-29,56,2737,20156,2128,671
2022-01-30,30,2708,20241,2388,600
2022-01-31,77,2686,20247,1951,821
2022-02-01,56,2701,20192,1811,746
2022-02-02,54,2712,20184,2009,742
2022-02-03,50,2721,20193,1595,692
2022-02-04,64,2742,20104,1782,646
2022-02-05,43,2709,20145,2438,615
2022-02-06,21,2681,20193,2221,589
2022-02-07,74,2630,20256,1980,794
2022-02-08,64,2652,20320,1904,711
2022-02-09,58,2667,20273,2103,750
2022-02-10,72,2667,20301,1770,725
2022-02-11,54,2697,20275,1809,724
2022-02-12,48,2662,20366,2174,598
2022-02-13,31,2617,20453,2033,580
2022-02-14,58,2594,20534,1764,678
2022-02-15,47,2654,20482,1779,697
2022-02-16,58,2665,20502,1880,760
2022-02-17,55,2664,20546,1886,754
2022-02-18,69,2660,20623,2159,751
2022-02-19,54,2633,20703,1889,647
2022-02-20,34,2582,20782,2323,808
2022-02-21,67,2567,20818,2060,872
2022-02-22,63,2690,20761,2113,779
2022-02-23,61,2675,20842,2071,722
2022-02-24,54,2738,20826,1621,654
2022-02-25,52,2783,20814,1668,546
2022-02-26,42,2771,20771,1931,628
2022-02-27,26,2732,20847,1991,484
2022-02-28,63,2700,20941,1556,648
2022-03-01,70,2688,20921,1350,622
2022-03-02,48,2758,20830,1643,654
2022-03-03,59,2758,20810,1661,644
2022-03-04,55,2783,20806,1594,631
2022-03-05,39,2754,20828,1862,548
2022-03-06,28,2710,20921,1546,491
2022-03-07,48,2717,20962,1838,623
2022-03-08,34,2711,21015,1732,547
2022-03-09,51,2708,21037,1650,633
2022-03-10,45,2712,21098,1549,568
2022-03-11,38,2764,21090,1549,534
2022-03-12,34,2786,21085,1798,472
2022-03-13,21,2770,21109,1743,486
2022-03-14,50,2754,21153,1671,579
2022-03-15,62,2773,21150,2053,602
2022-03-16,46,2776,21123,1680,657
2022-03-17,48,2867,21075,1531,637
2022-03-18,47,2979,20979,1652,577
2022-03-19,35,2969,20986,1533,529
2022-03-20,21,2955,20980,1549,492
2022-03-21,41,2962,20978,1424,619
2022-03-22,46,3025,20909,1531,674
2022-03-23,52,3049,20840,1602,585
2022-03-24,59,3085,20816,1794,580
2022-03-25,46,3119,20755,1465,617
2022-03-26,46,3123,20743,1375,532
2022-03-27,20,3115,20759,1795,555
2022-03-28,52,3050,20867,1598,660
2022-03-29,53,3124,20832,1585,727
2022-03-30,49,3171,20766,2061,644
2022-03-31,47,3208,20685,1581,660
2022-04-01,38,3219,20644,1757,575
2022-04-02,41,3239,20593,1517,480
2022-04-03,18,3216,20628,2029,544
2022-04-04,73,3210,20704,1603,668
2022-04-05,52,3259,20662,1731,621
2022-04-06,48,3286,20600,1859,679
2022-04-07,67,3286,20556,1724,652
2022-04-08,55,3324,20548,1717,597
2022-04-09,46,3342,20504,1835,585
