company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_cluster
RACE GARAGE SOCIETA' A RESPONSABILITA' LIMITATA,2,Small_buyer,1,10,7,150,2019,64676,25296,0,50,50,50,50,0,-125
Autohaus Lehr GmbH,11,Small_buyer,4,9,10,220,2018,35155,38282,27,63,9,18,72,9,750
OILTREND.HU Kft.,1,Small_buyer,1,7,4,180,2014,129152,14420,0,100,0,100,0,0,1500
Auto Direction s. r. o.,1,Small_buyer,1,10,4,180,2013,122725,11131,100,0,0,0,100,0,1250
CENTRAL GROUP S.R.L.S.,1,Small_buyer,1,9,5,180,2018,35187,26577,0,100,0,100,0,0,750
Autobedrijf Legemaate,1,Small_buyer,1,10,4,192,2013,114534,13400,0,100,0,0,100,0,375
AUTOMOBILS MAS SL,1,Small_buyer,1,9,4,110,2018,30796,14203,0,0,100,100,0,0,375
JAROSŁAW WRĄBEL JAR-CAR,1,Small_buyer,1,6,1,125,2001,259170,182,0,0,100,0,100,0,125
Lux Connection Export sarl,1,Small_buyer,1,7,4,135,2016,107339,15447,100,0,0,100,0,0,750
Autohaus Kerner Gmbh,1,Small_buyer,1,10,4,115,2018,23746,12039,0,0,100,0,100,0,1250
SMART AUTO PIT S.R.L.,2,Small_buyer,1,9,3,97,2010,190911,3197,0,0,100,0,100,0,375
UAB Dinelta,2,Small_buyer,1,6,4,212,2008,217943,5765,0,50,50,100,0,0,750
"RS-Automobile, Inh. Rolf Sporleder",24,Medium_buyer,6,1,10,261,2008,66804,19116,4,79,16,16,79,4,375
LA BAZE AUTO,1,Small_buyer,1,8,3,160,2011,144953,6663,0,0,100,0,100,0,750
Autoliike Niio Oy,2,Small_buyer,1,10,7,169,2020,15829,27850,50,50,0,0,0,100,1250
SRL FAUBOURG CARS,4,Small_buyer,2,7,7,100,2017,42469,16072,100,0,0,0,100,0,1250
AutoPort Andrzej Piwek,4,Small_buyer,2,1,3,126,2002,276698,1374,0,100,0,75,25,0,375
Idée Neuve Automobiles,16,Medium_buyer,5,6,7,78,2011,79501,3787,0,0,100,6,93,0,750
"2-Radgarge Göttingen, Inh. Michael Schröder",1,Small_buyer,1,10,7,420,2007,11002,65300,100,0,0,0,100,0,1500
AUTO BONGERS V.O.F.,9,Small_buyer,3,6,8,149,2012,101999,10110,0,55,44,0,100,0,375
"Autohaus Bent Petersen, Inh. Bent Petersen",1,Small_buyer,1,10,4,120,2017,74152,14770,0,0,100,100,0,0,750
M cars,1,Small_buyer,1,4,1,65,2003,146510,795,0,0,100,0,100,0,125
GIRLANDO ANGELA,1,Small_buyer,1,10,2,60,2010,85896,2569,0,0,100,0,100,0,750
Max Bäker,7,Small_buyer,3,6,4,201,2004,311956,2145,0,71,28,100,0,0,-125
TROKUT AUTO D.O.O.,2,Small_buyer,1,6,3,72,2011,126154,2832,0,0,100,50,50,0,750
Weidendorfer Automobile GmbH,2,Small_buyer,1,9,6,157,2016,65264,24518,0,50,50,100,0,0,-125
MJC - AUTOMÓVEIS LDA,1,Small_buyer,1,10,2,110,2007,196805,2490,0,0,100,100,0,0,750
"PIERÓG TOMASZ P.U.H. ""TOMEX"" AUTO-HANDEL",20,Medium_buyer,6,5,6,116,2005,204002,2039,0,10,90,25,75,0,375
ADRO-RED Kft.,1,Small_buyer,1,6,2,82,2010,166615,3490,0,0,100,0,100,0,750
URBAN MOTORS DOOEL uvoz-izvoz Ilinden,1,Small_buyer,1,7,3,170,2010,230128,9410,100,0,0,100,0,0,1250
"Autohandel Bollig, Inh. Fabian Bollig",2,Small_buyer,1,7,2,57,2007,123456,2217,100,0,0,50,50,0,750
"Abu Automobile Regensburg, Inh. Muayad Abu-Baker Mohammed Mohammed",2,Small_buyer,1,4,6,231,2016,117993,19783,50,50,0,100,0,0,1500
Saxonia CARS & FINANCE Dresden GmbH,2,Small_buyer,1,3,9,259,2018,39302,52582,50,50,0,50,50,0,1500
"Auto Galerie Avan, Inh. Abdulkerim Avan",1,Small_buyer,1,6,4,252,2012,147427,13006,0,100,0,0,100,0,125
Autohaus Walter Mulfinger GmbH,1,Small_buyer,1,10,5,150,2016,43445,22085,0,100,0,100,0,0,1250
"KleinWagenCenter Köhler & Sohn, Inh. Ralf Köhler",12,Small_buyer,4,10,7,85,2011,90126,5541,0,8,91,25,75,0,750
MONDO CARMARKET d. o. o.,1,Small_buyer,1,6,3,92,2013,143547,5613,0,0,100,100,0,0,750
BIBACAR DI CALLEGARO ANTONIO,2,Small_buyer,1,4,5,70,2017,25324,10774,100,0,0,0,100,0,1250
Exklusiv Automobile Kerstin Kaufhold,15,Medium_buyer,5,2,9,97,2010,97588,9122,0,0,100,46,53,0,750
PERSPETIVA DINAMICA - UNIPESSOAL LDA,2,Small_buyer,1,10,5,127,2016,136118,13387,0,50,50,50,50,0,750
EBVBA GARAGE TRADING,4,Small_buyer,2,9,7,183,2017,41959,17677,0,0,100,0,100,0,1250
BULKAR PETKOV EOOD,1,Small_buyer,1,7,2,170,2008,346998,3558,0,100,0,100,0,0,375
REVEN NASTJA - CENTER VOZIL d.o.o.,1,Small_buyer,1,7,4,160,2018,131569,15600,100,0,0,100,0,0,750
