op_id,country,success,time_to_close,views,impressions
OP02289196,IT,0,148,9,0
OP02293216,NL,0,80,9,0
OP02404954,AT,0,23,4,0
OP02347075,BE,0,96,7,1
OP02312725,FR,1,19,2,0
OP02372838,DE,0,200,3,1
OP02463413,DE,0,30,1,1
OP02383585,DE,0,149,1,1
OP02378338,ES,1,65,13,1
OP02396387,DE,0,46,1,1
OP02427370,FR,0,55,11,6
OP02302638,DE,0,29,5,0
OP02378659,DE,0,45,7,0
OP02381193,DE,0,339,160,7
OP02313018,FR,0,40,1,0
OP02277564,NL,0,29,4,0
OP02392439,ES,0,0,2,0
OP02298625,DE,0,167,12,3
OP02329367,ES,1,28,4,0
OP02340349,DE,0,125,1,1
OP02335329,DE,0,121,4,0
OP02314208,DE,0,96,3,0
OP02300314,DE,1,63,2,0
OP02364537,DE,0,181,4,1
OP02372950,ES,0,73,2,2
OP02430463,DE,0,30,2,3
OP02286434,DE,0,319,6,0
OP02351860,SE,0,99,2,1
OP02346492,IT,0,32,1,2
OP02398608,DE,0,121,2,0
OP02297416,NL,0,218,17,0
OP02293014,IT,0,385,2,2
OP02378084,IT,0,3,3,0
OP02414680,IT,1,45,17,13
OP02380816,ES,0,225,3,1
OP02425113,NL,1,117,8,7
OP02355238,PL,1,74,29,5
OP02401487,ES,0,200,1,3
OP02401883,SE,0,56,1,0
OP02389835,DE,0,98,3,2
OP02375352,FR,0,61,1,0
OP02422126,ES,1,23,2,1
OP02269974,DE,0,402,6,0
OP02453201,IT,0,140,1,1
OP02367799,DE,1,113,7,0
OP02407884,DE,0,199,7,10
OP02297075,BE,0,195,2,0
OP02446221,AT,1,0,1,0
OP02277076,DE,0,115,12,0
OP02243558,DE,0,403,1,1
OP02461682,DE,0,122,1,0
OP02353238,IT,0,169,9,1
OP02402799,FR,0,223,7,3
OP02362643,IT,0,28,7,0
OP02365257,DE,0,75,2,0
OP02274405,DE,0,76,1,0
OP02380748,DE,0,196,17,1
OP02412652,FR,0,4,1,2
OP02443193,IT,0,73,3,2
OP02439466,DE,0,116,8,1
OP02393511,IT,0,56,1,3
OP02366776,IT,0,234,1,2
OP02432746,BE,0,70,3,1
OP02332590,DE,0,45,6,2
OP02465372,DE,0,33,1,0
OP02277431,DE,0,32,1,0
OP02366307,DE,0,72,1,0
OP02319827,PL,0,65,4,1
OP02310240,PL,0,129,1,1
OP02439662,DE,0,139,24,3
OP02414928,ES,0,409,1,0
OP02336215,DE,1,102,6,1
OP02383615,BE,0,20,7,0
OP02348297,DE,0,80,1,0
OP02442645,DE,0,94,5,0
OP02385499,DE,1,54,15,18
OP02303493,DE,0,150,2,2
OP02450967,IT,0,117,3,4
OP02348586,IT,1,13,1,6
OP02351594,NL,0,66,1,0
OP02410729,FR,1,304,2,0
OP02446500,PL,1,166,3,0
OP02459220,ES,0,5,3,2
OP02271193,IT,1,267,8,0
OP02324999,PL,1,30,4,1
OP02376584,IT,0,76,10,3
OP02268617,NL,1,166,1,0
OP02434229,PL,0,2,2,0
OP02419018,PL,0,140,2,0
OP02462119,DE,0,6,1,2
OP02417916,FR,0,140,7,3
OP02464302,PL,1,18,4,0
OP02286289,BE,0,26,4,0
