id,price_cluster,make,model,subtype,outside_color,mileage_cluster,hp_cluster,built_year,fueltype,geartype,body_type,upholstery,fuel_cluster,time_sell
KH78095,price_15_20k,Toyota,Yaris,1.5 Hybrid,White,40-50k,horsepower_100_150hp,2019,Hybrid,Gear type automatic,Limousine,Stoff,fuel_consumption_1_,sold_15_25d
EB48424,price_10_15k,Seat,Ibiza,1.0,Gray,30-40k,horsepower_0_100hp,2017,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_2_,sold_15_25d
FL05907,price_15_20k,Seat,Leon,1.5 TSI,Black,80-90k,horsepower_100_150hp,2018,Benzin,Gear type automatic,Limousine,Leder,fuel_consumption_2_,sold_15_25d
TF77402,price_25_30k,Volkswagen,Passat,2.0 TDI,Black,60-70k,horsepower_150_200hp,2017,Diesel,Gear type automatic,Kombi,Alcantara,fuel_consumption_2_,sold_35_50d
FF76242,price_10_15k,Citroen,DS4,1.2 PureTech,Gray,50-60k,horsepower_100_150hp,2016,Benzin,Gear type manual,Limousine,Alcantara,fuel_consumption_2_,sold_25_35d
SH69116,price_20_25k,Audi,A4,1.4 TFSI,Gray,50-60k,horsepower_100_150hp,2017,Benzin,Gear type automatic,Limousine,Stoff,fuel_consumption_3_,sold_0-7d
TJ66425,price_10_15k,Abarth,595,1.4,Gray,50-60k,horsepower_150_200hp,2014,Benzin,Gear type manual,Limousine,Alcantara,fuel_consumption_3_,sold_7_15d
KP49198,price_15_20k,Ford,Fiesta,1.0 EcoBoost,White,10-20k,horsepower_0_100hp,2020,Benzin,Gear type automatic,Limousine,Stoff,fuel_consumption_2_,sold_35_50d
KM32167,price_25_30k,Mercedes-Benz,C-Klasse,C 250 d,Gray,90-100k,horsepower_200_250hp,2015,Diesel,Gear type automatic,Limousine,Leder,fuel_consumption_1_,sold_35_50d
ZG20596,price_20_25k,Opel,Grandland X,1.2,Gray,10-20k,horsepower_100_150hp,2020,Benzin,Gear type automatic,SUV,Stoff,fuel_consumption_2_,sold_35_50d
GH44108,price_15_20k,Mitsubishi,Eclipse Cross,1.5 T-MIVEC,White,20-30k,horsepower_150_200hp,2018,Benzin,Gear type manual,SUV,Stoff,fuel_consumption_4_,sold_65_80d
ST16661,price_15_20k,Kia,Rio,1.0 TGDI,Gray,20-30k,horsepower_100_150hp,2018,Benzin,Gear type manual,Limousine,Teilleder,fuel_consumption_2_,sold_65_80d
KH14730,price_15_20k,BMW,2er,218d Active Tourer,Gray,90-100k,horsepower_100_150hp,2016,Diesel,Gear type automatic,Van,Alcantara,fuel_consumption_1_,sold_35_50d
DX93134,price_0_10k,Volkswagen,Polo,1.4 TDI,Blue,80-90k,horsepower_0_100hp,2014,Diesel,Gear type manual,Limousine,Stoff,fuel_consumption_1_,sold_50_65d
SD92303,price_15_20k,Volkswagen,Golf VII Sportsvan,1.5 TSI,Gray,10-20k,horsepower_100_150hp,2018,Benzin,Gear type manual,Van,Stoff,fuel_consumption_2_,sold_25_35d
YH37977,price_15_20k,Volkswagen,Golf VII Sportsvan,1.5 TSI,Black,50-60k,horsepower_100_150hp,2019,Benzin,Gear type manual,Van,Stoff,fuel_consumption_2_,sold_50_65d
ZS53080,price_20_25k,Mercedes-Benz,C-Klasse,C 180 CGI,Gray,50-60k,horsepower_150_200hp,2016,Benzin,Gear type automatic,Limousine,Teilleder,fuel_consumption_2_,sold_35_50d
ZA54175,price_15_20k,Citroen,C3 Aircross,1.2 e-THP,Black,30-40k,horsepower_100_150hp,2017,Benzin,Gear type automatic,SUV,Teilleder,fuel_consumption_2_,sold_35_50d
KZ10635,price_20_25k,Ford,Kuga,1.5 EcoBoost,Black,10-20k,horsepower_150_200hp,2018,Benzin,Gear type automatic,SUV,Stoff,fuel_consumption_4_,sold_15_25d
SR39992,price_over30k,Seat,Leon,2.0 TDI,Black,10-20k,horsepower_100_150hp,2021,Diesel,Gear type automatic,Limousine,Alcantara,fuel_consumption_1_,sold_80_100d
TM43451,price_15_20k,Volkswagen,Golf VII,1.4 TSI,White,40-50k,horsepower_100_150hp,2017,Benzin,Gear type automatic,Kombi,Stoff,fuel_consumption_2_,sold_15_25d
ZV01100,price_10_15k,Renault,Captur,1.2 TCe Energy,Red,90-100k,horsepower_100_150hp,2016,Benzin,Gear type automatic,SUV,Stoff,fuel_consumption_3_,sold_65_80d
TE72313,price_15_20k,Skoda,Octavia,1.4 TSI,White,20-30k,horsepower_100_150hp,2016,Benzin,Gear type manual,Kombi,Stoff,fuel_consumption_2_,sold_0-7d
ZS97642,price_over30k,Volkswagen,T6 Kombi,2.0 TDI,Gray,20-30k,horsepower_100_150hp,2019,Diesel,Gear type manual,Kombi,Stoff,fuel_consumption_4_,sold_0-7d
TE02337,price_20_25k,Volkswagen,Touran,2.0 TDI,Blue,100k+,horsepower_100_150hp,2017,Diesel,Gear type manual,Van,Alcantara,fuel_consumption_1_,sold_35_50d
SU24278,price_20_25k,Audi,A3,30 TDI,Gray,40-50k,horsepower_100_150hp,2019,Diesel,Gear type manual,Kombi,Stoff,fuel_consumption_1_,sold_80_100d
ZK15121,price_20_25k,Jeep,Renegade,1.3 TGDi,Black,20-30k,horsepower_100_150hp,2018,Benzin,Gear type automatic,SUV,Leder,fuel_consumption_3_,sold_0-7d
TH40981,price_25_30k,Volkswagen,Golf VII,2.0 TSI,Red,10-20k,horsepower_200_250hp,2019,Benzin,Gear type automatic,Limousine,Stoff,fuel_consumption_3_,sold_25_35d
YM53676,price_10_15k,Mercedes-Benz,B-Klasse,B 180,Black,100k+,horsepower_100_150hp,2013,Benzin,Gear type automatic,Van,Stoff,fuel_consumption_3_,sold_7_15d
GH28936,price_20_25k,Subaru,Outback,2.5,Gray,40-50k,horsepower_150_200hp,2016,Benzin,Gear type automatic,Kombi,Leder,fuel_consumption_4_,sold_7_15d
YW19838,price_0_10k,Volkswagen,Polo,1.0,Blue,30-40k,horsepower_0_100hp,2014,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_2_,sold_15_25d
KA38370,price_0_10k,Kia,Picanto,1.0,Gray,100k+,horsepower_0_100hp,2016,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_1_,sold_7_15d
YN14785,price_20_25k,BMW,1er,120d,Red,90-100k,horsepower_150_200hp,2017,Diesel,Gear type automatic,Limousine,Stoff,fuel_consumption_1_,sold_35_50d
FW42926,price_25_30k,Mercedes-Benz,C-Klasse,C 300,White,70-80k,horsepower_200_250hp,2018,Benzin,Gear type automatic,Kombi,Leder,fuel_consumption_3_,sold_35_50d
LN33298,price_10_15k,Smart,fortwo,0.9 Turbo,White,50-60k,horsepower_0_100hp,2018,Benzin,Gear type automatic,Cabrio,Stoff,fuel_consumption_1_,sold_7_15d
ZA72256,price_25_30k,Mercedes-Benz,CLA-Klasse,Shooting Brake CLA 180,Black,50-60k,horsepower_100_150hp,2019,Benzin,Gear type automatic,Kombi,Leder,fuel_consumption_2_,sold_0-7d
ZC87135,price_over30k,Ford,Kuga,2.0 EcoBlue,Red,30-40k,horsepower_150_200hp,2020,Diesel,Gear type automatic,SUV,Teilleder,fuel_consumption_2_,sold_50_65d
ZM10017,price_20_25k,Skoda,Superb,1.4 TSI,Gray,60-70k,horsepower_100_150hp,2018,Benzin,Gear type manual,Kombi,Stoff,fuel_consumption_3_,sold_35_50d
TK08216,price_20_25k,Ford,Focus,1.5 EcoBoost,White,30-40k,horsepower_100_150hp,2019,Benzin,Gear type automatic,Kombi,Teilleder,fuel_consumption_3_,sold_over100d_
FZ87909,price_15_20k,Renault,Koleos,2.0 dCi Energy,White,100k+,horsepower_150_200hp,2017,Diesel,Gear type manual,SUV,Teilleder,fuel_consumption_3_,sold_35_50d
PR16617,price_10_15k,Dacia,Logan MCV II,0.9 TCe,Blue,50-60k,horsepower_0_100hp,2017,Benzin,Gear type manual,Kombi,Teilleder,fuel_consumption_2_,sold_80_100d
SZ82141,price_0_10k,Kia,Rio,1.2,White,50-60k,horsepower_0_100hp,2016,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_2_,sold_35_50d
SE64472,price_15_20k,Ford,Fiesta,1.0 EcoBoost,Gray,50-60k,horsepower_100_150hp,2018,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_1_,sold_over100d_
HU40095,price_10_15k,Renault,Clio,1.2,Black,50-60k,horsepower_0_100hp,2017,Benzin,Gear type manual,Kombi,Stoff,fuel_consumption_3_,sold_35_50d
JE14724,price_10_15k,Mitsubishi,ASX,2.2 DI-D,Gray,100k+,horsepower_100_150hp,2016,Diesel,Gear type automatic,SUV,Stoff,fuel_consumption_3_,sold_7_15d
TA61742,price_10_15k,MINI,MINI,One,Black,70-80k,horsepower_100_150hp,2015,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_2_,sold_35_50d
RC59908,price_10_15k,Seat,Leon,1.2 TSI,Black,100k+,horsepower_100_150hp,2014,Benzin,Gear type manual,Kombi,Stoff,fuel_consumption_2_,sold_50_65d
TC53599,price_10_15k,Renault,Captur,0.9 Energy,Beige,60-70k,horsepower_0_100hp,2015,Benzin,Gear type manual,SUV,Stoff,fuel_consumption_2_,sold_50_65d
SK01151,price_over30k,Mercedes-Benz,CLA-Klasse,CLA 200,White,40-50k,horsepower_150_200hp,2019,Benzin,Gear type automatic,Limousine,Teilleder,fuel_consumption_2_,sold_7_15d
KW92715,price_20_25k,Hyundai,i30,2.0 TGDI,Blue,30-40k,horsepower_over250hp,2017,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_4_,sold_35_50d
KA09694,price_25_30k,BMW,X2,xDrive 20d,White,70-80k,horsepower_150_200hp,2018,Diesel,Gear type automatic,SUV,Alcantara,fuel_consumption_2_,sold_over100d_
TP56794,price_15_20k,Volkswagen,Golf VII Sportsvan,1.2 TSI,Blue,30-40k,horsepower_100_150hp,2017,Benzin,Gear type manual,Van,Stoff,fuel_consumption_2_,sold_35_50d
KW02889,price_15_20k,Volkswagen,Golf VII Sportsvan,1.4 TSI,White,40-50k,horsepower_100_150hp,2016,Benzin,Gear type automatic,Van,Stoff,fuel_consumption_2_,sold_15_25d
PV35439,price_15_20k,Ford,Focus,1.5 EcoBoost,Silver,60-70k,horsepower_150_200hp,2017,Benzin,Gear type automatic,Kombi,Stoff,fuel_consumption_3_,sold_7_15d
XN78279,price_20_25k,Volkswagen,Golf VII,2.0 TSI,Gray,90-100k,horsepower_200_250hp,2017,Benzin,Gear type automatic,Limousine,Stoff,fuel_consumption_3_,sold_35_50d
SV31342,price_20_25k,Volkswagen,Touran,1.4 TSI,Gray,70-80k,horsepower_100_150hp,2017,Benzin,Gear type automatic,Van,Alcantara,fuel_consumption_2_,sold_7_15d
YJ58915,price_15_20k,Volkswagen,Golf,1.0 TSI,Gray,20-30k,horsepower_100_150hp,2019,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_2_,sold_50_65d
TL83093,price_0_10k,Hyundai,i10,1.0,White,90-100k,horsepower_0_100hp,2016,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_2_,sold_15_25d
GZ07886,price_10_15k,Nissan,Qashqai,1.2,Black,30-40k,horsepower_100_150hp,2014,Benzin,Gear type manual,SUV,Leder,fuel_consumption_3_,sold_0-7d
YU40461,price_15_20k,Volkswagen,Golf VII,1.4 TSI,Gray,30-40k,horsepower_100_150hp,2017,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_2_,sold_25_35d
EZ77120,price_15_20k,Ford,Kuga,2.0 TDCi,White,60-70k,horsepower_100_150hp,2016,Diesel,Gear type manual,SUV,Stoff,fuel_consumption_2_,sold_15_25d
SP85891,price_10_15k,Audi,A1,1.0 TFSI,Black,50-60k,horsepower_0_100hp,2017,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_1_,sold_25_35d
SA06351,price_20_25k,Volkswagen,Touran,1.2 TSI,Gray,20-30k,horsepower_100_150hp,2017,Benzin,Gear type manual,Van,Stoff,fuel_consumption_2_,sold_35_50d
TB36243,price_10_15k,Opel,Mokka,1.4 Turbo,Black,60-70k,horsepower_100_150hp,2015,Benzin,Gear type manual,SUV,Teilleder,fuel_consumption_4_,sold_over100d_
ES06971,price_10_15k,Volkswagen,Polo,1.2 TSI,Blue,90-100k,horsepower_0_100hp,2016,Benzin,Gear type manual,Limousine,Stoff,fuel_consumption_2_,sold_0-7d
