company,cars_bought,type_buyer,frequency,recency,monetary,hp,age,mileage,sell_price,share_gear_type_1140_1141,share_gear_type_1139,share_gear_type_1138,share_fuel_type_1140,share_fuel_type_1139,share_fuel_type_other,profit_per_car
SIA NG26 autoparks,8,Small_buyer,3,7,7,146,2013,227691,8143,0.5,0.25,0.25,1,0,0,842.625
MARCIN KUCZKOWSKI MARTIN - cars,1,Small_buyer,1,8,3,140,2012,142610,7181,0,0,1,0,1,0,1604
GROUPE GUEUDET - AUTOMOBILE DE L’ALLIANCE - BOULOGNE - NISSAN,10,Small_buyer,4,8,9,150,2016,57032,17318,0.6,0,0.4,0.3,0.7,0,1180.7
"KIOSK ""RUCH"" RYSZARD JAJDELSKI",2,Small_buyer,1,10,5,167,2014,159921,10021,0,0,1,0.5,0.5,0,573
CarPlus Automobil GmbH,4,Small_buyer,2,9,8,243,2015,95858,21512,0.75,0.25,0,0.5,0.25,0.25,-1452
"Alexautomobile, Inh. Aleksandr Nikolaenko",17,Medium_buyer,5,7,6,104,2003,154258,2648,0.117647059,0.176470588,0.705882353,0.176470588,0.823529412,0,388.8235294
Autocenter B&K - NDL der Autohaus Thümmler GmbH,5,Small_buyer,3,8,6,91,2014,65508,7164,0,0,1,0,1,0,632.2
SAS MASSIF AUTO,1,Small_buyer,1,10,3,130,2013,169341,6701,0,0,1,1,0,0,1165
Auto Welt Paweł Zawadzki,1,Small_buyer,1,9,2,68,2007,188849,1170,0,0,1,0,1,0,534
AUTO D'ALTERIO DI NICOLA PIO D'ALTERIO,7,Small_buyer,3,6,4,63,2010,154883,2692,0.142857143,0,0.857142857,0.142857143,0.857142857,0,688.1428571
Agnieszka Wieczorek,27,Medium_buyer,6,4,9,117,2009,181466,4012,0,0,1,0.296296296,0.703703704,0,566.962963
NETCARS UNION Kereskedelmi Korlátolt Felelősségű Társaság,1,Small_buyer,1,8,2,110,2010,262057,2827,0,0,1,1,0,0,379
SAS AC111,14,Small_buyer,4,3,10,200,2015,65520,22005,0.214285714,0.142857143,0.642857143,0.285714286,0.714285714,0,1468.571429
FINCAS 2000 INMOINVERSION SL,3,Small_buyer,2,7,5,222,2011,244106,7490,0,0.666666667,0.333333333,1,0,0,167.6666667
MK SERWIS MARCIN KWIETNIEWSKI,2,Small_buyer,1,5,2,105,2004,263331,643,0,0,1,0,1,0,185.5
Marek Klement,1,Small_buyer,1,10,2,170,2002,204256,1474,0,0,1,0,1,0,322
