id,make,model,hp_cluster,age_cluster,mileage_cluster,sell_price,time_to_sell,ppu_cluster,buyer_id
1245737785,Opel,Movano,100-150hp,8-10years,100k+,9000,+45,-1_0k,816871
1248509874,Audi,A4,100-150hp,15+years,100k+,1643,0-1,0_0.5k,5936203
1240886768,MINI,MINI,100-150hp,12-15years,100k+,2573,2-4,0.5-1k,47301
1246751886,Dacia,Duster,100-150hp,8-10years,100k+,5782,0-1,0.5-1k,552191
1237920951,Volkswagen,Passat,150-200hp,8-10years,100k+,11321,0-1,1.5-2k,74942
1247394864,BMW,5er,250-300hp,6-8years,100k+,16550,0-1,0.5-1k,4207613
1244772160,Opel,Adam,0-100hp,2-4years,30-40k,9723,15-30,0.5-1k,73776
1247373364,Opel,Adam,0-100hp,4-6years,10-20k,10900,0-1,0_0.5k,22778
1245619020,Volkswagen,Caddy,0-100hp,2-4years,40-50k,17755,15-30,1-1.5k,60043
1246766809,Hyundai,i10,0-100hp,6-8years,100k+,4688,0-1,1-1.5k,1708322
1235986254,Ford,Focus,100-150hp,4-6years,80-90k,11600,15-30,1-1.5k,4885473
1245848777,Volvo,XC 90,200-250hp,6-8years,70-80k,33732,15-30,1-1.5k,536
1245208021,BMW,4er,300+hp,6-8years,70-80k,44572,15-30,2k+,574591
1248306591,Opel,Corsa,0-100hp,12-15years,70-80k,3083,0-1,0.5-1k,384671
1247014640,Seat,Leon,200-250hp,12-15years,100k+,3050,2-4,0.5-1k,4342923
1246029772,BMW,1er,100-150hp,2-4years,30-40k,25401,8-15,1-1.5k,1997211
1241226469,BMW,1er,300+hp,6-8years,90-100k,21130,0-1,1-1.5k,74679
1245940166,Nissan,NV300,100-150hp,4-6years,100k+,19500,0-1,1-1.5k,87323
1246898192,Volkswagen,Touran,100-150hp,15+years,100k+,1842,0-1,0_0.5k,6211468
1247076797,Mercedes-Benz,E-Klasse,200-250hp,15+years,100k+,6123,8-15,0.5-1k,6443095
1247578234,Audi,A5 Sportback,150-200hp,10-12years,100k+,6400,4-8,0.5-1k,6292453
1247130309,Toyota,Land Cruiser,150-200hp,4-6years,10-20k,42745,0-1,1-1.5k,991251
1247396422,Ford,Galaxy,100-150hp,10-12years,100k+,10298,2-4,1-1.5k,850821
1241900636,Volkswagen,Polo,150-200hp,12-15years,70-80k,8663,8-15,0.5-1k,6260155
1242951585,Renault,Kangoo,0-100hp,10-12years,100k+,3072,15-30,0_0.5k,4337753
1247721164,Toyota,Corolla Verso,100-150hp,12-15years,100k+,3941,0-1,0.5-1k,552191
1244652276,Renault,Espace,150-200hp,12-15years,100k+,1396,15-30,0_0.5k,2532543
1206261021,Volkswagen,Caddy,0-100hp,4-6years,100k+,8960,4-8,0.5-1k,53013
1246642662,Honda,CR-V,100-150hp,8-10years,100k+,10585,2-4,0.5-1k,365061
1246397392,Seat,Leon,100-150hp,8-10years,100k+,4157,0-1,0.5-1k,855871
1247837129,Smart,fortwo,100-150hp,6-8years,90-100k,9092,0-1,1-1.5k,5350353
1246391167,Ford,Fiesta,0-100hp,2-4years,40-50k,9950,0-1,0_0.5k,31307
1247774083,Mercedes-Benz,Vito,100-150hp,6-8years,100k+,9400,0-1,0_0.5k,28937
1243300693,Lexus,RX-Serie,250-300hp,2-4years,10-20k,61212,+45,1-1.5k,6133528
1242300879,Volkswagen,Golf IV,0-100hp,15+years,100k+,718,+45,0_0.5k,85011
1245852391,Opel,Astra,100-150hp,6-8years,60-70k,7783,8-15,0.5-1k,858811
1246236184,Audi,A4,150-200hp,2-4years,100k+,25600,0-1,0.5-1k,4767143
1247008590,Audi,A4,100-150hp,15+years,100k+,5764,0-1,0.5-1k,12779
1243271275,Opel,Insignia,200-250hp,10-12years,100k+,5710,+45,-1_0k,6150481
1246648860,Skoda,Citigo,0-100hp,0-2years,10-20k,18912,15-30,0_0.5k,6221934
1246675463,BMW,5er,200-250hp,10-12years,100k+,10595,0-1,0_0.5k,1454911
1242803850,Ford,Transit,0-100hp,10-12years,100k+,5312,0-1,0.5-1k,6153672
1244614588,Volvo,V 60,150-200hp,0-2years,10-20k,32368,15-30,0.5-1k,1823972
1246442086,Volkswagen,Golf VII,100-150hp,6-8years,100k+,7827,0-1,0.5-1k,52010
1247724507,Peugeot,206,0-100hp,15+years,100k+,1160,0-1,0_0.5k,6383301
1247731213,Volkswagen,Eos,100-150hp,10-12years,100k+,4152,4-8,0.5-1k,58034
1246351043,Volkswagen,Golf VI,100-150hp,10-12years,100k+,6100,0-1,0_0.5k,2542053
1247120563,Citroen,Saxo,0-100hp,15+years,30-40k,1155,0-1,0.5-1k,5368193
1247275403,Volkswagen,Polo,100-150hp,10-12years,100k+,6334,0-1,0_0.5k,5971103
1244411698,Saab,9-3,100-150hp,15+years,100k+,6274,+45,0_0.5k,6364601
1247896698,Peugeot,208,0-100hp,0-2years,10-20k,24900,0-1,0_0.5k,84679
1246950148,Volkswagen,Golf VI,100-150hp,10-12years,100k+,4100,0-1,0.5-1k,4554573
1241434504,Ford,Focus,300+hp,12-15years,100k+,25535,+45,<-1k,1468201
1245501220,Ford,Mustang,300+hp,4-6years,0-10k,35794,8-15,1-1.5k,719381
1244146903,Opel,Corsa,0-100hp,12-15years,100k+,2316,30-45,0_0.5k,115890
1245329250,Volkswagen,Passat,100-150hp,10-12years,100k+,6012,0-1,0.5-1k,907081
1247628487,Hyundai,i30,0-100hp,4-6years,50-60k,9900,2-4,0.5-1k,640401
1246592667,Mercedes-Benz,A-Klasse,0-100hp,12-15years,100k+,3002,2-4,0.5-1k,5266023
1247003776,Seat,Altea,100-150hp,6-8years,100k+,6139,2-4,0.5-1k,25579
1247722517,Volvo,XC 60,150-200hp,2-4years,100k+,26780,0-1,0.5-1k,6321993
1214972466,Audi,A6,200-250hp,8-10years,100k+,10202,0-1,1-1.5k,4033283
1246965077,Audi,A4,200-250hp,8-10years,100k+,15281,8-15,1.5-2k,1451761
1247392280,Peugeot,Expert,100-150hp,10-12years,100k+,6082,0-1,0.5-1k,6145189
1241618798,Audi,A1,100-150hp,2-4years,20-30k,14962,15-30,1-1.5k,2334143
1246593615,Nissan,X-Trail,100-150hp,4-6years,40-50k,16750,2-4,1-1.5k,6264920
1244487159,Toyota,Corolla,150-200hp,2-4years,70-80k,22640,0-1,2k+,29771
1247774766,Toyota,Corolla,0-100hp,15+years,60-70k,2573,0-1,0.5-1k,6398880
1245793271,Ford,C-Max,100-150hp,6-8years,100k+,5327,15-30,0.5-1k,878141
1244268907,MINI,MINI,150-200hp,12-15years,100k+,4398,0-1,0.5-1k,76749
1243100802,Volkswagen,Passat,150-200hp,12-15years,100k+,1622,0-1,0.5-1k,6236880
1247212340,Jaguar,F-TYPE,300+hp,8-10years,90-100k,47765,8-15,0.5-1k,6122915
1246662170,Fiat,Grande Punto,0-100hp,15+years,100k+,788,4-8,0_0.5k,1483351
1246686014,Peugeot,Expert,150-200hp,8-10years,100k+,5339,0-1,0.5-1k,5450703
