id,buy_price,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,benzin,diesel,hybrid,automatic,manual,time_online_to_reserve_
EF91142,20932,DE,0,Volkswagen,Tiguan,2.0 TSI,Gray,2016,SUV,Alcantara,7.1,68468,180,1,0,0,0,1,60
DZ75273,24332,DE,0,Peugeot,2008,1.2 e-THP,Orange,2021,SUV,Teilleder,4.8,9777,131,1,0,0,1,0,14
ET74163,7415,DE,0,Skoda,Citigo,1.0 MPI,Gray,2018,Limousine,Stoff,4.1,30451,60,1,0,0,0,1,53
UM85495,14541,DE,0,Volkswagen,Caddy,1.2 TSI,Brown,2017,Van,Stoff,5.9,45161,85,1,0,0,0,1,28
VU26523,9814,AT,0,Volkswagen,Tiguan,1.4 TSI,Black,2015,SUV,Stoff,6.4,48485,125,1,0,0,0,1,19
SX75937,25243,DE,0,Volkswagen,Caddy,1.4 TSI,Gray,2018,Kombi,Leder,5.9,53552,131,1,0,0,1,0,2
VE94897,8875,DE,0,MINI,MINI,Cooper,White,2013,Limousine,Teilleder,5.4,77359,122,1,0,0,0,1,13
VE21772,19234,DE,0,BMW,5er,530d,Gray,2014,Kombi,Leder,5.3,107693,258,0,1,0,1,0,37
VM03834,12751,HR,0,Opel,Mokka X,1.4 Turbo,Black,2017,SUV,Teilleder,5.9,44712,140,1,0,0,0,1,87
LV55556,14375,DE,0,Mazda,CX-5,2.2 Turbodiesel,Brown,2015,SUV,Leder,5.5,91451,175,0,1,0,1,0,65
LM07455,9687,DE,0,Volkswagen,Golf VII,1.6 TDI,White,2014,Kombi,Stoff,3.9,107815,110,0,1,0,0,1,18
XG23545,5463,DE,0,Ford,Fiesta,1.25,Red,2015,Limousine,Stoff,5.2,48648,60,1,0,0,0,1,1
BK37058,15148,DE,0,Nissan,NV200 Evalia,1.6,Gray,2016,Bus,Stoff,7.3,55814,110,1,0,0,0,1,1
VV57280,13716,DE,0,Volkswagen,Golf VII Sportsvan,1.2 TSI,Black,2017,Van,Stoff,5.0,33883,110,1,0,0,1,0,1
FV35185,16521,DE,0,Nissan,X-Trail,1.6 dCi,White,2017,SUV,Stoff,5.1,65809,130,0,1,0,1,0,1
AT74524,14741,DE,0,Volkswagen,Golf VII,1.0 TSI,White,2017,Limousine,Stoff,4.7,42921,110,1,0,0,1,0,1
PU87298,11727,DE,0,Ford,Focus,1.5 TDCi,Gray,2018,Kombi,Stoff,3.8,70109,120,0,1,0,0,1,1
CP92168,5577,DE,0,Ford,Focus,1.6 Ti-VCT,Silver,2012,Kombi,Stoff,6.0,77714,105,1,0,0,0,1,4
HP90720,27371,DE,0,Volkswagen,T5 Multivan,2.0 TDI,Red,2015,Bus,Leder,7.9,109563,180,0,1,0,1,0,10
HC34368,6978,CZ,0,Skoda,Citigo,1.0 MPI,Blue,2017,Limousine,Stoff,4.4,12380,75,1,0,0,1,0,4
HS14903,18000,DE,0,Volkswagen,Passat,2.0 TSI,Black,2015,Kombi,Teilleder,6.3,94765,220,1,0,0,1,0,48
HM41707,17804,DE,0,BMW,1er,118d,White,2017,Limousine,Alcantara,4.1,69016,150,0,1,0,1,0,62
HX15539,26900,DK,1,Volkswagen,Arteon,2.0 TDI,White,2019,Limousine,Alcantara,4.4,33901,150,0,1,0,1,0,47
LL69952,5872,DE,0,Mitsubishi,Space Star,1.0,Silver,2019,Kombi,Stoff,4.2,9820,71,1,0,0,0,1,12
YJ74029,11298,DE,0,Mazda,3,2.0,Red,2016,Limousine,Stoff,5.1,69617,120,1,0,0,0,1,44
YJ90952,23833,DE,0,Audi,A4 Allroad,3.0 V6 TDI,White,2016,Kombi,Stoff,5.5,117184,272,0,1,0,1,0,43
RH63038,16361,DE,0,Hyundai,Tucson,1.6 TGDI,Gold,2017,SUV,Leder,7.6,90350,177,1,0,0,1,0,1
ZF60718,6901,DE,0,Citroen,C3,1.2 VTi,Black,2018,Limousine,Stoff,4.7,86681,82,1,0,0,0,1,57
