id,buy_price,countryoforigin,tax_deductible,make,model,subtype,outside_color,built_year,body_type,upholstery,fuelconsumption_combined,mileage,horsepower,fueltype,geartype,time_online_to_reserve_
JK23612,23972,DE,0,Mercedes-Benz,E-Klasse,E 220 d,Gray,2017,Kombi,Teilleder,4.2,111319,195,Diesel,automatic,35
JN87454,13652,DE,0,Renault,Captur,1.2 TCe Energy,Gray,2017,SUV,Teilleder,5.5,12117,118,Benzin,automatic,23
JD74081,30343,DE,0,Hyundai,Kona,2.0 T-GDI,White,2021,SUV,Alcantara,8.5,9760,280,Benzin,automatic,44
YU71861,25021,DE,0,Volkswagen,Tiguan,2.0 TDI,Gray,2017,SUV,Alcantara,5.7,100228,190,Diesel,automatic,60
ZN54723,14495,DE,0,Volkswagen,Passat,1.4 TSI,Gray,2015,Kombi,Stoff,5.1,60185,150,Benzin,manual,39
FK23390,5700,DE,0,Volkswagen,up!,1.0,White,2016,Limousine,Stoff,4.6,89346,75,Benzin,manual,8
TR46254,18844,DE,0,Peugeot,Rifter,1.2 e-THP,White,2019,Bus,Stoff,5.5,29841,110,Benzin,manual,54
RW39565,20150,DE,0,BMW,X1,xDrive 20d,Gray,2016,SUV,Leder,4.9,101447,190,Diesel,automatic,40
KL89381,12630,DE,0,BMW,3er,320d,Black,2014,Kombi,Leder,4.9,112426,185,Diesel,automatic,12
SF99455,7084,DE,0,Seat,Ibiza,1.2 TSI,Silver,2015,Kombi,Stoff,4.9,64406,90,Benzin,manual,29
TN59873,17642,DE,0,Audi,A3,1.4 TFSI ACT,Gray,2016,Limousine,Teilleder,5.1,50686,150,Benzin,automatic,35
TF02319,14766,SI,0,Opel,Astra K,1.4 SIDI Turbo,Gray,2018,Kombi,Teilleder,5.6,58271,150,Benzin,automatic,35
VB17114,20029,DE,0,Seat,Leon,1.5 TSI ACT,Gray,2020,Kombi,Alcantara,5.1,44659,150,Benzin,automatic,5
YP55157,6886,PL,0,Ford,B-Max,1.0 EcoBoost,Blue,2016,Van,Stoff,4.6,71564,100,Benzin,manual,54
KD06012,11043,DE,0,Renault,Captur,0.9 Energy,Blue,2018,SUV,Stoff,5.4,24985,90,Benzin,manual,58
