week,share_opps,share_bookmarks,share_sold,share_contracts_signed
2021-16,1.5628980891719746,2.8670382165605095,0.11146496815286625,0.21019108280254778
2021-17,1.4139221556886228,2.43562874251497,0.10853293413173652,0.19161676646706588
2021-18,1.5126719768283852,3.048515568428675,0.10716871832005793,0.18464880521361332
2021-19,1.4121475054229935,2.821402747650036,0.09038322487346348,0.17208966015907448
2021-20,1.4065484311050478,2.7339699863574354,0.12687585266030013,0.22442019099590724
2021-21,1.4501742160278746,2.9665505226480837,0.10174216027874565,0.2013937282229965
2021-22,1.2477632484514798,2.472814865794907,0.12388162422573985,0.19752236751548521
2021-23,1.2943495400788436,2.541392904073587,0.10315374507227333,0.1721419185282523
2021-24,1.1762086513994912,1.9351145038167938,0.1005089058524173,0.17748091603053434
2021-25,1.2416769420468556,2.6387176325524044,0.10049321824907521,0.18865598027127004
2021-26,1.289048473967684,2.779772591262717,0.10173548773189707,0.19449431478156792
2021-27,1.272,2.548923076923077,0.11076923076923077,0.19138461538461538
2021-28,1.311443433029909,2.6657997399219764,0.12093628088426528,0.20806241872561768
2021-29,1.2674344209852848,2.852207293666027,0.1183621241202815,0.20217530390275112
2021-30,1.3479664299548095,3.224661071659135,0.10458360232408005,0.18463524854744998
2021-31,1.302672467371038,3.2448725916718457,0.12430080795525171,0.19390926041019266
2021-32,1.1570531125071388,3.1267846944603086,0.1096516276413478,0.1724728726442033
2021-33,1.2711676812396238,2.997786386275595,0.1079136690647482,0.19424460431654678
2021-34,1.1560574948665299,2.881416837782341,0.10112936344969199,0.16940451745379878
2021-35,1.1407552721922511,2.6880823933300637,0.09416380578715057,0.16331535066208927
2021-36,1.0715532286212914,2.356020942408377,0.1055846422338569,0.17277486910994763
2021-37,1.1155427631578947,2.6188322368421053,0.10608552631578948,0.17146381578947367
2021-38,1.1513833992094862,2.466798418972332,0.10355731225296443,0.17272727272727273
2021-39,1.1887009992313604,2.4411990776325903,0.10261337432744043,0.16717909300538047
2021-40,1.218514531754575,2.422676713311805,0.11051309651955507,0.1761750986724076
2021-41,1.2806212495587717,3.0218849276385455,0.12989763501588422,0.18955171196611367
2021-42,1.2491091674765145,3.1026886945254293,0.10333657272432782,0.17071590540978296
2021-43,1.3342731829573935,3.223684210526316,0.11278195488721804,0.18734335839598998
2021-44,1.3244334057746041,3.825830487426265,0.12263272275690779,0.19745420676808445
2021-45,1.3137492428831012,3.2189582071471836,0.11629315566323441,0.19230769230769232
2021-46,1.3068734793187349,3.454683698296837,0.12135036496350365,0.19586374695863748
2021-47,1.2030053034767236,3.444313494401886,0.10695344725987035,0.17442545668827342
2021-48,1.1230022831050228,2.985445205479452,0.10245433789954338,0.17323059360730594
2021-49,1.213457732541702,3.492225049476958,0.0952784845914617,0.16737348035057958
2021-50,1.1594803758982863,3.2338308457711444,0.0992260917634052,0.1583747927031509
2021-51,1.0415884089079688,2.867185403810035,0.06922457740810303,0.10973973705393078
2021-52,1.1461372231226363,3.5081037277147487,0.07779578606158834,0.11399243652079957
2021-53,0.1413141314131413,0.40804080408040805,0.0072007200720072,0.011401140114011402
