id,price_less_7k,price_7_10k,price_10_13k,price_13_16k,price_16_20k,price_20_25k,price_over_25k,make,model,subtype,outside_color,built_year,body_type,upholstery,mileage_below_30k_,mileage_30_50k_,mileage_50_70k_,mileage_over_70k_,horsepower_below_100_,horsepower_100_150_,horsepower_150_200_,horsepower_200_250_,horsepower_over_250_,low_fuel_consumption,mid_low_fuel_consumption,mid_high_fuel_consumption,high_fuel_consumption,benzin,diesel,hybrid,automatic,manual,time_sell
VJ75739,0,0,1,0,0,0,0,Volkswagen,Touran,2.0 TDI,Black,2014,Van,Stoff,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,15-25d
EE17047,0,0,0,1,0,0,0,Opel,Mokka X,1.4 Turbo,Gray,2017,SUV,Stoff,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0-7d
EL18138,0,0,0,1,0,0,0,BMW,1er,118i,White,2017,Limousine,Stoff,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0-7d
GM97768,0,0,1,0,0,0,0,Volkswagen,Golf VII,1.6 TDI,Black,2017,Kombi,Stoff,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,15-25d
WX63525,0,1,0,0,0,0,0,Hyundai,i20,1.2,Red,2018,Limousine,Stoff,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,25-35d
AB85929,0,0,0,0,0,0,1,Volkswagen,Passat,1.4 GTE,Gray,2020,Kombi,Alcantara,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,65-80d
AE08889,0,0,0,1,0,0,0,Toyota,Auris Touring Sports,1.8 Hybrid,White,2016,Kombi,Stoff,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,15-25d
BX29327,0,0,0,1,0,0,0,Audi,A1,1.4 TDI,Blue,2018,Limousine,Stoff,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0-7d
AY02502,0,0,0,0,0,0,1,BMW,2er,220i Gran Coupe,Blue,2021,Limousine,Alcantara,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,65-80d
CZ07058,0,0,0,0,1,0,0,Skoda,Karoq,1.5 TSI,Gray,2017,SUV,Stoff,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,35-50d
