dates,cars_sold,cars_online,avg_buyprice,bookmarks
2021-12-31,24,3333,19202,1360
2022-01-01,17,3313,19227,1857
2022-01-02,19,3285,19271,2662
2022-01-03,64,3205,19268,2477
2022-01-04,52,3298,19265,2531
2022-01-05,89,3278,19354,2449
2022-01-06,49,3308,19384,2143
2022-01-07,75,3261,19385,2319
2022-01-08,61,3223,19410,2171
2022-01-09,21,3202,19437,2548
2022-01-10,68,3202,19432,2338
2022-01-11,82,3199,19464,2181
2022-01-12,69,3226,19413,2090
2022-01-13,54,3250,19510,2234
2022-01-14,71,3277,19466,2153
2022-01-15,53,3246,19523,2089
2022-01-16,34,3217,19551,2751
2022-01-17,78,3140,19592,2166
2022-01-18,71,3115,19622,2083
2022-01-19,56,3097,19675,2181
2022-01-20,41,3082,19717,1773
2022-01-21,59,3012,19704,1895
2022-01-22,53,3029,19698,2346
2022-01-23,20,3008,19748,2783
2022-01-24,76,2941,19765,2191
2022-01-25,69,2881,19817,2140
2022-01-26,54,2947,19775,2310
2022-01-27,48,2953,19801,2072
2022-01-28,52,2764,20056,2034
2022-01-29,56,2737,20156,2128
2022-01-30,30,2711,20230,2388
2022-01-31,77,2687,20245,1951
2022-02-01,56,2703,20184,1811
2022-02-02,54,2713,20179,2009
2022-02-03,50,2723,20193,1595
2022-02-04,64,2743,20108,1782
2022-02-05,43,2709,20145,2438
2022-02-06,21,2681,20193,2221
2022-02-07,74,2630,20256,1980
2022-02-08,64,2653,20317,1904
2022-02-09,58,2667,20273,2103
2022-02-10,72,2669,20292,1770
2022-02-11,54,2699,20269,1809
2022-02-12,48,2663,20370,2174
2022-02-13,31,2618,20455,2033
2022-02-14,58,2594,20534,1764
2022-02-15,47,2657,20475,1779
2022-02-16,58,2665,20502,1880
2022-02-17,55,2664,20546,1886
2022-02-18,69,2661,20621,2159
2022-02-19,54,2634,20701,1889
2022-02-20,34,2585,20778,2323
2022-02-21,67,2567,20818,2060
2022-02-22,63,2690,20761,2113
2022-02-23,61,2675,20842,2071
2022-02-24,54,2738,20826,1621
2022-02-25,52,2784,20814,1668
2022-02-26,42,2772,20775,1931
2022-02-27,26,2733,20845,1991
2022-02-28,63,2700,20941,1556
2022-03-01,70,2689,20918,1350
2022-03-02,48,2758,20830,1643
2022-03-03,59,2759,20807,1661
2022-03-04,55,2784,20804,1594
2022-03-05,39,2754,20828,1862
2022-03-06,28,2711,20925,1546
2022-03-07,48,2718,20963,1838
2022-03-08,34,2712,21013,1732
2022-03-09,51,2708,21037,1650
2022-03-10,45,2713,21096,1549
2022-03-11,38,2764,21090,1549
2022-03-12,34,2787,21081,1798
2022-03-13,21,2770,21109,1743
2022-03-14,50,2754,21153,1671
2022-03-15,62,2774,21153,2053
2022-03-16,46,2777,21120,1680
2022-03-17,48,2867,21075,1531
2022-03-18,47,2980,20974,1652
2022-03-19,35,2970,20984,1533
2022-03-20,21,2956,20976,1549
2022-03-21,41,2962,20978,1424
2022-03-22,46,3026,20909,1531
2022-03-23,52,3049,20840,1602
2022-03-24,59,3085,20816,1794
2022-03-25,46,3119,20755,1465
2022-03-26,46,3124,20740,1375
2022-03-27,20,3116,20755,1795
2022-03-28,52,3050,20867,1598
2022-03-29,53,3124,20832,1585
2022-03-30,49,3174,20763,2061
2022-03-31,47,3209,20683,1581
2022-04-01,38,3220,20641,1757
2022-04-02,41,3241,20591,1517
2022-04-03,18,3217,20625,2029
2022-04-04,73,3210,20704,1603
2022-04-05,52,3260,20660,1731
2022-04-06,48,3289,20597,1859
2022-04-07,67,3288,20561,1724
2022-04-08,55,3328,20542,1717
2022-04-09,46,3345,20501,1835
2022-04-10,25,3330,20540,1864
2022-04-11,58,3316,20515,1592
2022-04-12,52,3365,20452,1507
2022-04-13,48,3442,20410,1553
2022-04-14,53,3507,20318,1496
2022-04-15,25,3514,20255,2010
2022-04-16,38,3452,20296,1400
2022-04-17,20,3430,20330,1724
2022-04-18,27,3362,20366,2014
2022-04-19,49,3405,20412,1831
2022-04-20,46,3478,20248,1819
2022-04-21,58,3547,20113,1829
2022-04-22,51,3597,20043,1999
2022-04-23,42,3598,19994,1812
2022-04-24,27,3571,20008,2080
2022-04-25,76,3492,20043,1910
2022-04-26,74,3580,20025,1773
2022-04-27,61,3600,20010,1447
2022-04-28,47,3647,19948,1566
2022-04-29,56,3697,19886,1525
2022-04-30,44,3705,19798,1530
2022-05-01,21,3692,19797,2223
2022-05-02,57,3652,19803,1708
2022-05-03,54,3663,19753,1709
2022-05-04,64,3748,19645,2089
2022-05-05,55,3805,19559,1950
2022-05-06,60,3848,19457,1504
2022-05-07,45,3839,19458,1573
2022-05-08,33,3785,19496,2180
2022-05-09,70,3776,19465,1822
2022-05-10,72,3803,19404,1594
2022-05-11,62,3835,19350,1786
2022-05-12,67,3878,19274,1814
2022-05-13,60,3928,19173,1600
2022-05-14,36,3939,19115,1546
2022-05-15,41,3897,19095,1688
2022-05-16,65,3855,19049,1864
2022-05-17,63,3879,19015,1893
2022-05-18,59,3883,18974,1788
2022-05-19,61,3943,18801,1907
2022-05-20,54,4055,18716,1659
2022-05-21,36,4029,18609,1621
2022-05-22,19,4029,18602,2146
2022-05-23,69,4005,18600,1554
2022-05-24,60,4062,18542,2114
2022-05-25,40,4108,18446,1567
2022-05-26,33,4021,18291,1671
2022-05-27,71,4037,18319,1659
2022-05-28,37,4022,18252,1823
2022-05-29,35,3981,18270,1907
2022-05-30,64,3917,18266,1826
2022-05-31,64,3910,18206,2040
2022-06-01,61,3927,18088,1819
2022-06-02,58,3913,18024,1864
2022-06-03,46,3996,17965,1906
2022-06-04,32,4023,17882,1682
2022-06-05,23,4016,17853,1828
2022-06-06,19,3983,17882,2196
2022-06-07,80,3925,17893,1621
2022-06-08,66,3916,17759,2017
2022-06-09,80,4029,17656,2000
2022-06-10,47,4186,17600,1686
2022-06-11,48,4171,17572,1515
2022-06-12,27,4140,17578,1967
2022-06-13,76,4185,17570,2037
2022-06-14,66,4146,17503,1519
2022-06-15,64,4226,17411,1615
2022-06-16,48,4242,17339,2032
2022-06-17,62,4267,17270,1672
2022-06-18,39,4240,17290,1587
2022-06-19,35,4205,17321,1907
2022-06-20,77,4178,17348,1871
2022-06-21,70,4231,17296,2294
2022-06-22,64,4244,17286,2046
2022-06-23,63,4290,17247,1711
2022-06-24,57,4363,17219,1937
2022-06-25,47,4381,17208,1805
2022-06-26,32,4338,17206,2101
2022-06-27,75,4327,17191,1912
2022-06-28,72,4283,17180,2254
2022-06-29,85,4302,17111,2130
2022-06-30,59,4345,17051,1901
2022-07-01,66,4415,17039,1767
2022-07-02,47,4423,17014,1787
2022-07-03,36,4385,17039,1848
2022-07-04,89,4281,17043,1833
2022-07-05,68,4314,16971,1861
2022-07-06,59,4353,16974,2027
2022-07-07,73,4398,16982,2235
2022-07-08,65,4438,16994,1321
2022-07-09,51,4478,16960,1903
2022-07-10,39,4465,16999,2185
2022-07-11,80,4382,16997,1758
2022-07-12,52,4404,16941,2003
2022-07-13,84,4399,16947,2034
2022-07-14,60,4502,16990,1940
2022-07-15,51,4540,16972,1715
2022-07-16,50,4614,16919,1352
2022-07-17,34,4611,16922,1956
2022-07-18,66,4547,16951,1844
2022-07-19,61,4489,16902,1902
2022-07-20,54,4540,16904,1649
2022-07-21,65,4547,16902,1455
2022-07-22,57,4641,16893,1297
2022-07-23,44,4671,16843,1788
2022-07-24,33,4673,16836,1546
2022-07-25,79,4592,16887,1944
2022-07-26,71,4544,16730,2067
2022-07-27,74,4578,16743,1858
2022-07-28,69,4559,16739,1536
2022-07-29,76,4596,16732,1393
2022-07-30,45,4706,16698,1782
2022-07-31,40,4672,16735,1931
2022-08-01,76,4600,16778,1830
2022-08-02,80,4564,16693,1759
2022-08-03,81,4553,16657,1761
2022-08-04,86,4545,16603,1633
2022-08-05,86,4526,16629,1472
2022-08-06,43,4562,16579,1542
2022-08-07,40,4517,16586,1693
2022-08-08,89,4424,16619,1599
2022-08-09,82,4409,16632,1774
2022-08-10,78,4410,16655,1890
2022-08-11,71,4414,16644,1629
2022-08-12,73,4347,16644,1463
2022-08-13,46,4423,16597,1543
2022-08-14,28,4448,16608,1548
2022-08-15,98,4326,16635,1781
2022-08-16,84,4282,16571,1644
2022-08-17,78,4260,16580,1614
2022-08-18,76,4245,16589,1477
2022-08-19,67,4252,16579,1482
2022-08-20,46,4254,16562,1436
2022-08-21,33,4213,16598,1566
2022-08-22,84,4104,16610,1553
2022-08-23,66,4089,16528,1810
2022-08-24,85,4186,16538,1611
2022-08-25,69,4149,16529,1391
2022-08-26,70,4162,16535,1689
2022-08-27,47,4182,16526,1535
2022-08-28,35,4146,16573,1680
2022-08-29,69,4101,16617,1866
2022-08-30,78,4030,16638,1691
2022-08-31,71,4043,16655,1737
2022-09-01,66,4148,16641,1714
2022-09-02,77,4166,16670,1618
2022-09-03,48,4144,16646,1667
2022-09-04,39,4103,16688,1711
2022-09-05,85,4036,16733,1837
2022-09-06,75,4031,16671,1734
2022-09-07,81,4027,16738,1669
2022-09-08,67,4034,16798,1618
2022-09-09,66,3983,16867,1776
2022-09-10,51,3932,16906,1637
2022-09-11,31,3901,16886,1882
2022-09-12,91,3782,16931,1668
2022-09-13,78,3703,17033,1836
2022-09-14,86,3814,17063,1721
2022-09-15,62,3794,17114,1728
2022-09-16,75,3755,17165,1646
2022-09-17,47,3737,17198,1526
2022-09-18,34,3685,17212,2034
2022-09-19,95,3617,17257,1543
2022-09-20,86,3481,17288,1688
2022-09-21,66,3374,17283,1661
2022-09-22,85,3452,17320,1634
2022-09-23,66,3478,17332,1662
2022-09-24,69,3436,17389,1712
2022-09-25,36,3410,17447,1898
2022-09-26,97,3331,17535,1586
2022-09-27,76,3322,17612,1562
2022-09-28,88,3264,17664,1963
2022-09-29,65,3242,17696,2122
2022-09-30,100,3184,17788,1960
2022-10-01,52,3141,17798,1790
2022-10-02,30,3114,17830,1986
2022-10-03,36,3048,17887,2031
2022-10-04,58,2969,17900,1983
2022-10-05,63,2935,17867,2172
2022-10-06,91,2855,17916,2103
2022-10-07,64,2823,17940,198
2022-10-10,70,2745,18071,6162
2022-10-12,62,2694,18129,2760
2022-10-13,72,2825,18213,2733
2022-10-14,69,2824,18139,2119
2022-10-15,47,2844,18190,2136
2022-10-16,32,2818,18182,2070
2022-10-17,75,2719,18270,2117
2022-10-18,78,2712,18306,1896
2022-10-19,68,2709,18317,2000
2022-10-20,69,2728,18281,2083
2022-10-21,81,2709,18287,2246
2022-10-22,53,2734,18303,2388
2022-10-23,33,2707,18357,2764
2022-10-24,71,2592,18479,2148
2022-10-25,62,2566,18474,1983
2022-10-26,63,2628,18334,1919
2022-10-27,59,2614,18356,2014
2022-10-28,76,2584,18417,1939
2022-10-29,53,2571,18409,1889
2022-10-30,29,2563,18394,2012
2022-10-31,66,2483,18495,2310
2022-11-01,66,2393,18534,2386
2022-11-02,67,2331,18489,2305
2022-11-03,69,2295,18487,2017
2022-11-04,71,2390,18334,2028
2022-11-05,55,2400,18348,1924
2022-11-06,30,2375,18380,2295
2022-11-07,82,2285,18470,2007
2022-11-08,88,2252,18422,1894
2022-11-09,73,2253,18444,2057
2022-11-10,60,2245,18410,1787
2022-11-11,64,2251,18266,1852
2022-11-12,49,2266,18209,2074
2022-11-13,24,2243,18277,2135
2022-11-14,62,2224,18332,2431
2022-11-15,57,2240,18379,2178
2022-11-16,63,2267,18413,2439
2022-11-17,55,2272,18362,2167
2022-11-18,69,2244,18285,1756
2022-11-19,56,2232,18299,1921
2022-11-20,28,2226,18337,2113
2022-11-21,76,2133,18468,1784
2022-11-22,70,2109,18360,2024
2022-11-23,65,2133,18340,2333
2022-11-24,58,2138,18255,2471
2022-11-25,65,2236,18149,1997
2022-11-26,32,2287,18042,2099
2022-11-27,27,2259,18119,1958
2022-11-28,76,2194,18163,2181
2022-11-29,79,2185,18157,2178
2022-11-30,80,2165,18109,2139
2022-12-01,57,2185,18020,2269
2022-12-02,57,2187,18003,2094
2022-12-03,45,2224,17900,2277
2022-12-04,33,2209,17951,2348
2022-12-05,76,2106,18070,2241
2022-12-06,77,2110,18098,2101
2022-12-07,53,2123,18065,2215
2022-12-08,66,2114,17978,1973
2022-12-09,64,2174,17836,1777
2022-12-10,38,2207,17715,1890
2022-12-11,39,2170,17727,2273
2022-12-12,78,2062,17880,1956
2022-12-13,74,2062,17748,1974
2022-12-14,60,2127,17652,2098
2022-12-15,63,2156,17641,2011
2022-12-16,68,2191,17608,1900
2022-12-17,49,2191,17596,2124
2022-12-18,32,2188,17539,1900
2022-12-19,63,2121,17628,2047
2022-12-20,61,2128,17664,1996
2022-12-21,61,2146,17549,2433
2022-12-22,49,2181,17481,2013
2022-12-23,53,2217,17500,2073
2022-12-24,26,2287,17431,1630
2022-12-25,25,2253,17468,2023
2022-12-26,25,2203,17524,2267
2022-12-27,64,2137,17519,2927
2022-12-28,74,2103,17518,2719
2022-12-29,80,2064,17575,2280
2022-12-30,85,2060,17581,2554
2022-12-31,31,2069,17510,1712
2023-01-01,34,2025,17566,1896
2023-01-02,91,1929,17735,2675
2023-01-03,87,1886,17701,2689
2023-01-04,88,1836,17841,2803
2023-01-05,70,1819,17772,2641
2023-01-06,86,1790,17671,2746
2023-01-07,60,1778,17748,2398
2023-01-08,38,1746,17829,2548
2023-01-09,85,1650,17923,2440
2023-01-10,90,1610,17879,2692
2023-01-11,76,1579,17867,2269
2023-01-12,60,1541,17707,2452
2023-01-13,67,1551,17619,2701
2023-01-14,50,1553,17619,2433
2023-01-15,35,1510,17760,2631
2023-01-16,91,1415,17856,2473
2023-01-17,81,1462,17659,2937
2023-01-18,84,1445,17542,2586
2023-01-19,71,1434,17355,2668
2023-01-20,75,1426,17390,2633
2023-01-21,71,1448,17403,2661
2023-01-22,29,1414,17437,2489
2023-01-23,90,1309,17548,2575
2023-01-24,99,1316,17504,2639
2023-01-25,68,1371,17444,2541
2023-01-26,65,1384,17368,2326
2023-01-27,60,1377,17293,2245
2023-01-28,50,1411,17134,2614
2023-01-29,43,1376,17145,2770
2023-01-30,83,1283,17189,2545
2023-01-31,74,1271,17099,2543
2023-02-01,75,1270,17187,2375
2023-02-02,85,1248,17192,2248
2023-02-03,58,1261,17197,2281
2023-02-04,51,1299,17171,2448
2023-02-05,37,1268,17169,2320
2023-02-06,60,1191,17388,1919
2023-02-07,73,1182,17390,2234
2023-02-08,68,1188,17177,2389
2023-02-09,72,1183,17127,2280
2023-02-10,68,1221,17145,1958
2023-02-11,51,1238,16987,2208
2023-02-12,23,1214,17016,2424
2023-02-13,74,1110,17065,2106
2023-02-14,67,1101,17032,2211
2023-02-15,60,1116,17042,2071
2023-02-16,71,1112,17043,2126
2023-02-17,43,1160,16888,2132
2023-02-18,51,1217,16967,2290
2023-02-19,36,1191,17113,2162
2023-02-20,49,1130,17134,2024
2023-02-21,60,1149,16916,2041
2023-02-22,63,1215,16800,2290
2023-02-23,63,1254,16673,2221
2023-02-24,60,1260,16697,2066
2023-02-25,44,1275,16587,1963
2023-02-26,27,1267,16608,2180
2023-02-27,56,1176,16749,1834
2023-02-28,63,1161,16839,1971
2023-03-01,62,1195,16773,2162
2023-03-02,65,1213,16778,1978
