Week,BENFICA_trend,SPORTING_trend,PORTO_trend
2023-08-20,22,12,41
2023-08-27,27,26,44
2023-09-03,13,19,40
2023-09-10,20,12,22
2023-09-17,28,26,47
2023-09-24,48,32,78
2023-10-01,31,23,46
2023-10-08,11,20,26
2023-10-15,15,13,16
2023-10-22,28,18,26
2023-10-29,23,27,40
2023-11-05,26,35,37
2023-11-12,43,42,22
2023-11-19,17,9,16
2023-11-26,26,23,35
2023-12-03,31,34,41
2023-12-10,24,19,38
2023-12-17,37,44,63
2023-12-24,21,20,26
2023-12-31,18,19,22
2024-01-07,26,24,22
2024-01-14,32,21,39
2024-01-21,24,24,15
2024-01-28,20,32,31
2024-02-04,24,22,24
2024-02-11,29,33,37
2024-02-18,29,34,37
2024-02-25,41,52,39
2024-03-03,48,37,75
2024-03-10,34,31,47
2024-03-17,22,25,16
2024-03-24,19,22,23
2024-03-31,46,62,35
2024-04-07,25,29,45
2024-04-14,31,32,35
2024-04-21,30,38,59
2024-04-28,16,69,69
2024-05-05,31,41,19
2024-05-12,17,24,32
2024-05-19,8,16,17
2024-05-26,8,33,51
